accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.12788738173520858,-0.8154354277983774,-0.49015808756764784,0.6600554032973018,0.12788738173520858,0.9105818704900255,0.0,cold_T001_s080_b10_lr0004_w035,0.10609799921742477,0.6158148148322591,0.6005354781545527,0.8615460845281743
0.5,1,0.5435157401532478,0.08524383787166431,-0.7564283942742833,-0.3417007957356626,0.5141029517232074,0.08524383787166431,0.8183345703890081,0.6196864878740572,cold_T001_s080_b10_lr0004_w035,0.1260515190433673,0.6328822958430961,0.6733183569995268,0.8452305087090313
0.5,100,0.46118322127080347,0.13675125686332074,-0.7007121688549542,-0.8340702454668313,0.7118487693742692,0.13675125686332074,1.2071553557174326,0.6055741835861418,cold_T001_s080_b10_lr0004_w035,0.46292289731943076,0.10899356266037771,0.46147745015203856,0.8746412563890954
0.5,200,0.30501841914021527,0.11018948393178829,-0.4959510387134787,-0.7838777493560841,0.5120895856795351,0.11018948393178829,1.2267156106642119,0.6555787269948082,cold_T001_s080_b10_lr0004_w035,0.6754760508530713,0.14815888165562918,0.6987947069289873,0.8648541462853957
0.5,300,0.24347175227517198,0.10930282645530773,-0.4538332272630129,-0.8078554119405923,0.43855414574189566,0.10930282645530773,1.2781033855425428,0.6547383427305299,cold_T001_s080_b10_lr0004_w035,0.6704268217420011,0.1009792957912533,0.6405546485400627,0.8439095425470375
0.5,400,0.18138457848399048,0.1486288614206169,-0.4560210500513241,-0.835097951853527,0.462498325953125,0.1486288614206169,1.3179384754439722,0.6044234589491507,cold_T001_s080_b10_lr0004_w035,0.6183993451240609,0.15475302202644742,0.7168271958339495,0.8717380299957037
0.75,500,0.24223610985532323,0.043776274882555484,-0.5216340643870656,-0.8651392196957548,0.37087518413435894,-0.043776274882555484,1.2544350309043963,0.5720313248286474,cold_T001_s080_b10_lr0004_w035,0.6242546632313806,0.10717791351982195,0.7776074900023175,0.9001951676225709
0.5,600,0.1257647638876409,0.000605055487496009,-0.43270956203776645,-0.6503013338450503,0.3294930848754158,0.000605055487496009,1.1240257334477892,0.6456698861683622,cold_T001_s080_b10_lr0004_w035,0.6570255687815931,0.46306403028008497,0.7498285668038049,0.8350769411198131
0.5,0,0.0,0.43663675725074,-0.7877043062931832,-0.6624444021839703,0.8635016982604572,0.43663675725074,1.2228369526452445,0.0,cold_T002_s080_b10_lr0004_w035,0.11365301293383506,0.49574403559570984,0.09731657979639764,0.6869107744953096
0.5,1,0.5772362700780138,0.5529565158268979,-0.7696165195407172,-0.752294390665776,0.5529565158268979,0.5891178908454525,1.4621889318435004,0.7160300012026977,cold_T002_s080_b10_lr0004_w035,0.13929644311043027,0.3068909500717573,0.6266234754816677,0.5893285271304659
