accuracy,epoch,grad_norm,mse
0.578125,0,0.0,1.6399324033624976
0.5234375,1,0.2726735608524468,1.6808825148584787
0.5859375,500,0.14086962380087567,1.477242335709147
0.6171875,1000,0.14433149773369502,1.5839903655175933
0.4453125,1500,0.16577646005935656,1.816345461465613
0.5390625,2000,0.12559894666350904,1.7717439198327067
0.515625,2500,0.13337433092335568,1.8807884050056436
0.5078125,3000,0.07323669415530243,1.8073422151817322
0.5234375,3500,0.1203494203795366,1.7798824684151933
0.5,4000,0.13664755329941336,1.7814372857848713
