config_id,sample_idx,stepsize,beta,phase,steps,sweeps,free_loss,plus_loss,minus_loss,plus_loss_delta,minus_loss_delta,plus_target_dot,minus_target_dot,plusminus_target_dot,plus_target_cos,minus_target_cos,plusminus_target_cos,plus_output_rms,minus_output_rms,plusminus_output_rms,plus_hidden_rms,minus_hidden_rms,plusminus_hidden_rms
1,1,0.05,0.05,nudged,160,1.0,19.628727,19.499308,19.715523,-0.12941933,0.08679581,0.06640499,-0.04174535,0.10815035,0.2574018,-0.16385339,0.29183596,0.009206893,0.00909236,0.013225529,0.012120785,0.011433917,0.013415361
1,1,0.05,0.05,nudged,320,2.0,19.628727,19.421547,19.652735,-0.20718002,0.024007797,0.10861359,-0.0078743,0.11648788,0.24457566,-0.019555133,0.20763355,0.015848743,0.014370606,0.020021984,0.016888965,0.01627556,0.017075796
1,1,0.05,0.05,nudged,800,5.0,19.628727,19.429195,20.004742,-0.19953156,0.3760147,0.11339876,-0.17916302,0.29256177,0.15500058,-0.30404484,0.34230912,0.02610952,0.021029778,0.03050163,0.030283075,0.02720235,0.025203295
1,1,0.05,0.05,nudged,1600,10.0,19.628727,18.997173,20.448774,-0.63155365,0.8200474,0.34466758,-0.38243937,0.727107,0.32364053,-0.367504,0.5623277,0.038006812,0.03713851,0.046145868,0.048635047,0.047246687,0.034837224
1,1,0.05,0.05,nudged,3200,20.0,19.628727,18.567627,21.412075,-1.0611,1.7833481,0.5985108,-0.79914004,1.3976508,0.3664228,-0.41928545,0.67071897,0.0582926,0.06802007,0.07436731,0.08423029,0.083080076,0.051364098
1,1,0.05,0.05,nudged,8000,50.0,19.628727,17.690361,23.052227,-1.9383659,3.4235,1.1826836,-1.3316159,2.5142994,0.40851405,-0.34470618,0.6968041,0.10332028,0.13786496,0.1287746,0.16331816,0.1543345,0.090646714
1,1,0.05,0.05,nudged,16000,100.0,19.628727,16.273586,24.450201,-3.3551407,4.821474,2.390881,-1.6099154,4.0007963,0.45181167,-0.28712684,0.7186592,0.18885325,0.20010282,0.1986769,0.26157454,0.26400062,0.09548978
1,2,0.05,0.05,nudged,160,1.0,21.117622,21.056776,21.17206,-0.06084633,0.054437637,0.03283312,-0.024813248,0.05764637,0.10290969,-0.07783853,0.12595469,0.010977498,0.010968229,0.015747266,0.010391947,0.011040747,0.013312685
1,2,0.05,0.05,nudged,320,2.0,21.117622,21.011154,21.386496,-0.1064682,0.2688732,0.05733704,-0.12965198,0.18698902,0.13773562,-0.28845024,0.28748137,0.014323082,0.015465207,0.022379683,0.016140217,0.017090973,0.019050496
1,2,0.05,0.05,nudged,800,5.0,21.117622,21.056673,21.816963,-0.060949326,0.6993408,0.0405069,-0.33644027,0.37694713,0.062229037,-0.45009726,0.38577393,0.022396667,0.025718708,0.0336198,0.02967499,0.032435205,0.025993792
1,2,0.05,0.05,nudged,1600,10.0,21.117622,20.763227,22.695023,-0.3543949,1.5774002,0.19735369,-0.7481576,0.94551134,0.21389623,-0.57174706,0.57440615,0.031746045,0.045023233,0.056636337,0.050456688,0.056196254,0.033323012
1,2,0.05,0.05,nudged,3200,20.0,21.117622,20.506596,23.76538,-0.61102676,2.6477585,0.3568864,-1.1903121,1.5471984,0.24228066,-0.50115794,0.62406313,0.050682586,0.081721015,0.085303135,0.0950819,0.102240704,0.054020327
1,2,0.05,0.05,nudged,8000,50.0,21.117622,19.011034,25.260502,-2.1065884,4.1428795,1.2622426,-1.6761384,2.938381,0.42490014,-0.41021183,0.7043892,0.10221237,0.14058831,0.14353007,0.21638796,0.20156589,0.085210145
1,2,0.05,0.05,nudged,16000,100.0,21.117622,18.910269,27.635664,-2.2073536,6.5180416,1.788619,-2.2980647,4.0866838,0.33254692,-0.36072242,0.62938565,0.18505995,0.21919799,0.22340952,0.34291598,0.33382806,0.10865335
1,3,0.05,0.05,nudged,160,1.0,17.590324,17.567938,17.648748,-0.02238655,0.058423996,0.0130887395,-0.027043117,0.04013186,0.05068332,-0.09789125,0.10364735,0.009735669,0.0104146805,0.014597018,0.010290993,0.011934506,0.013665428
1,3,0.05,0.05,nudged,320,2.0,17.590324,17.557707,17.717115,-0.03261757,0.126791,0.020403557,-0.05967156,0.080075115,0.05375285,-0.16485761,0.1724223,0.014309927,0.013645562,0.017508028,0.016389908,0.016032105,0.017875306
