kind,config_id,stepsize,beta,sweeps,nsamples,metric,value
nudged,8,0.2,0.1,20.0,32,minus_loss_delta,6.703208744525909
nudged,8,0.2,0.1,20.0,32,plusminus_target_dot,6.820807069540024
nudged,8,0.2,0.1,20.0,32,plus_target_cos,0.735327897593379
nudged,8,0.2,0.1,20.0,32,minus_target_cos,-0.4015449769794941
nudged,8,0.2,0.1,20.0,32,plus_output_rms,0.18325789831578732
nudged,8,0.2,0.1,20.0,32,plus_hidden_rms,0.08293590997345746
nudged,8,0.2,0.1,20.0,32,plusminus_output_rms,0.2987098069861531
nudged,8,0.2,0.1,20.0,32,plus_improves_fraction,1.0
nudged,8,0.2,0.1,20.0,32,minus_worsens_fraction,1.0
nudged,8,0.2,0.1,50.0,32,plus_loss_delta,-11.265694320201874
nudged,8,0.2,0.1,50.0,32,minus_loss_delta,12.12919408082962
nudged,8,0.2,0.1,50.0,32,plusminus_target_dot,11.397392332553864
nudged,8,0.2,0.1,50.0,32,plus_target_cos,0.7414302658289671
nudged,8,0.2,0.1,50.0,32,minus_target_cos,-0.3132872385904193
nudged,8,0.2,0.1,50.0,32,plus_output_rms,0.33522443287074566
nudged,8,0.2,0.1,50.0,32,plus_hidden_rms,0.15323858056217432
nudged,8,0.2,0.1,50.0,32,plusminus_output_rms,0.5141968997195363
nudged,8,0.2,0.1,50.0,32,plus_improves_fraction,1.0
nudged,8,0.2,0.1,50.0,32,minus_worsens_fraction,1.0
nudged,8,0.2,0.1,100.0,32,plus_loss_delta,-12.911989241838455
nudged,8,0.2,0.1,100.0,32,minus_loss_delta,15.542636215686798
nudged,8,0.2,0.1,100.0,32,plusminus_target_dot,14.378771245479584
nudged,8,0.2,0.1,100.0,32,plus_target_cos,0.734011685475707
nudged,8,0.2,0.1,100.0,32,minus_target_cos,-0.2552673863247037
nudged,8,0.2,0.1,100.0,32,plus_output_rms,0.46246087830513716
nudged,8,0.2,0.1,100.0,32,plus_hidden_rms,0.22553193988278508
nudged,8,0.2,0.1,100.0,32,plusminus_output_rms,0.6614381615072489
nudged,8,0.2,0.1,100.0,32,plus_improves_fraction,1.0
nudged,8,0.2,0.1,100.0,32,minus_worsens_fraction,1.0
