timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,per_class_accuracy,confusion,best_accuracy,best_path,final_path
2026-05-20T03:54:28,0,0.0,missing,missing,missing,0.887,1.75,117-103-87-96-105-104-91-98-118-81,0.98-0.99-0.81-0.87-0.93-0.89-0.85-0.87-0.9-0.78,98:0:0:0:1:0:1:0:0:0;0:99:0:0:0:0:0:0:1:0;5:0:81:1:0:1:2:2:8:0;0:1:1:87:0:8:1:0:2:0;0:0:0:0:93:0:1:0:4:2;4:1:0:1:1:89:0:2:2:0;5:0:1:0:1:5:85:0:3:0;1:2:3:2:2:0:0:87:2:1;1:0:1:3:2:0:1:2:90:0;3:0:0:2:5:1:0:5:6:78,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,
2026-05-20T03:55:23,1,46.7580854,0.8852,1.8048,4395,0.834,2.684,100-99-141-48-104-162-72-97-100-77,0.96-0.98-0.94-0.48-0.92-0.96-0.71-0.83-0.83-0.73,96:0:2:0:0:1:1:0:0:0;0:98:1:0:0:0:0:0:1:0;0:0:94:0:0:0:0:1:5:0;0:0:14:48:0:33:0:2:3:0;0:0:1:0:92:2:0:0:2:3;1:0:1:0:0:96:0:1:1:0;3:0:7:0:1:16:71:0:2:0;0:1:12:0:2:0:0:83:1:1;0:0:5:0:1:9:0:2:83:0;0:0:4:0:8:5:0:8:2:73,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,
2026-05-20T03:56:17,2,45.0751133,0.8936,1.6876,4433,0.829,2.782,110-92-116-95-144-63-154-83-65-78,0.96-0.92-0.93-0.85-0.96-0.62-0.93-0.81-0.62-0.69,96:0:1:0:0:0:3:0:0:0;0:92:1:0:2:0:5:0:0:0;0:0:93:0:0:0:4:1:1:1;0:0:4:85:0:0:10:0:0:1;0:0:0:0:96:0:3:0:0:1;7:0:1:5:6:62:17:0:0:2;3:0:2:0:1:1:93:0:0:0;1:0:10:0:5:0:2:81:0:1;2:0:4:4:8:0:17:0:62:3;1:0:0:1:26:0:0:1:2:69,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,
2026-05-20T03:57:09,3,44.4479028,0.9068,1.4756,4500,0.82,2.974,96-134-64-85-66-104-102-177-93-79,0.9-1.0-0.63-0.79-0.64-0.88-0.9-0.97-0.81-0.68,90:0:0:0:0:4:3:1:0:2;0:100:0:0:0:0:0:0:0:0;0:13:63:1:0:1:4:13:5:0;0:6:1:79:0:6:0:8:0:0;0:3:0:0:64:0:3:20:3:7;2:3:0:0:0:88:1:3:3:0;1:0:0:0:0:3:90:5:1:0;0:2:0:0:1:0:0:97:0:0;3:5:0:4:0:1:1:3:81:2;0:2:0:1:1:1:0:27:0:68,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,
2026-05-20T03:58:02,4,44.5539257,0.9064,1.504,4487,0.858,2.296,101-104-102-129-143-90-115-86-56-74,0.95-0.99-0.91-0.95-0.97-0.82-0.95-0.82-0.55-0.67,95:0:0:0:0:1:4:0:0:0;0:99:0:0:0:0:1:0:0:0;0:1:91:2:1:0:3:1:0:1;0:0:2:95:0:2:1:0:0:0;0:1:0:0:97:0:1:0:0:1;1:0:0:7:4:82:2:2:1:1;2:0:0:0:2:1:95:0:0:0;0:2:5:3:5:0:1:82:0:2;3:0:4:17:8:3:7:1:55:2;0:1:0:5:26:1:0:0:0:67,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,
2026-05-20T03:58:54,5,43.9110385,0.9154,1.3432,4554,0.851,2.45,108-102-99-146-98-79-87-130-51-100,0.97-0.99-0.86-0.99-0.87-0.74-0.82-0.95-0.5-0.82,97:0:0:0:0:0:1:1:0:1;0:99:0:0:0:0:0:1:0:0;0:1:86:6:0:0:0:6:0:1;0:0:1:99:0:0:0:0:0:0;1:0:0:0:87:0:1:2:0:9;1:1:1:13:0:74:0:8:0:2;5:0:3:0:3:3:82:3:1:0;0:1:2:1:1:0:0:95:0:0;4:0:6:22:4:2:3:4:50:5;0:0:0:5:3:0:0:10:0:82,0.887,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_continue500pc_defaultlr_e5\final_model.bin
