epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
2625,1.3076171875,1.335349878854451,1.334154282235972,0.0,false,-0.25,-0.140625,0.0625|-0.25|-0.1875|0.0625,0.1023|-0.2308|-0.1917|0.0893,1.0|-1.0|-1.0|1.0,0.0834|0.1457|0.0766|0.1037|-0.1616|-0.2402|-0.2519|-0.2694|-0.228|-0.2292|-0.1602|-0.1492|0.0532|0.0686|0.1013|0.1342
2650,0.966796875,0.9592162511682107,0.9581133090726152,0.5,false,-0.1875,0.03125,-0.125|-0.0625|-0.1875|-0.25,-0.0516|-0.0069|-0.1673|-0.2539,-1.0|-1.0|-1.0|-1.0,-0.0758|-0.0971|-0.0283|-0.0054|-0.0227|-0.0371|0.0184|0.0138|-0.1953|-0.2118|-0.0866|-0.1755|-0.2447|-0.2387|-0.2585|-0.2738
2675,1.037109375,1.0267164491939376,1.025450687466328,0.5,false,-0.1875,0.0,0.1875|0.25|0.125|0.1875,0.2173|0.1818|0.1794|0.1301,1.0|1.0|1.0|1.0,0.1986|0.2198|0.2367|0.2142|0.1488|0.2091|0.1875|0.1819|0.0869|0.1647|0.2552|0.211|0.093|0.1475|0.1512|0.1288
2700,0.8251953125,0.8403260513238555,0.8396596559151606,0.75,false,-0.1875,0.109375,-0.25|0.25|0.125|0.1875,-0.2277|0.2245|0.1066|0.1673,-1.0|1.0|1.0|1.0,-0.1906|-0.2424|-0.2282|-0.2496|0.1934|0.2468|0.2767|0.1813|0.0986|0.0853|0.1021|0.1403|0.1862|0.1521|0.177|0.154
2725,0.78515625,0.8072209611939098,0.8061607101457109,0.75,false,-0.0625,0.125,-0.1875|0.3125|0.0625|0.0625,-0.166|0.2976|0.0622|0.0753,-1.0|1.0|1.0|1.0,-0.142|-0.1149|-0.1876|-0.2195|0.3299|0.3477|0.2709|0.2419|0.0597|0.029|0.0716|0.0884|0.0949|0.0764|0.0823|0.0475
2750,1.0341796875,1.0428048644775156,1.0416702531693178,0.25,false,-0.0625,-0.015625,0.0|0.0625|-0.0625|0.0625,0.0585|0.0838|-0.0295|0.071,1.0|1.0|-1.0|1.0,0.0418|0.0363|0.0519|0.1039|0.1653|0.0895|0.0085|0.0721|-0.0226|-0.0545|-0.0357|-0.0052|0.0395|0.0739|0.079|0.0918
2775,0.9501953125,0.944425295789498,0.9442811836626914,0.75,false,-0.25,0.046875,-0.3125|0.0|0.125|0.25,-0.3064|0.0154|0.1257|0.2499,-1.0|1.0|1.0|1.0,-0.3153|-0.2998|-0.2976|-0.3127|-0.0036|0.0125|0.037|0.0158|0.1237|0.1252|0.1289|0.125|0.256|0.2742|0.2425|0.2268
2800,0.8037109375,0.788784539444002,0.7876912383193697,0.75,false,-0.0625,0.109375,-0.1875|0.125|0.1875|0.0625,-0.268|0.0982|0.16|0.0469,-1.0|1.0|1.0|1.0,-0.332|-0.2859|-0.2206|-0.2335|0.0762|0.0461|0.1055|0.165|0.143|0.1669|0.1644|0.1655|0.0469|0.0634|0.0624|0.0149
2825,0.8017578125,0.8175215863492102,0.8168620669052593,0.75,false,-0.0,0.109375,0.0|0.125|0.0625|-0.25,-0.0302|0.0711|0.0524|-0.2475,1.0|1.0|1.0|-1.0,-0.0115|-0.0394|-0.0069|-0.0628|0.0733|0.0622|0.105|0.0441|0.0385|0.0953|0.0069|0.069|-0.2507|-0.284|-0.2229|-0.2326
2850,0.8642578125,0.8669764816433451,0.8636953509273014,0.75,false,-0.125,0.078125,-0.125|-0.125|0.125|-0.1875,-0.0681|-0.1115|0.1573|-0.1995,-1.0|-1.0|1.0|-1.0,-0.0032|-0.0956|-0.0455|-0.1279|-0.1112|-0.1342|-0.1372|-0.0633|0.138|0.0184|0.1866|0.2861|-0.2204|-0.2295|-0.1637|-0.1846
2875,0.615234375,0.6185814402439079,0.6182149353433494,1.0,true,0.125,0.21875,-0.25|0.125|0.3125|-0.1875,-0.2558|0.1264|0.3159|-0.1707,-1.0|1.0|1.0|-1.0,-0.2526|-0.2783|-0.2494|-0.243|0.1507|0.1506|0.0741|0.1302|0.3072|0.3202|0.3267|0.3093|-0.173|-0.1937|-0.1653|-0.1507
2900,1.048828125,0.9666012939121548,0.9650360168142452,0.25,false,-0.1875,0.0,0.1875|-0.125|-0.0625|-0.375,0.1488|-0.037|-0.0216|-0.351,1.0|-1.0|-1.0|-1.0,0.1759|0.165|0.1462|0.1082|0.0632|-0.0434|-0.0873|-0.0805|-0.0494|-0.0687|0.0308|0.0008|-0.3771|-0.3424|-0.3616|-0.3229
