name,best_mse,best_acc,best_epoch,run_dir,height,width,nn,temp,stepsize,beta,lr,minit,free,nudged,input_scale,hidden_scale,output_scale
4x4_nn5_T0.001_eta0.12_b1.0_lr0.001_m4_f1000_n1000_is0.4_hs0.2_os0.4,1.782448458758788,0.5,2000,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260517_202938/01_4x4_nn5_T0.001_eta0.12_b1.0_lr0.001_m4_f1000_n1000_is0.4_hs0.2_os0.4,4,4,5,0.001,0.12,1.0,0.001,4,1000,1000,0.4,0.2,0.4
8x8_nn5_T0.001_eta0.12_b1.0_lr0.00025_m4_f2500_n2500_is0.5_hs0.2_os0.5,1.9200173503714346,0.46875,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260517_202938/02_8x8_nn5_T0.001_eta0.12_b1.0_lr0.00025_m4_f2500_n2500_is0.5_hs0.2_os0.5,8,8,5,0.001,0.12,1.0,0.00025,4,2500,2500,0.5,0.2,0.5
