accuracy,epoch,grad_norm,margin,mean_1_1,mean_1_2,mean_2_1,mean_2_2,mean_3_1,mean_3_2,mean_4_1,mean_4_2,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.03786606992343067,-0.4439650844697446,0.501684742445583,-0.9376322233640743,-0.9911886165001149,-0.7581252110092895,0.9902744006500172,-0.9504408743755204,-0.988306944298951,1.521471051215264,0.0,normal,0.5444253878940181,0.12575966624655288,0.19250745358743,0.08311308543340573
0.5,1,0.18437610687640477,0.009030906355700918,-0.12659021054517258,-0.03501990556006349,-0.9597895989195282,-0.9898991860246534,-0.45775604025519057,0.9903829683807871,-0.9783981669091152,-0.9874290732648161,1.2962557582829224,0.27663072496008706,normal,0.5657245089870913,0.09711326171598846,0.22999900305318474,0.03309920632640387
0.5,250,0.029110423323266053,0.0001396035268473872,-0.9877842402406136,-0.9901587242090661,-0.9889578202003716,-0.9888182166735242,0.9893866048564771,0.9875025842614789,-0.9887515672232411,-0.9880676917142979,1.977499161282722,0.07114097590820709,normal,0.007827411920692622,0.007175563791544178,0.008916856886116922,0.009442003267706686
0.5,500,0.02715932442349784,0.00034405700110773374,-0.9883247808710395,-0.9877601384042503,-0.9907160411336319,-0.9890823216422341,0.9877577404229029,0.9881017974240106,-0.9910585871737421,-0.9903858628127773,1.9782311317034371,0.10575076934683358,normal,0.009159537845165273,0.007583117082110653,0.009479315589462007,0.007754212502077521
0.5,750,0.022399849314598836,0.0010694063367855389,-0.9410705382623852,-0.9886794288749419,-0.9876317523477659,-0.9887011586845514,0.9873086556662691,0.9852941730903746,-0.988170716019775,-0.9893308016724233,1.9531896055008495,0.08224905065682125,normal,0.09632208667750947,0.008773228621057517,0.0095182421479593,0.0064982322485942386
0.75,1000,0.02704390994540295,0.0007965789301351833,-0.9888368003909284,-0.9896333793210635,-0.9901747650918081,-0.988588981658049,0.9875016557236884,0.9885741812455298,-0.9887097919820235,-0.9876829185460981,1.9769467108357077,0.014385647158781722,normal,0.00859821794018832,0.008220085239303093,0.006812262073444514,0.00860068019615204
0.75,1250,0.02704633375707805,0.00037687143344888874,-0.9883294202333597,-0.9891313642269229,-0.9887252371877459,-0.988348365754297,0.988231031099496,-0.9898215560663852,0.8887311213484679,-0.9893013584016559,1.9790220045981481,0.09061570856123309,normal,0.008649874639858836,0.008265311770701098,0.0091563089970455,0.19305151924514355
0.5,1500,0.027879386523122978,0.002089444043782862,-0.988211740814629,-0.9903011848584119,0.6787849230859943,-0.9872749285092232,0.9911893813100731,-0.9903924990352485,0.9906436310021061,-0.9872471448282065,2.330926010275513,0.034020588136396405,normal,0.008562870922624904,0.19785350234129206,0.006923575434843453,0.008152955680954282
0.5,1750,0.026445603537550877,1.9762049543769185,0.9879954009218663,-0.989898552161228,0.9883090257787298,-0.9878959285981888,0.9900963407357577,-0.988754457437743,0.9898208738201514,-0.9874940619271504,1.977654613132887,0.011669179308972199,normal,0.009506674790575277,0.008186122452403286,0.007485286859258677,0.0087308822118935
0.5,2000,0.03114458192971199,1.9752351362785023,0.9900306516609328,-0.9860744866949942,0.9886295534173005,-0.9866055828612019,0.9879659988749154,-0.9872842482147306,0.9883802100552093,-0.9890492391079314,1.975388123121838,0.06713010082260679,normal,0.008742713319980456,0.009723775591995488,0.008592000756305129,0.008060598488210436
