accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.75,0,0.0,0.0161509974083604,-0.3729587609494706,0.3706810000460357,0.0161509974083604,0.21165107704303857,0.8063200778933002,0.9471593430769366,0.9485387982899035,1.0065761927964576,0.939874058978505,0.05218234146013856
0.75,1,0.48139224862359115,0.06205790090650792,-0.25772724528258656,0.3220674670590182,0.06205790090650792,0.2381940071735482,0.855855285566987,0.930537987618782,0.9302521307705974,0.977432092689501,0.9780006914708186,0.05218234146013856
0.75,120,0.3096797113813539,0.059471845375519944,-0.32319451471790317,0.16702867002239946,0.059471845375519944,0.13494785809249843,0.8311516879256666,0.8094047679267486,0.9252433873691598,0.9483128583868433,0.8572942338251298,0.05218234146013856
0.75,240,0.3199209605548233,0.047458042025712105,-0.3611945410305644,0.06782202073604451,0.16275856933007915,0.047458042025712105,0.7687924406170843,0.7205673900411028,0.7986097124087866,0.8339661583613968,0.7941545251481356,0.05218234146013856
0.75,360,0.260481096574205,0.05996396713711144,-0.2573178484335021,0.05996396713711144,0.20078423176659455,0.13264327987561778,0.8392177912440875,0.7448767355981353,0.7362391151972801,0.8038660799256816,0.6979717811896801,0.05218234146013856
0.5,480,0.29909998416103367,0.003061125643740538,-0.2669875405555036,-0.003061125643740538,0.16148966140306142,0.1459723627000773,0.8899477828712268,0.7390652808239971,0.7745407044922946,0.8168508678848746,0.685341241999516,0.05218234146013856
0.5,600,0.21360906336562566,0.028264611113042175,-0.2966587988846787,-0.028264611113042175,0.16648232316917722,0.08915723039826128,0.8582580364430155,0.7252425962995036,0.7504894274567131,0.7949443288189472,0.7171152231035914,0.05218234146013856
0.5,720,0.19458341318860806,0.0631031269223478,-0.24975061035675666,-0.0631031269223478,0.17155533163719155,0.17860521605613244,0.9421233072464048,0.7590054909736668,0.7432671468299404,0.8030194398201265,0.6667636522126648,0.05218234146013856
0.5,840,0.1864948458660307,0.00786646504400293,-0.25791042398328035,-0.00786646504400293,0.16323586174620974,0.11402289510561672,0.8769282460200194,0.7221533766502323,0.728993826754634,0.7784115239356516,0.6602197551997511,0.05218234146013856
0.5,960,0.1893101844441299,0.035928777889190404,-0.2668139299853982,-0.035928777889190404,0.18103427661957103,0.10789416071773536,0.8772111433867331,0.7226138994924116,0.7316005145067932,0.8071487547561038,0.6560787501973432,0.05218234146013856
0.5,1080,0.16589985822018125,0.03730933107312646,-0.24187854597031064,-0.03730933107312646,0.1619590005259831,0.09336003140892614,0.8871269156183512,0.7072948758427251,0.7281683794271131,0.7954309291767252,0.6639030744646328,0.05218234146013856
0.5,1200,0.21014974641273704,0.014216194482033134,-0.1842758802812529,-0.014216194482033134,0.20406184725934426,0.1411327846858905,0.9074354759784311,0.7149110942893337,0.7290160914023721,0.8052659664442593,0.6094828852570227,0.05218234146013856
