timestamp,config_id,workers,hidden,train_limit,batchsize,nbatches,relaxation,stepsize,temp,beta,lr,train_seconds,before_train_error,after_train_error,delta_train_error,before_train_mse,after_train_mse,delta_train_mse,before_val_error,after_val_error,delta_val_error,before_val_mse,after_val_mse,delta_val_mse
2026-05-19T02:12:24,1,16,7840,2048,256,8,150,0.2,0.005,2.0,0.003,27.1094249,0.921875,0.8984375,-0.0234375,13.068502,13.174901,0.10639858,0.875,0.8515625,-0.0234375,13.303943,13.06236,-0.24158287
2026-05-19T02:13:11,2,16,7840,2048,256,8,150,0.4,0.005,2.0,0.003,25.8570215,0.8984375,0.890625,-0.0078125,13.148526,13.320977,0.17245102,0.828125,0.9140625,0.0859375,12.840782,13.791153,0.9503708
2026-05-19T02:13:56,3,16,7840,2048,256,8,150,0.6,0.005,2.0,0.003,25.1897043,0.90625,0.875,-0.03125,13.461967,13.354074,-0.107893944,0.9140625,0.8984375,-0.015625,12.939816,13.13209,0.19227314
2026-05-19T02:14:41,4,16,7840,2048,256,8,150,0.8,0.005,2.0,0.003,24.6995319,0.8984375,0.875,-0.0234375,12.905401,12.624128,-0.2812729,0.8828125,0.859375,-0.0234375,13.601656,13.078819,-0.5228367
2026-05-19T02:15:25,5,16,7840,2048,256,8,300,0.2,0.005,2.0,0.003,25.4429203,0.9296875,0.90625,-0.0234375,13.450059,13.125538,-0.32452106,0.9296875,0.8828125,-0.046875,14.0132265,13.857874,-0.15535259
2026-05-19T02:16:09,6,16,7840,2048,256,8,300,0.4,0.005,2.0,0.003,25.2966359,0.8828125,0.84375,-0.0390625,13.471667,13.147792,-0.32387543,0.921875,0.9453125,0.0234375,13.834708,13.083328,-0.75137997
2026-05-19T02:16:54,7,16,7840,2048,256,8,300,0.6,0.005,2.0,0.003,25.4538795,0.8984375,0.875,-0.0234375,13.38314,13.151545,-0.23159504,0.8828125,0.859375,-0.0234375,13.237983,12.927273,-0.31070995
2026-05-19T02:17:38,8,16,7840,2048,256,8,300,0.8,0.005,2.0,0.003,24.9006342,0.9375,0.8671875,-0.0703125,13.199598,13.516544,0.31694603,0.8984375,0.9375,0.0390625,13.516428,13.040136,-0.47629166
2026-05-19T02:18:23,9,16,7840,2048,256,8,600,0.2,0.005,2.0,0.003,25.5514772,0.8984375,0.8671875,-0.03125,12.606252,13.488768,0.8825159,0.8828125,0.9140625,0.03125,13.10043,12.988312,-0.11211777
2026-05-19T02:19:09,10,16,7840,2048,256,8,600,0.4,0.005,2.0,0.003,26.2773213,0.8828125,0.8671875,-0.015625,13.350757,13.587828,0.23707104,0.9296875,0.9140625,-0.015625,13.065953,13.085444,0.019491196
2026-05-19T02:19:56,11,16,7840,2048,256,8,600,0.6,0.005,2.0,0.003,26.7527849,0.8671875,0.9375,0.0703125,12.988912,13.081288,0.09237671,0.875,0.859375,-0.015625,12.970591,13.033463,0.06287193
2026-05-19T02:20:42,12,16,7840,2048,256,8,600,0.8,0.005,2.0,0.003,26.4775557,0.9140625,0.9296875,0.015625,13.660699,12.419145,-1.2415543,0.8984375,0.859375,-0.0390625,13.265761,13.263533,-0.0022287369
