accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.84472979878272
0.5,1,1.5110064179829805,1.8726349107763098
0.5,300,0.7579551287778677,1.8504676357446435
0.5,600,1.0432693252484484,1.9131818836871417
0.5,900,0.5367153445162521,1.9157319261592067
0.5,1200,0.3017108002261516,1.938082507714591
0.5,1500,0.39506604558275277,1.944573204332476
0.5,1800,0.5206672733099684,1.9658199994180992
0.5,2100,0.43234924768797633,1.975142872659551
0.5,2400,0.5986281869941552,1.95048154527861
0.5,2700,0.1721415784915386,1.9508096851555377
0.5,3000,0.1537178461000778,1.9208477971571822
