epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.0022439865575812,0.5,0.0,0.0,0.0,0.07400545731502418,0.09486065323441269,0.5639744570053821,0.323649121447606,0.0353323788801731,0.5787197741589086,0.10740247137862546,0.1514368729272421,0.5543611413266957,0.4326525735629991,0.005411764852455189,0.6034393645130546
1,1.0086654160248336,0.5,1.8851920074984345,0.12445865000347489,0.07245684964115386,0.04795587635156168,0.10222453216824762,0.569098382828733,0.2926191582850714,0.009684127730704862,0.5674754255574558,0.11214234579301743,0.14525678823421406,0.5502359719831407,0.4540039418757797,0.015326710682162174,0.5964115095461342
100,0.9467861432778728,0.5,1.7264370483139595,0.10780404694519004,0.6469911777438875,0.0647455097070106,0.13413264299936997,0.5721074633947165,0.20903404206711687,0.1121873967052607,0.6297457140225213,0.026853290496390174,0.23892092799768125,0.5778526113652568,0.381491746956735,0.07104402622913107,0.6026893530936593
200,0.6665376938147637,1.0,1.7377756931550195,0.19347163259587002,1.3118558893266115,0.14130244663492483,-0.09866448933792188,0.6118408708692691,-0.00571127953957095,0.2096909926137912,0.7046931580106571,-0.17289876660040254,0.34815292929093306,0.6940873122724339,0.45431509801281716,-0.1267515206701047,0.6138932092201359
300,0.39983152492332474,1.0,2.1327723455908263,0.2669128598356227,2.19384107760003,0.3258074885959916,-0.4321852936480124,0.6477604731281915,-0.1912404095816027,0.31218847494290103,0.7087774796263562,-0.4264253126450097,0.5214728274186078,0.7236335177730553,0.5700388239583943,-0.2572459644455255,0.6673601009567665
400,0.2790237022015075,1.0,1.6833104278197017,0.18915811215010767,2.905705286873458,0.4478719061046399,-0.6154828629402923,0.6456408745207722,-0.3214886351255319,0.43363024124069566,0.7164586120809726,-0.42093323372512353,0.5552710930722636,0.7648735275277948,0.6040389396458892,-0.44461625953569456,0.6056623178159996
500,0.18495085866466318,1.0,1.74608776340142,0.22468946869594594,3.5506477319315413,0.6184403746416903,-0.684410235688261,0.634016595239706,-0.3632386968597485,0.4889815991459488,0.7159196753890781,-0.502759981671355,0.5912072655241485,0.7603433796277658,0.807409453789019,-0.6588736231108324,0.41774076977187696
600,0.15136825846383145,1.0,1.5365943251745633,0.13032398223279518,4.170387135243839,0.6917969355775031,-0.66431004383726,0.6257040995341724,-0.43494101587880235,0.5106604560905472,0.705935980592436,-0.5462783829530974,0.5889929503773166,0.7678330594186668,0.8416030635646611,-0.7887071764924315,0.35647682292894606
700,0.1147797378242749,1.0,1.3888527781844764,0.1307591584899096,4.779349895844288,0.6961515521264549,-0.6844802658959384,0.6251379249072837,-0.5918084285754575,0.6137657021339378,0.6821283895086097,-0.5720773058713982,0.5883123446113777,0.7707473964358453,0.8831658321205229,-0.7895023792389575,0.32236787581830983
800,0.11352554199196457,1.0,1.793348186694697,0.10006690465330788,5.210342110927861,0.6619807397118621,-0.683649848112753,0.6416029991567229,-0.6218589898842491,0.6103735186627,0.6514075169229083,-0.5860501118738318,0.5776971602857328,0.7215874316309723,0.8997603066715509,-0.8016863996311299,0.30623489968889595
900,0.09580868475907481,1.0,1.5640391003507337,0.09173918844297647,5.602549819654288,0.6702164886629431,-0.6766105922961251,0.6295085643243213,-0.6932097570790156,0.7158327133346826,0.4850860839384412,-0.5997787997851841,0.5882754477831671,0.7120044703007963,0.9115731887964225,-0.7981414163174652,0.25793509217775806
1000,0.1057193737806873,1.0,1.8727629500163188,0.11250944281448777,5.908746890718794,0.6786760656012027,-0.6777455791155818,0.6297627118038835,-0.7350382658982981,0.6630302107795454,0.5204005759450117,-0.564121411991612,0.5480930602788798,0.7422755890533871,0.8669387249179117,-0.7926613405941862,0.3158826828959715
