accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.8651537703013914
0.5,1,0.07814083652611793,1.8752521368583832
0.40625,300,0.06698353509162361,1.1563272787710308
0.5,600,0.020035128000338687,1.033310806060166
0.5,900,0.019599987620390284,1.053503200439645
0.4765625,1200,0.01866106003232731,1.086053078450255
0.5,1500,0.01823178912752283,1.112169036352423
0.4765625,1800,0.017840224330405285,1.006741331131221
0.5,2100,0.01855325555294544,1.058514587127488
0.5,2400,0.01725419175181698,1.1528815447148948
0.5546875,2700,0.019197795395616713,1.0028816595681358
0.421875,3000,0.01881987573194274,1.046465530540522
