timestamp,config_id,hidden,output_replicas,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,pixel_copy_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse,initial_graph_path,best_epoch,best_validation_mse,best_graph_path,final_graph_path
2026-05-20T01:41:22,1,120,4,0,0.0,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.0703125,26.959278,0.0859375,25.962463,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,0,25.96246337890625,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:27,1,120,4,1,2.9605966,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.3125,19.229984,0.265625,19.4727,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,1,19.472700119018555,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:29,1,120,4,2,0.9580051,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.3046875,20.222754,0.296875,20.366272,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,1,19.472700119018555,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:32,1,120,4,3,0.9288608,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.2421875,19.960878,0.3203125,19.581566,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,1,19.472700119018555,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:34,1,120,4,4,0.9521643,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.3828125,18.95474,0.34375,18.657646,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,4,18.65764617919922,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:36,1,120,4,5,0.9576376,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.25,19.004349,0.34375,18.71795,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,4,18.65764617919922,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:38,1,120,4,6,0.9449764,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.265625,18.783895,0.2890625,18.862747,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,4,18.65764617919922,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:41,1,120,4,7,1.094011,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.3125,18.786652,0.375,18.343697,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,7,18.34369659423828,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:43,1,120,4,8,0.9414851,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.2578125,19.25111,0.28125,19.146706,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,7,18.34369659423828,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
2026-05-20T01:41:45,1,120,4,9,0.9284079,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.21875,19.866632,0.140625,20.142298,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\initial_graph.jld2,7,18.34369659423828,ext/IsingLearning/experiments/mnist_manager/runs/20260520_784_120_40_15w_lr001_b64_10epoch_saved\checkpoints\config_1\best_graph.jld2,
