config,epoch,score_10,response_norm,score_11,std_11,mse,grad_norm,score_00,std_01,std_00,min_margin,score_01,accuracy,std_10,param_delta
simple_block_s020_T020_b10,0,-0.140883592665423,0.0,-0.5171097678699803,0.2893242378972772,0.8653389108005466,0.0,0.11012930126826974,0.42124145007690894,0.4279263840516611,0.11012930126826974,0.16683121195758754,0.5,0.4896082366049931,0.0
simple_block_s020_T020_b10,1,-0.20421033312258616,0.7987000827052417,-0.4540625677915928,0.32646528714851786,0.8001658641218594,0.7168186051403256,-0.056969672678127935,0.2289342617369574,0.4577005719880417,0.056969672678127935,0.24954210514305247,0.75,0.45678613676666513,0.04301155415576364
simple_block_s020_T020_b10,10,0.010785565274706352,0.7668930735822865,-0.40213358562562307,0.30778526117418725,0.7817662290181864,0.8953631083825515,-0.032242840742166386,0.5663924548531503,0.35213376292420717,0.010785565274706352,0.07559665217384838,1.0,0.5441437237467939,0.2000171846426832
simple_block_s020_T020_b10,20,-0.30991435113259447,0.7794704526720715,-0.04093110709027759,0.28180409910387166,1.194279922251801,0.6081694108971851,0.18130937511985398,0.2920150711943878,0.5220964405898699,0.04093110709027759,0.13632233986808653,0.5,0.3569910275158363,0.34420543354456873
simple_block_s020_T020_b10,30,-0.34929303359095515,0.7917410073904225,-0.5941138935990815,0.40072931887891405,0.7731199000335298,0.7750919989948898,-0.22068864590901768,0.43896570918713274,0.6617093072008442,0.22068864590901768,0.2930217884173383,0.75,0.43315759844065976,0.46596947238903036
simple_block_s020_T020_b10,40,-0.1307283232858577,0.8208044442773558,0.06023787529107791,0.5641182113582001,0.9558769872630078,0.5455062569905214,-0.0461645653094343,0.565477098770724,0.7547705387806403,0.0461645653094343,0.2851188775061234,0.5,0.5597051596262285,0.5669695137382712
simple_block_s020_T020_b10,50,-0.539752495269783,0.8282164820073267,-0.40029430697584306,0.5430178375862067,0.9598101317959566,0.6491004962592526,-0.17091317798540656,0.6580657328470831,0.7438796801727985,0.17091317798540656,0.35086911657935954,0.75,0.360935591775323,0.6702425993870595
simple_block_s020_T020_b10,60,-0.3659192441266329,0.8271109100018358,-0.15596989975799702,0.6368369492742499,0.997625151541553,0.6577203406172307,0.027033324012339238,0.5023025530528895,0.5953550470798012,0.027033324012339238,0.4020192595539727,0.5,0.6389731175976888,0.771158651200639
simple_block_s020_T020_b10,70,-0.04721498161627999,0.8006862836315597,-0.6381094848280144,0.39969422647135905,0.6118306844607366,0.6416349220084759,-0.28436746276631364,0.6261765427622514,0.6745758335326473,0.04721498161627999,0.15882888375646623,0.75,0.702002129585162,0.8948961398656179
simple_block_s020_T020_b10,80,-0.17368240355669273,0.7982035199344053,-0.5928445625465865,0.388107079721191,0.7256527456969225,0.9413575908714458,-0.44422805997098935,0.6519337006266331,0.6798218197516969,0.02490126295052613,-0.02490126295052613,0.5,0.591160339974318,1.0325508053662988
simple_global_s020_T020_b10,0,-0.3626152806776947,0.0,-0.012684733826481179,0.42692476764646065,1.2067226383351153,0.0,0.14238253582769267,0.3042899911587456,0.40010677584291143,0.012684733826481179,0.169132467103984,0.5,0.5166842702286016,0.0
simple_global_s020_T020_b10,1,-0.14071843840833798,0.7653869249442009,-0.2695405364911636,0.29977737884050876,0.8815666543519158,0.7061865669837581,0.08452933136932267,0.6202675743775847,0.3531875297566864,0.08452933136932267,0.2821886297550736,0.5,0.4333838032776493,0.04301154321754081
simple_global_s020_T020_b10,10,-0.07163278727800886,0.7723125165219878,-0.15700757590202566,0.6278231013300984,0.9350115281002651,0.6427970993769095,-0.25258030511593305,0.5382518535440134,0.42390123453133244,0.07163278727800886,-0.14994645712078938,0.5,0.5310656589357564,0.20044614457549692
simple_global_s020_T020_b10,20,-0.3323670644589913,0.7842736336813968,-0.19340406861988216,0.5770599965510936,1.1839815972117302,0.7372824634343818,0.27843667687070267,0.4732893518408134,0.3879997262153817,0.177973807531241,0.177973807531241,0.5,0.42367417547881503,0.29469497130050043
simple_global_s020_T020_b10,30,-0.301854067275541,0.7790301364265498,-0.16725017828778724,0.7588103155353056,1.1617054878718818,0.769732477168218,-0.021254316540998637,0.4719023556383357,0.631242965858673,0.021254316540998637,-0.1404308661879985,0.5,0.38640632783051,0.39629466310237876
simple_global_s020_T020_b10,40,-0.10911305644898382,0.7658938864799223,0.26685650171754255,0.47997482609363423,1.1085545638957932,0.6454093740276562,-0.12824891441567646,0.631183710255415,0.47969052212992275,0.0839153246363579,0.0839153246363579,0.5,0.6884004593278648,0.5163809965822714
simple_global_s020_T020_b10,50,-0.13016812171019088,0.7980532712064811,-0.007321144648231248,0.688720689128675,1.0454574793581706,0.6179530600036084,0.15924197517592797,0.6117703875074432,0.5842236988569043,0.007321144648231248,0.2415168642412297,0.5,0.6437523002252078,0.6332249730265745
simple_global_s020_T020_b10,60,-0.5832150918988918,0.7838150324234365,-0.038957708623824874,0.6455361311104885,1.2213929595918889,0.6793885010489797,-0.19521783090083708,0.6449039904456484,0.5791001855262119,0.038957708623824874,0.10126467431305655,0.75,0.5758846095498221,0.737628587155307
simple_global_s020_T020_b10,70,-0.3339443842721459,0.7624767585823884,-0.5487826554685858,0.4201426741081379,0.9070339211875917,0.7087156087127241,-0.27180786910886734,0.7908487494705001,0.43053009084225047,0.0558727162501281,-0.0558727162501281,0.5,0.48685569651346183,0.8409348265952049
simple_global_s020_T020_b10,80,-0.40991988702613047,0.7965784839806538,-0.38720416774613997,0.5446161100216129,1.145869383124307,0.7236066177678335,0.2453092924541217,0.6831323368675846,0.6801189423644461,0.18189885786342708,0.18189885786342708,0.5,0.5634205193559418,0.9741467057409328
simple_global_s035_T020_b10,0,-0.15077758280044307,0.0,0.1974172248565964,0.4473638004213279,1.071056079721095,0.0,0.022651156450642432,0.3352369333090288,0.5242155204816953,0.022651156450642432,0.30695463666853634,0.25,0.418160050636623,0.0
simple_global_s035_T020_b10,1,-0.31628754897768074,0.8124770412413201,-0.44477840230788185,0.35654880148171975,0.9248202803481624,0.6779678075246858,0.05875350627741724,0.4378784261190317,0.5166633497077275,0.05875350627741724,0.2668982333942534,0.5,0.23742426415308343,0.03440922941228939
simple_global_s035_T020_b10,10,-0.3047822735969917,0.7853618448764167,-0.1348626203539449,0.5272945683697481,1.1535151470154932,0.6878420000565556,0.1882110361268552,0.47476228966145917,0.2683517381001461,0.133226872512455,0.133226872512455,0.5,0.3390578936358848,0.1396979169097933
simple_global_s035_T020_b10,20,-0.29241529027293334,0.8146087885374252,-0.46107620419019435,0.39162170673492486,0.7723554786150182,0.6957135894514339,-0.28338820441990076,0.6249907061125433,0.5827270258664968,0.21570840328726004,0.21570840328726004,0.75,0.5778490858028774,0.1931119051201616
simple_global_s035_T020_b10,30,-0.26646442503962214,0.7969791839840479,-0.2136758341942526,0.48780297141160245,1.1257911720656915,0.7553579373845826,0.2386725337983963,0.6895999029306247,0.35999522104078446,0.13592985894941323,0.13592985894941323,0.5,0.48855577581174575,0.2472894471829235
simple_global_s035_T020_b10,40,-0.17194855369063244,0.7611533506685264,-0.14588063691823305,0.5729974241593145,0.9070241312659951,0.672548966419841,0.02654866725009316,0.3730106054273406,0.4228903473703035,0.02654866725009316,0.3134790171143569,0.5,0.2987635482993897,0.32389110047674563
simple_global_s035_T020_b10,50,-0.016890145378496993,0.8014866307404397,-0.3020649874197669,0.6100811319914738,0.8438208681613172,0.736066738813313,0.28244004470129547,0.276462149762045,0.5509669896601385,0.016890145378496993,0.5423405689395908,0.5,0.5041023804266714,0.40782721457569693
simple_global_s035_T020_b10,60,-0.1687187455073622,0.799396402025863,-0.5740371473546828,0.29760270002892847,1.0164629756144514,0.8302544105306763,0.3206781589356489,0.43502606118244186,0.45138809016261544,0.12004929397487717,0.12004929397487717,0.5,0.4954531836571211,0.4920512675216021
