timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T04:51:02,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.48828125,3.80615,0.4609375,3.772124
2026-05-19T04:51:13,1,512,1,10.2847047,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.517578125,3.1113403,0.541015625,3.1745152
2026-05-19T04:51:17,1,512,2,2.7730741,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.51171875,3.1297739,0.49609375,3.1498454
2026-05-19T04:51:21,1,512,3,2.7457827,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.529296875,3.0708382,0.525390625,3.038131
2026-05-19T04:51:24,1,512,4,2.7663115,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.529296875,3.1837423,0.474609375,3.0253384
2026-05-19T04:51:28,1,512,5,2.7932065,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.5390625,3.1260188,0.541015625,3.1701875
2026-05-19T04:51:31,1,512,6,2.739889,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.4765625,3.2466316,0.53515625,3.1166227
2026-05-19T04:51:35,1,512,7,2.7377324,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.490234375,3.0927446,0.5078125,3.0958493
2026-05-19T04:51:39,1,512,8,2.8275607,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.51953125,3.0327868,0.548828125,3.0796132
2026-05-19T04:51:42,1,512,9,2.8167032,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.52734375,3.194617,0.544921875,3.1158297
2026-05-19T04:51:46,1,512,10,2.7462068,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.533203125,3.127004,0.5078125,3.206533
2026-05-19T04:51:50,1,512,11,2.7793477,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.560546875,3.202456,0.4921875,3.2019587
2026-05-19T04:51:53,1,512,12,2.815592,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.5546875,3.1882277,0.5234375,3.1209638
2026-05-19T04:51:57,1,512,13,2.7045113,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.525390625,3.1228232,0.580078125,3.0967927
2026-05-19T04:52:00,1,512,14,2.717347,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.51171875,3.1209714,0.5546875,3.1413512
2026-05-19T04:52:04,1,512,15,2.7730352,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.513671875,3.0158732,0.5546875,3.0284019
2026-05-19T04:52:08,1,512,16,2.8567861,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.580078125,3.0262403,0.494140625,3.06694
2026-05-19T04:52:11,1,512,17,2.7540614,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.53515625,3.078929,0.578125,3.0143476
2026-05-19T04:52:15,1,512,18,2.7514016,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.53125,3.1234317,0.51953125,3.0929942
2026-05-19T04:52:19,1,512,19,2.9168462,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.5078125,3.1495812,0.515625,3.1525195
2026-05-19T04:52:22,1,512,20,2.7847564,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.003,0.48828125,3.311897,0.509765625,3.2637026
