epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.7799354114424328,0.75,0.0,0.0,0.0,-0.7336530732760776,0.9291201156030889,0.33136356307604226,-0.9542142212313076,-0.9458824380628189,0.029925871741173497,0.9267382342645724,0.9631856575175461,0.030823922693427458,0.9293039355881682,-0.9279053426116551,0.040941277163103654
1,1.9783063826231184,0.5,1.4753400095518419,0.507928840750982,0.9666432504761412,-0.945167238067589,-0.9463939138582582,0.039510353105770196,-0.862397702286903,0.13744156002576263,0.42289268515449546,-0.8242504953309743,-0.9623114050025021,0.265601702088613,-0.9069004876202256,0.9388494014427091,0.08309750784278247
150,1.3352737997025437,0.5,1.3499709285506454,0.4931233169016532,6.435441586678022,-0.8426788114478306,0.03898183184963506,0.5761044376727795,-0.8680318809316326,0.038596286427733356,0.5573496915253121,-0.867986126814399,0.30003825429422365,0.4927526940967955,-0.858964063216662,0.14123081238240565,0.5907843239883578
300,1.733660373420626,0.25,1.6009389711110562,0.42543273825248634,7.483342084454838,-0.8482031517811707,-0.8359235464269715,0.0886642397808676,-0.8411193477903367,-0.8769327228209901,0.08565440261474946,-0.8636531182287457,-0.8506622361278182,0.09144810339989745,-0.8464339724451992,-0.8402254467909605,0.08470215349517357
450,1.7432222234849826,0.5,1.3804376378901733,0.42462839020162346,8.465019318644114,-0.8543729668915344,-0.8735762107175596,0.08235749940835703,-0.8402549377519136,-0.8614229428738518,0.0910709552160753,-0.852767796413435,-0.8939619784805511,0.0869504279805211,-0.8395202735253657,-0.9101238548798086,0.07987522051778148
600,1.756764208735123,0.25,1.1859879411732448,0.42123850928408013,9.173407445319667,-0.8584994456064252,-0.872341602864311,0.0896470663036669,-0.8430836675119628,-0.8606983073510437,0.09166840879080602,-0.8502699219712151,-0.8680127922150378,0.08088254160357959,-0.8882870269833819,-0.860511278583038,0.08528907278894704
750,1.5992258927462046,0.5,1.6040053046152531,0.4314233513757428,9.64985868097732,-0.8373423758818728,-0.7193631498148019,0.20079355815926356,-0.8557163783837622,-0.6699540690880121,0.22469169355785934,-0.8500720726915727,-0.7324631908909046,0.2139283438543903,-0.8382444252973648,-0.6441783038789233,0.20678956246533317
900,1.6874401505098697,0.5,1.522719155261615,0.4379726786296292,9.984469949436717,-0.8540235198112405,-0.8169220372185758,0.09986610073879232,-0.827571646659815,-0.7926683348433722,0.10396145207633568,-0.858965674522434,-0.8145840841319125,0.1006381404444573,-0.8551492056109382,-0.8238622658340172,0.0955163881223877
1050,1.6815636742028308,0.5,1.2365851197108797,0.4404657040142719,10.465625894153721,-0.8298642554738995,-0.8099409602833931,0.10479129289834499,-0.8636639448159213,-0.8194971454756821,0.11487645108768478,-0.83393319041796,-0.7743524246286584,0.10035658988614171,-0.8784875589924988,-0.8150509315342859,0.09815485577507264
1200,1.75333712735056,0.0,1.4392386321815989,0.4314111265802076,10.562209597371263,-0.8728802838141948,-0.8597788332608687,0.08161943837259479,-0.8467291398043107,-0.8483435285679283,0.08135461062097513,-0.8589148286485613,-0.8688911053036426,0.08553919932775987,-0.8783458459935848,-0.8634473607025488,0.07534341123794303
1350,1.729775049957755,0.75,1.5266350845508678,0.4259836345305168,10.790711447418275,-0.859558840346925,-0.8293678145367153,0.0943155221362052,-0.8696634564122202,-0.8569180729777242,0.07957281469349267,-0.8542993704411772,-0.8469401421377492,0.08791823059695808,-0.8537539474486535,-0.8689527867032767,0.08468863363746518
1500,1.670475444214917,0.75,1.2261838488666357,0.43041348023214543,12.040990598377633,-0.8699953586187854,-0.8461942211552166,0.08625228461571079,-0.8471863196315931,-0.808045484526088,0.08120962711986848,-0.8632992312026881,-0.8225390534850828,0.08596106389674991,-0.7807388412926463,-0.8012094638112299,0.23574898328491442
