timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,target_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T04:44:33,1,128,0,0.0,276,2.0,2,0.2,0.1,0.003,0.087890625,3.671519,0.111328125,3.728846
2026-05-19T04:44:42,1,128,1,8.2660973,276,2.0,2,0.2,0.1,0.003,0.076171875,3.5331852,0.11328125,3.481342
2026-05-19T04:44:43,1,128,2,0.697651,276,2.0,2,0.2,0.1,0.003,0.087890625,3.369869,0.11328125,3.3113863
2026-05-19T04:44:44,1,128,3,0.5261615,276,2.0,2,0.2,0.1,0.003,0.087890625,3.1966891,0.064453125,3.2674713
2026-05-19T04:44:44,1,128,4,0.6037378,276,2.0,2,0.2,0.1,0.003,0.091796875,3.1517751,0.10546875,3.0829368
2026-05-19T04:44:45,1,128,5,0.6256062,276,2.0,2,0.2,0.1,0.003,0.09765625,3.1305099,0.1171875,3.1784987
2026-05-19T04:45:04,2,512,0,0.0,1044,2.0,2,0.2,0.1,0.003,0.083984375,3.760744,0.09375,3.7013502
2026-05-19T04:45:14,2,512,1,9.3054095,1044,2.0,2,0.2,0.1,0.003,0.080078125,3.2235503,0.1015625,3.237152
2026-05-19T04:45:18,2,512,2,2.8733844,1044,2.0,2,0.2,0.1,0.003,0.087890625,3.2466795,0.109375,3.2719882
2026-05-19T04:45:21,2,512,3,2.7114277,1044,2.0,2,0.2,0.1,0.003,0.095703125,3.3250084,0.10546875,3.28023
2026-05-19T04:45:25,2,512,4,2.6801671,1044,2.0,2,0.2,0.1,0.003,0.119140625,3.2792962,0.091796875,3.3324473
2026-05-19T04:45:29,2,512,5,2.8084965,1044,2.0,2,0.2,0.1,0.003,0.095703125,3.2611146,0.09765625,3.3709688
