accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.4697510630672001,-0.7777121672976122,-0.8579237693614682,0.5807063402498205,0.4697510630672001,1.4593169934549288,0.0,0.47935842800306006,0.2644194574168396,0.6649825994022508,0.8225582225540103
0.5,1,0.19796981433750413,0.4362645377408315,-0.7423085950055017,-0.7699173422159633,0.4362645377408315,0.46338500060382415,1.4145763974714176,0.4526297406697787,0.49422015788655593,0.3335263356313918,0.8227821493106455,0.8379711747784433
0.75,100,0.08430655792210971,0.04412049071965966,-0.3094085314373973,0.04412049071965966,0.41168186782839433,0.8249477500066612,1.2667936819024346,0.5852524354677531,0.8008273365291027,0.9203021118807725,0.7458729614339282,0.026825554618539704
0.5,200,0.08002737976594328,0.041624573352269226,-0.35361837623679737,-0.041624573352269226,0.3876411490444303,0.7829895928374094,1.2642065514650471,0.5697594713469818,0.7453667487836733,0.8667305948145707,0.6894059980844831,0.015378761300701878
0.75,300,0.03783131957941413,0.16050725133198385,-0.7591991294042472,0.16050725133198385,0.45800850742898924,0.7649590183629925,1.042892062216516,0.41074969172434156,0.055465234661963576,0.8739693724822419,0.6336879516551146,0.014286233719626222
0.75,400,0.059725759106425504,0.12320491803768227,-0.7926398702183298,0.12320491803768227,0.44674801968772176,0.7854335741801627,1.0764071601763967,0.40320381123204646,0.014804824505306645,0.9270775063402465,0.6957871169894663,0.012086276953611329
0.75,500,0.03463134554340946,0.4657524433468806,-0.7962926099953685,0.4657524433468806,0.7857787399070058,0.8041344925423368,0.9069272919972882,0.3887382384491976,0.010669994503272568,0.8223088028694461,0.03204001408665956,0.015645488364252634
0.5,600,0.06299174562318206,0.06561468077071947,-0.794598020874738,-0.06561468077071947,0.8009515193962892,0.8195776073209685,1.1320518968993007,0.4093147125228115,0.01071209421729578,0.9026743702470644,0.008973938386992186,0.011825828538308896
0.5,700,0.05006238920021796,0.2282826261976355,-0.7748685505823403,-0.2282826261976355,0.7934870607078253,0.7906535673092557,1.2021125428870785,0.414646260985271,0.011238529184772443,0.8067055013787912,0.013686070253856517,0.05859982390988906
0.5,800,0.04495107419423442,0.11327636351368461,-0.7454097229213666,-0.11327636351368461,0.779313160786116,0.6043869302386417,0.9817401434160038,0.3944442521551667,0.012271615240677549,0.8238555450159694,0.012849433436502312,0.2779470128319324
0.5,900,0.056599235116037865,0.11963618226936007,-0.7355053196109259,-0.19521605598991182,0.771421704404318,0.11963618226936007,0.7010830185785834,0.4926959366130545,0.01854689796401887,0.7759360487769138,0.008248612255931868,0.7159967540527136
0.5,1000,0.06530452785719332,0.007623244059534885,-0.7065542892679146,-0.4015213184447386,0.7612353227569836,0.007623244059534885,0.78067139106754,0.4100714224741218,0.016145246997468467,0.6528205378031037,0.013293752744164548,0.8311553951232393
0.75,1100,0.0626268568477928,0.1331134203458176,-0.666966198788657,-0.2471442010726217,0.744593016781235,-0.1331134203458176,0.6207513100199454,0.3937802136038657,0.020631514752050252,0.6850268274488548,0.013762489757937353,0.8615903524976213
0.75,1200,0.09237406686287915,0.13309853854161297,-0.6351052056857698,-0.22995768046086096,0.7276157278762623,-0.13309853854161297,0.6179138605553378,0.48787936958124273,0.027980015366386474,0.67035343073335,0.016485806828128745,0.8538829474376276
0.75,1300,0.07076983106245328,0.12407490785745001,-0.6137379441782967,-0.12407490785745001,0.7020880521782707,-0.1386747762300202,0.5608438609999213,0.40814149841458697,0.01844163460389297,0.6931805600699913,0.020188242092201852,0.8573421804116133
0.75,1400,0.06466177919393143,0.12253015569909517,-0.5787398082863495,-0.12253015569909517,0.6873391431844786,-0.42076717953002335,0.4677003928176691,0.4193209138067845,0.025931285163493568,0.6873527973868155,0.01778827723672298,0.7382175053966163
1.0,1500,0.07044491744724687,0.19514593948687517,-0.5739764372569343,0.19514593948687517,0.6665618953736882,-0.6017317830927892,0.274771169237999,0.38803660511706095,0.024708622461194957,0.7201932508118637,0.024029268246204494,0.556655723436996
1.0,1600,0.07647175466534176,0.15158263127047825,-0.5768603840687595,0.15158263127047825,0.6668530826469284,-0.7749875041058768,0.26511916449568,0.42155121573400595,0.030262572530405353,0.7039649402045909,0.021199641016832332,0.09077507873212193
1.0,1700,0.09513723119311117,0.30660437950947406,-0.5836622735306578,0.30660437950947406,0.6809796999852236,-0.7548949348454695,0.2039962584457567,0.3827700541856566,0.03491869586226767,0.6739920592160353,0.015151196670241111,0.1366847071130262
1.0,1800,0.0744088898554394,0.3924114830350424,-0.5921311656102457,0.3924114830350424,0.6789342756494005,-0.737998808481383,0.1768121539310209,0.34795881809503,0.024065358954981714,0.6063426177208312,0.025782280362369663,0.054863848071078254
