epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.0050698711835504,0.25,0.0,0.0,0.0,-0.030486988106675404,-0.024258754159597305,0.023680401697983973,-0.02387230359743649,-0.029693436100793023,0.025932116171038314,-0.03576778424246123,-0.029213247681808455,0.026343097545886807,-0.03336249417452507,-0.02192587884721292,0.0222077782189362
1,0.9993851563994364,0.5,0.6658254506182618,0.03900471159472273,0.012082931204556743,-0.024729459099365487,-0.02354428721717884,0.02494145437140275,-0.027500514249729376,-0.02145731658844714,0.023861475302484975,-0.030873952615133992,-0.027823054565564286,0.025678885847239038,-0.03366193667984137,-0.03132451157801412,0.02495584094779687
100,1.001065775754219,0.5,0.5948640703918397,0.03630650554179214,0.15239241056467,-0.021349635261943417,-0.020807262629512994,0.02316582135378823,-0.0215550309270615,-0.026879364749561655,0.02244418698169932,-0.02413800842548404,-0.02281070018295059,0.021384842824658676,-0.022659401348515608,-0.0250967646800481,0.023350879850405654
200,1.001128677164989,0.5,0.6975243010958255,0.03419557911368018,0.18783968414328617,-0.030164120571138268,-0.018457930362850598,0.02542518895025876,-0.023527343964727082,-0.020218851082907222,0.022789322585331572,-0.028919096784138183,-0.018316430866876177,0.0250648840421765,-0.02727477522346401,-0.02288118548647633,0.023485157484420704
300,1.0028948799469997,0.25,0.6207802563573497,0.032893938180514705,0.2546476947030903,-0.02246784702746616,-0.015661261274469197,0.02546270514500246,-0.02372782120584566,-0.014409028388887865,0.024268434965811363,-0.01762615340846538,-0.018990330643448124,0.024934860391001464,-0.024100567737920898,-0.012841905469112602,0.026610035017251177
400,1.0020790507766124,0.5,0.6173745230907203,0.03172473744382389,0.2892200425325981,-0.027821575500698536,-0.017302592376044357,0.02330755882627826,-0.02532089961503305,-0.024537802250024176,0.02555446536128188,-0.028310317500169605,-0.018716126948552663,0.022883785988432506,-0.018561734338333535,-0.012370226152144784,0.02392623813305094
500,1.002360806611518,0.25,0.6791884891416355,0.0316004065099194,0.31563463652010915,-0.024867294907206006,-0.02221972722333307,0.02530392641518435,-0.02254793908287508,-0.022806048951297116,0.023804505570315253,-0.021600477823667853,-0.01928449246758412,0.023049342406943195,-0.023702192219697105,-0.016759544265580597,0.02325342496091186
600,1.003787581267196,0.25,0.6716133705727394,0.02994091110887955,0.3548728111931374,-0.023093077468979414,-0.01806090469759785,0.021858760015853154,-0.01651593063005684,-0.022503923649072284,0.021696380431098793,-0.024944834304723724,-0.020021327322269408,0.021963699557368346,-0.023393137811983798,-0.016073157879548754,0.023472013772209397
700,1.0008007954047478,0.5,0.6809186351919024,0.030183341196176355,0.40834923958012154,-0.015593766625469763,-0.016481747199818226,0.02244439239377186,-0.014944467899415378,-0.019252988314264308,0.023818563290254353,-0.01877101703757527,-0.018880659708345723,0.023176622391193825,-0.014703495659970258,-0.016178290801084776,0.023264906688251378
800,1.0000485817629876,0.5,0.5554569621234055,0.028043612036473143,0.4423652480323769,-0.01760660848116048,-0.020460598640991128,0.025502301747191338,-0.013809041004981188,-0.018465439015462236,0.02287227240742526,-0.011472721500009272,-0.01890275609745768,0.023378981767375122,-0.012526250060444432,-0.022776824973397586,0.02226631610795512
900,0.9995593038014826,0.75,0.5652446056267014,0.0269788846817811,0.48069281447161805,-0.016573891429654982,-0.017255819783401648,0.02449908650878185,-0.01855202387581974,-0.018130428875568688,0.022784252859142436,-0.014872482459865171,-0.019914757994234332,0.022890115703482764,-0.016433940264691523,-0.023477683012823474,0.023802611305944844
1000,1.0035587768405114,0.0,0.5933751586876269,0.026945593596974963,0.49323482386746753,-0.019004463719464647,-0.015717303003874285,0.023341418577231533,-0.017330654534837082,-0.017494457412432256,0.020672722827606908,-0.01681216173093271,-0.0171446600504213,0.026088361798907875,-0.025572523564001984,-0.016479237241401015,0.02445693260348997
1100,1.000582034506268,0.5,0.7696100053920616,0.027723533765787105,0.5475605044812352,-0.020897649524077664,-0.017427656769888614,0.02414022088329048,-0.01575040534704197,-0.013559769284201708,0.024978922178672484,-0.012551761321430809,-0.018807800731108045,0.02226599216090855,-0.014410916035758878,-0.020779738972270357,0.024335287300003946
1200,0.9995109040021,0.5,0.7484239117619795,0.026755179716549303,0.5704539002805591,-0.012587260766167466,-0.011027949596642389,0.02298429264562605,-0.014747153845428879,-0.01826936674064542,0.025024175347986212,-0.018457577311776822,-0.011039302160440136,0.02228533340292628,-0.014528430080661646,-0.015013224818677355,0.022277367351218567
