accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.8346006176644971
0.5,1,0.28997493057765034,1.8686643506795226
0.5,300,0.15911686045024995,1.9658652520694715
0.5,600,0.043817634008493006,1.9826075107912053
0.5,900,0.039087719915826595,1.9837822515123404
0.5,1200,0.04046001898955694,1.9835416720804002
0.5,1500,0.04179889797870392,1.9835084004458647
0.5,1800,0.03439238380243703,1.985896673201999
0.5,2100,0.06685183377040141,1.982943010731947
0.5,2400,0.07187241415157015,1.9840120006493853
0.5,2700,0.038887167326151724,1.984338161054448
0.5,3000,0.032842454665490246,1.9830520322362715
