fullsweeps,meanabs,frac_09,frac_099,frac_mid,dH_rms,residual_rms,energy,readout_abs,acceptance_rate
0,0.471969895091,0.0875,0.00625,0.53125,0.538357998176,0.454536813949,0.0735255392839,0.309955986214,0
100,0.914193602677,0.86875,0.28125,0.0625,0.866610300982,0.0554818979622,-9.78888944817,0.49876905722,1
200,0.953568784779,0.9375,0.29375,0.01875,0.890552686471,0.0325675343375,-10.0930078493,0.372771034822,1
300,0.965816049411,0.95625,0.36875,0.01875,0.89111760045,0.0268904898875,-10.1289926047,0.379241541959,1
400,0.971276722432,0.975,0.35625,0.00625,0.891854256748,0.0265057375347,-10.1398410378,0.368956778242,1
500,0.974571499142,0.975,0.39375,0,0.890235198097,0.0283459381126,-10.1006225421,0.368451700366,1
600,0.977763556169,0.99375,0.39375,0,0.891479604407,0.0264063533736,-10.1419116665,0.365852904246,1
700,0.978892552219,0.99375,0.44375,0,0.892855470848,0.0252270855628,-10.1503443157,0.379700809158,1
800,0.977641849544,0.9875,0.38125,0.00625,0.892351578369,0.0249160193747,-10.1438281684,0.375308625455,1
900,0.977913870664,0.99375,0.425,0.00625,0.892247389761,0.0241756524571,-10.1683279407,0.372618065824,1
1000,0.977343218384,0.99375,0.3875,0.00625,0.891597665675,0.0254446168726,-10.1672590223,0.372159659355,1
1100,0.975170907025,0.9875,0.40625,0.00625,0.889684274593,0.0281082997084,-10.0956033773,0.374808872632,1
1200,0.97619258532,0.99375,0.39375,0.00625,0.892365708422,0.0244775266833,-10.1755427439,0.374673115518,1
1300,0.976224649489,0.9875,0.40625,0.00625,0.892398335061,0.0250264641571,-10.159688495,0.369759368015,1
1400,0.977394004417,0.99375,0.41875,0.00625,0.893479668051,0.02263186433,-10.2071460237,0.368422782163,1
1500,0.975054436295,0.9875,0.36875,0.00625,0.892204346285,0.0256372730446,-10.1514525105,0.372958296754,1
1600,0.975268122401,0.99375,0.44375,0.00625,0.892992236717,0.0260722456488,-10.158484671,0.365586401226,1
1700,0.976921663789,0.99375,0.40625,0.00625,0.891928330758,0.0241766491583,-10.1803628123,0.374603943498,1
1800,0.975060202173,0.9875,0.375,0.00625,0.890263979449,0.0269340014639,-10.1089007672,0.370884425184,1
1900,0.974956973639,0.98125,0.36875,0.00625,0.890271385997,0.0275559169097,-10.1129337848,0.36939311172,1
2000,0.976730040918,0.9875,0.375,0.00625,0.892506137923,0.0240450325419,-10.1806737864,0.373169958713,1
