config,nn,seed_index,seed,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
nn1_seed01,1,1,17204,0.973764,0.5,50,-0.004563121,70,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn1_seed01
nn1_seed02,1,2,27204,0.98412323,0.5,130,-0.0029400773,50,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn1_seed02
nn1_seed03,1,3,37204,0.96767414,1.0,130,0.012652837,130,130,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn1_seed03
nn1_seed04,1,4,47204,0.98776436,0.5,130,-0.04626687,160,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn1_seed04
nn1_seed05,1,5,57204,0.9888726,0.5,150,-0.017000295,10,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn1_seed05
nn2_seed01,2,1,17305,0.9688866,1.0,60,0.0037822574,60,60,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn2_seed01
nn2_seed02,2,2,27305,0.9778525,0.75,10,-0.018680893,10,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn2_seed02
nn2_seed03,2,3,37305,0.96943736,0.5,130,-0.0076092854,90,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn2_seed03
nn2_seed04,2,4,47305,0.9823328,0.5,0,-0.057026975,0,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn2_seed04
nn2_seed05,2,5,57305,0.9750428,0.5,0,-0.07475001,0,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn2_seed05
nn3_seed01,3,1,17406,1.0066,0.5,10,-0.109059125,10,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn3_seed01
nn3_seed02,3,2,27406,1.003078,0.5,40,-0.027576603,10,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn3_seed02
nn3_seed03,3,3,37406,0.98553187,0.5,140,-0.024818435,90,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn3_seed03
nn3_seed04,3,4,47406,0.9961857,0.75,20,-0.03838864,20,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn3_seed04
nn3_seed05,3,5,57406,0.98727405,0.5,130,-0.017770458,10,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn3_seed05
nn4_seed01,4,1,17507,0.8414454,0.75,160,-0.17914188,20,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn4_seed01
nn4_seed02,4,2,27507,0.76359326,0.75,130,-0.008252022,160,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn4_seed02
nn4_seed03,4,3,37507,0.7583435,1.0,160,0.04948321,160,160,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn4_seed03
nn4_seed04,4,4,47507,0.7969359,1.0,100,0.0077521354,100,100,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn4_seed04
nn4_seed05,4,5,57507,0.8823224,0.75,150,-0.08905408,30,-1,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn4_seed05
nn5_seed01,5,1,17608,0.21164757,1.0,160,0.45114872,160,40,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn5_seed01
nn5_seed02,5,2,27608,0.1776464,1.0,150,0.4574963,140,90,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn5_seed02
nn5_seed03,5,3,37608,0.22873648,1.0,150,0.37910753,110,70,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn5_seed03
nn5_seed04,5,4,47608,0.3300823,1.0,150,0.03437826,150,150,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn5_seed04
nn5_seed05,5,5,57608,0.23526569,1.0,150,0.34604913,160,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn5_seed05
nn6_seed01,6,1,17709,0.105032235,1.0,160,0.56027913,160,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn6_seed01
nn6_seed02,6,2,27709,0.0055238684,1.0,120,0.9499781,110,20,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn6_seed02
nn6_seed03,6,3,37709,0.019731771,1.0,140,0.8155281,140,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn6_seed03
nn6_seed04,6,4,47709,0.091641985,1.0,160,0.561849,160,40,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn6_seed04
nn6_seed05,6,5,57709,0.108845405,1.0,160,0.52869964,160,30,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn6_seed05
nn7_seed01,7,1,17810,0.16303456,1.0,90,0.34266192,130,10,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\XOR\edge-driven-single-layer-readout\experiments\current\separate_input_output_lines_side16_nn1to10_seeds1to5_e160\nn7_seed01
