name,best_mse,best_acc,best_epoch,run_dir,height,width,nn,temp,stepsize,beta,lr,gradient_mode,minit,free,nudged,output_repeats,input_scale,hidden_scale,output_scale,output_internal_scale
4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,0.9726203970363198,0.6640625,300,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260518_013537/01_4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,4,4,5,0.001,0.1,1.0,0.005,plus_free,4,1000,1000,1,0.4,0.2,0.4,0.0
4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,0.9555696195734178,0.625,600,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260518_013537/02_4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,4,4,5,0.001,0.1,1.0,0.005,plus_free,4,1000,1000,1,0.4,0.2,0.4,0.0
4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,0.9789972400768328,0.640625,2400,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260518_013537/03_4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,4,4,5,0.001,0.1,1.0,0.005,plus_free,4,1000,1000,1,0.4,0.2,0.4,0.0
4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,0.5773806399664544,0.7265625,3000,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_twoout_grid_20260518_013537/04_4x4_nn5_out2_T0.001_eta0.1_b1.0_lr0.005_gmplus_free_m4_f1000_n1000_is0.4_hs0.2_os0.4_ois0.0,4,4,5,0.001,0.1,1.0,0.005,plus_free,4,1000,1000,1,0.4,0.2,0.4,0.0
