run,group,metric,epochs,best_value,final_value,mean_slope,median_slope,mean_last10_slope,positive_slope_fraction
diagnostics/low_beta_equilibrium/symmetric_temperature_grid/r8_sym_b0p25_Tc0p03_Tr0p3_burn25_avg10_e60,diagnostics,train_accuracy,59,0.126,0.108,0.00020338983050847452,0.0,0.0011999999999999997,0.423728813559322
diagnostics/low_beta_equilibrium/symmetric_temperature_grid/r8_sym_b0p25_Tc0p03_Tr1p0_burn25_avg10_e60,diagnostics,test_accuracy,60,0.12,0.1,-8.333333333333318e-5,0.0,0.0,0.11666666666666667
diagnostics/low_beta_equilibrium/symmetric_temperature_grid/r8_sym_b0p25_Tc0p03_Tr1p0_burn25_avg10_e60,diagnostics,train_accuracy,59,0.12,0.1,0.00013559322033898318,0.0,0.0,0.11864406779661017
fine_tuning/beta10_lr10/r10,fine_tuning,test_accuracy,99,0.525,0.41,-0.0007070707070707072,-0.0050000000000000044,0.009999999999999998,0.3939393939393939
fine_tuning/beta10_lr10/r10,fine_tuning,train_accuracy,99,0.123,0.097,-0.0002727272727272726,0.0,0.00040000000000000034,0.46464646464646464
fine_tuning/beta10_lr10/r5,fine_tuning,test_accuracy,99,0.49,0.42,-0.00035353535353535386,-0.0050000000000000044,0.002999999999999997,0.46464646464646464
fine_tuning/beta10_lr10/r5,fine_tuning,train_accuracy,99,0.128,0.099,-0.00030303030303030303,0.0,-0.0016,0.48484848484848486
fine_tuning/high_sweeps/s50_beta15_lr10/r10,fine_tuning,test_accuracy,22,0.45,0.36,-0.004545454545454547,-0.010000000000000009,-0.009000000000000003,0.36363636363636365
fine_tuning/high_sweeps/s50_beta15_lr10/r10,fine_tuning,train_accuracy,22,0.111,0.098,-0.0020454545454545447,0.0005000000000000074,-0.0006999999999999992,0.5
fine_tuning/high_sweeps/s50_beta15_lr10/r5,fine_tuning,test_accuracy,99,0.5,0.345,-0.0008080808080808082,-0.004999999999999949,-0.006000000000000005,0.41414141414141414
fine_tuning/high_sweeps/s50_beta15_lr10/r5,fine_tuning,train_accuracy,99,0.129,0.119,2.020202020202036e-5,0.000999999999999987,0.0021999999999999993,0.5050505050505051
fine_tuning/s35_beta10_lr10/r10,fine_tuning,test_accuracy,99,0.535,0.35,-0.0011111111111111115,0.0,-0.005500000000000005,0.4444444444444444
fine_tuning/s35_beta10_lr10/r10,fine_tuning,train_accuracy,99,0.128,0.109,-0.00021212121212121218,0.0,0.0007999999999999993,0.494949494949495
fine_tuning/s35_beta10_lr10/r5,fine_tuning,test_accuracy,99,0.475,0.425,-0.00015151515151515165,0.0050000000000000044,0.003999999999999998,0.5050505050505051
fine_tuning/s35_beta10_lr10/r5,fine_tuning,train_accuracy,99,0.125,0.115,-0.0002424242424242425,0.0,0.0017000000000000001,0.48484848484848486
fine_tuning/same_sampler_lr10/r10,fine_tuning,test_accuracy,99,0.53,0.44,-0.00035353535353535326,-0.004999999999999949,-0.004499999999999999,0.42424242424242425
fine_tuning/same_sampler_lr10/r10,fine_tuning,train_accuracy,99,0.124,0.124,4.040404040404044e-5,-0.0010000000000000009,0.0012999999999999997,0.45454545454545453
fine_tuning/same_sampler_lr10/r5,fine_tuning,test_accuracy,99,0.505,0.35,-0.0007575757575757577,0.0,-0.0050000000000000044,0.47474747474747475
fine_tuning/same_sampler_lr10/r5,fine_tuning,train_accuracy,99,0.128,0.103,-0.0003737373737373738,0.0010000000000000009,-0.0015,0.5151515151515151
r1,main_radius_grid,test_accuracy,200,0.15,0.06,-0.0003,0.0,-0.002500000000000001,0.45
r1,main_radius_grid,train_accuracy,199,0.128,0.095,-0.00012060301507537686,0.000999999999999987,-0.0005000000000000004,0.507537688442211
r10,main_radius_grid,test_accuracy,200,0.495,0.445,0.0017000000000000001,0.0,0.0,0.49
r10,main_radius_grid,train_accuracy,199,0.129,0.129,0.0001658291457286433,-0.0010000000000000009,0.0032,0.45226130653266333
r2,main_radius_grid,test_accuracy,200,0.215,0.16,0.00030000000000000024,0.0,-0.0010000000000000009,0.485
r2,main_radius_grid,train_accuracy,199,0.13,0.094,-5.025125628140708e-6,0.0,0.0006000000000000005,0.49246231155778897
r3,main_radius_grid,test_accuracy,200,0.355,0.32,0.00125,0.0,0.0105,0.46
r3,main_radius_grid,train_accuracy,199,0.128,0.098,5.025125628140701e-5,0.0,-0.00030000000000000024,0.47738693467336685
r4,main_radius_grid,test_accuracy,200,0.4,0.375,0.00145,0.0049999999999999906,0.0,0.515
r4,main_radius_grid,train_accuracy,199,0.123,0.086,-9.547738693467338e-5,0.0,-0.0028000000000000013,0.49246231155778897
r5,main_radius_grid,test_accuracy,200,0.5,0.365,0.001475,0.0,-0.006500000000000001,0.49
r5,main_radius_grid,train_accuracy,199,0.123,0.09,-0.00016080402010050244,0.0,0.00030000000000000024,0.4723618090452261
r6,main_radius_grid,test_accuracy,200,0.555,0.515,0.0022249999999999995,0.0050000000000000044,0.0055,0.51
r6,main_radius_grid,train_accuracy,199,0.126,0.093,-2.512562814070361e-5,0.0010000000000000009,-0.0017000000000000001,0.5125628140703518
r7,main_radius_grid,test_accuracy,200,0.57,0.51,0.0019749999999999998,0.0,-0.003500000000000003,0.495
r7,main_radius_grid,train_accuracy,199,0.137,0.1,-4.0201005025125596e-5,0.0,-0.000499999999999999,0.47738693467336685
r8,main_radius_grid,test_accuracy,200,0.625,0.425,0.0017,0.0,-0.004999999999999999,0.49
r8,main_radius_grid,train_accuracy,199,0.128,0.119,0.00010050251256281402,0.0,0.0026999999999999997,0.49246231155778897
r9,main_radius_grid,test_accuracy,200,0.57,0.435,0.0016250000000000001,0.0,-0.0020000000000000018,0.495
r9,main_radius_grid,train_accuracy,199,0.13,0.101,5.025125628140708e-6,0.0010000000000000009,-0.0011999999999999997,0.507537688442211
