epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_margin,ff_std,ft_margin,ft_std,tf_margin,tf_std,tt_margin,tt_std
0,1.0479985954495128,0.25,0.0,0.0,0.0,0.25306709435817776,0.6120818434857225,0.18928202334628486,0.5694608609273635,-0.0277832923991288,0.5711839155777501,0.07472014933052107,0.5917226638544603
1,1.0410300944892161,0.25,3.405324965499402,0.08334834164904428,0.16248052000420932,0.24839776046575024,0.609959779790881,0.20688895738592727,0.5740694966798048,-0.049924574989141046,0.5691907533609495,0.07750205809129462,0.5895110928104086
100,0.5554072311808489,1.0,5.233069865260439,0.3980510913217404,4.6156570809346045,-0.01560580527036115,0.5979467510824888,0.7473485402168346,0.5984452670849514,0.4559312915966216,0.567769889473958,-0.20192496696202444,0.6082421989698765
200,0.2709851833081708,1.0,4.219137313794579,0.3218973369999014,7.078587525489147,-0.5434283436073448,0.5142362552484895,1.0078921656712596,0.5815067335456412,1.201148677635717,0.4640158289869024,-0.6239784419180231,0.5769051881630411
300,0.17664162285254287,1.0,4.401221794338784,0.3786971237232975,8.342161673472201,-0.7473202266584538,0.48363261020096704,1.3086143715265681,0.5310607367141733,1.3934364414506901,0.4172796097392423,-0.96434647599397,0.523016815981162
400,0.1575220463933793,1.0,4.582352503191614,0.23170730148320645,8.937834842992372,-0.7994894417060074,0.4647447549814415,1.2083878865935291,0.5680788659090468,1.5572700506016797,0.3275630708605996,-0.9182264751723407,0.541933334019121
500,0.11717624517463279,1.0,3.9578318785427307,0.24966133665331888,9.731664651256791,-0.885015527846067,0.4367736321619271,1.4758810407161025,0.4774603729341945,1.566781015637438,0.3150191793074119,-1.0980508730735206,0.48472800248264347
600,0.10773185803532709,1.0,4.351346464417151,0.17026796417554252,10.365510621564153,-1.0340127433402184,0.4242714716745353,1.5645052803819606,0.4458881964510293,1.5698662572293791,0.3453103837645189,-1.122850610874523,0.5077713811117984
700,0.11034562128149861,1.0,4.5586321252583035,0.15462713700775083,11.009197723496266,-0.8730728407973337,0.42449461994209187,1.6238417701068155,0.42729534149358944,1.5691983335021678,0.27294462696299127,-1.1845645605869524,0.5311473932002666
800,0.07989227419941392,1.0,4.292599012658435,0.17612040196043866,11.77915068654369,-1.1976433753224565,0.40294057892809837,1.6207052376584838,0.4024103816302859,1.6491518914960248,0.28242103063717544,-1.236552111235856,0.4541834522897213
900,0.07774948763501655,1.0,4.568456795134756,0.14545661744103747,12.071606124083411,-1.311634566632479,0.37293698461272745,1.6852399222219772,0.37078475954069406,1.6940132531375456,0.2671370920587031,-1.1280538010099677,0.5251044406844977
1000,0.09605018252220851,1.0,5.591944807116274,0.21550913944859285,12.5556321146271,-1.0113829203938725,0.4479866060294137,1.6708454823172016,0.34019273370648573,1.6919530005769239,0.20725886990134054,-0.9885903621171382,0.5157091981813672
1100,0.08166230939572741,1.0,4.805429505373165,0.15824707512360042,12.878486744045729,-1.20108577830346,0.41263505921680504,1.7213357156131133,0.2966347928558949,1.748742593148041,0.13508978363201088,-0.9483098258674987,0.5235061924175112
1200,0.07627764713681992,1.0,5.63639252516626,0.11838373663787073,13.168203110956897,-1.2043902197764502,0.40163027212329755,1.692760309753538,0.3163582796266543,1.723074215443431,0.12787088536529448,-1.0441005896848388,0.5015861746199509
1300,0.08512725521899538,1.0,4.222776165432649,0.15519542684530604,13.03602640259267,-1.135017866467126,0.4360521106583279,1.660791579321943,0.31192792546825027,1.7384865469916926,0.1934442287303841,-0.9867653552626572,0.48486387922135543
1400,0.08715331802634085,1.0,4.845508537505076,0.165385473301907,13.209282009699793,-1.082994384619184,0.46804193602839633,1.63952245450636,0.29655894615004263,1.7438914930818041,0.11354378939776505,-1.0115842214331785,0.5153134704160485
1500,0.06811705223227547,1.0,4.391577569103901,0.19584825637508893,13.368947017384286,-1.2586725599259156,0.39218635687505987,1.6234534558816405,0.2814924037806028,1.7606962178677787,0.10977058688097695,-1.1695014006155215,0.49499604467048486
