accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.75,0,0.0,0.016047012364955055,0.5219219376773432,0.6903010409527087,0.016047012364955055,-0.07745933542827042,1.0578511473207284,0.6094823430293388,0.414908726898387,0.8557292849144497,0.7450659461769836,0.07503695411607623
0.5,1,9.731672606919396,0.062099314118566666,0.5910083678566485,0.4778267370247289,-0.062099314118566666,-0.44694056328389453,1.059475559186996,0.6060436224474525,0.6952619755071083,0.6796865190778736,0.7138965770522149,0.07503695411607623
0.75,300,9.6747883706524,0.16398502096355141,0.16398502096355141,0.23059125609701103,0.23281174079154612,-0.5489381647948289,0.6847213871169623,0.6807106921066024,0.7338704696858331,0.7440792086473225,0.6009637376608784,0.07503695411607623
0.75,600,9.2157471800441,0.17319324603579322,0.4733867346988841,0.25986668544931346,0.17319324603579322,-0.1885962619970738,1.0151628069350938,0.5008678542525281,0.7250411875996943,0.7395062016479067,0.6405153342472615,0.07503695411607623
0.5,900,10.200427238086354,0.2196512752438713,0.6604035880142499,0.3590648328242286,-0.2196512752438713,-0.25098154135685685,1.304078962051345,0.5270143753447667,0.7475347482926048,0.7591915569936549,0.8348182290944295,0.07503695411607623
0.5,1200,9.376837838285763,0.14157551012848316,0.6171691509438794,0.2816775358331772,0.2824999218140262,0.14157551012848316,1.2373060582033073,0.5294265408146911,0.7194032520184496,0.7812935901784707,0.8304622139578653,0.07503695411607623
0.75,1500,8.854692469980808,0.21149149865628417,0.47397581171685516,0.47888452429033407,0.40201036371243953,-0.21149149865628417,0.8558758235872788,0.6242786861383173,0.5264172635567101,0.7195342474335088,0.7764846385801716,0.07503695411607623
0.5,1800,9.279203168296743,0.08051115610164639,0.7861193976249735,0.4045620545569239,0.08714075047492897,0.08051115610164639,1.3863963043373155,0.1667311190848911,0.7390027460227027,0.7830676301498727,0.7570884095655994,0.07503695411607623
0.5,2100,8.586225982111998,0.06353673308582945,0.3791502344052075,0.4739506537333404,0.26515651316177274,0.06353673308582945,0.9624721541347404,0.7452365579028128,0.5349336435585774,0.8169811105853871,0.6954238642926248,0.07503695411607623
0.5,2400,10.744934396248661,0.019670534193542404,0.45370915217625774,0.5171709039030088,-0.019670534193542404,-0.026605825022672513,1.0834046133352968,0.6225487141448235,0.5471232653649258,0.7822981584928697,0.756133207070953,0.07503695411607623
0.75,2700,8.86272991713407,0.18295068250853808,0.2941309315659581,0.18295068250853808,0.19530141291703215,-0.22964447334749863,0.8958329771866039,0.6725474924390262,0.6808560280185687,0.7401506510833844,0.6665125144402559,0.07503695411607623
0.5,3000,9.925532292746079,0.09911399024198912,0.4357588817167595,0.45647320904203603,0.09911399024198912,0.11019449820835396,1.1002380913368581,0.6064515914345304,0.511478509538155,0.7926614284932748,0.802673462981774,0.07503695411607623
