accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.9832469710478307
0.5,1,0.02280641881941908,1.979423573162947
0.5,300,0.007691649336143528,1.9692374554878278
0.5,600,0.008805780722102656,1.965348491348567
0.5,900,0.008723580597773511,1.9648553037984606
0.4375,1200,0.008158673481561617,1.9697312981805026
0.5078125,1500,0.008817456149276969,1.9680954398474337
0.5,1800,0.0058810219655081744,1.967891064021867
0.5859375,2100,0.009824014169857337,1.964111533892415
0.5078125,2400,0.008377314380258544,1.971196935288856
0.5,2700,0.007524770973576111,1.9670025745030892
0.546875,3000,0.007622900838543807,1.9645911837541818
