timestamp,config_id,hidden,output_replicas,epoch,seconds,train_per_class,validation_per_class,batchsize,free_relaxation,nudged_relaxation,free_sweeps,nudged_sweeps,minit,target_on,target_off,beta,lr,stepsize,weight_scale,bias_scale,temp,weight_decay,gradient_sign,train_accuracy,train_mse,validation_accuracy,validation_mse,best_epoch,best_validation_accuracy,best_validation_mse,initial_graph_path,best_graph_path,final_graph_path
2026-05-22T02:17:46,2,120,4,3,2.7707121,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.2,0.05,0.02,0.01,0.0,1.0,0.06,40.447506,0.14,39.77699,1,0.14,39.236209869384766,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\best_graph.jld2,
2026-05-22T02:17:54,2,120,4,4,2.8018263,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.2,0.05,0.02,0.01,0.0,1.0,0.06,41.046577,0.08,40.548206,1,0.14,39.236209869384766,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\best_graph.jld2,
2026-05-22T02:18:01,2,120,4,5,2.7746137,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.2,0.05,0.02,0.01,0.0,1.0,0.14,40.66882,0.1,40.03855,1,0.14,39.236209869384766,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\best_graph.jld2,
2026-05-22T02:18:09,2,120,4,6,2.7580336,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.2,0.05,0.02,0.01,0.0,1.0,0.04,40.515972,0.1,39.42425,1,0.14,39.236209869384766,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_2\final_graph.jld2
2026-05-22T02:18:26,3,120,4,0,0.0,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.04,37.164192,0.06,38.202614,0,0.06,38.202613830566406,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:18:35,3,120,4,1,3.4932251,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.1,38.150246,0.08,37.986107,1,0.08,37.986106872558594,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:18:42,3,120,4,2,2.7991755,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.1,38.42191,0.1,38.14907,2,0.1,38.149070739746094,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:18:50,3,120,4,3,2.7513171,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.12,37.403957,0.1,38.397804,2,0.1,38.149070739746094,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:18:57,3,120,4,4,2.7729074,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.06,37.783714,0.08,38.121323,2,0.1,38.149070739746094,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:19:05,3,120,4,5,2.7662226,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.1,37.948437,0.1,37.735485,5,0.1,37.7354850769043,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,
2026-05-22T02:19:13,3,120,4,6,2.7806173,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.05,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.06,38.35984,0.12,37.26718,6,0.12,37.267181396484375,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_3\final_graph.jld2
2026-05-22T02:19:30,4,120,4,0,0.0,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.14,37.378197,0.08,37.10146,0,0.08,37.10145950317383,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:19:38,4,120,4,1,3.4215235,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.12,36.687717,0.12,37.064503,1,0.12,37.06450271606445,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:19:46,4,120,4,2,2.8001653,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.1,37.565907,0.12,36.968662,2,0.12,36.96866226196289,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:19:53,4,120,4,3,2.7895811,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.04,36.76904,0.12,37.27685,2,0.12,36.96866226196289,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:20:01,4,120,4,4,2.7692151,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.08,37.486282,0.16,36.382114,4,0.16,36.38211441040039,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:20:08,4,120,4,5,2.759465,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.14,37.423176,0.14,37.0721,4,0.16,36.38211441040039,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,
2026-05-22T02:20:16,4,120,4,6,2.7672987,50,5,256,80000,80000,500.0,500.0,1,1.0,0.0,0.1,0.0005,0.5,0.05,0.02,0.01,0.0,1.0,0.06,37.125156,0.14,36.971123,4,0.16,36.38211441040039,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260522_balanced_stronger_weights\checkpoints\config_4\final_graph.jld2
