accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.16595234712166965,-0.9071738952160566,-0.9895184621874057,0.6969610923895823,0.16595234712166965,1.354519463099536,0.406124145420507,0.006697509867839575,0.6768267452628354,0.9942286749221372
0.5,300,0.7305773993813192,0.09126723491219585,-0.9873799922533285,-0.9911371854623489,-0.990309827780901,-0.09126723491219585,2.187978751207954,0.010300714180346292,0.005831133352553129,0.008335892832015754,0.6351217410815908
0.5,600,0.3228213627270672,0.5415088376052212,-0.9890340715409486,-0.9429626671187269,-0.5684499599842192,-0.5415088376052212,1.6113684000931752,0.007192870362096387,0.14622044836523673,0.4789277364601174,0.4426083576706019
0.75,900,0.4683237055752789,0.17809920732753157,-0.8715690695957252,0.17809920732753157,-0.3036783290991917,-0.4916359663801489,0.6625066483303113,0.4165063386426432,0.9514353409206427,0.6141131077817361,0.4717309354458032
0.5,1200,0.5843014761629322,0.9390184022160554,-0.9902231927003117,-0.9390184022160554,-0.9925698666749952,-0.9892459693506122,1.932584568212474,0.006953681819572743,0.1699714558264128,0.006856387065407214,0.007753715332616014
0.5,1500,0.742338659788452,0.9894317212823087,-0.9904357529968104,-0.9906504343497691,-0.9903388238031315,-0.9894317212823087,1.9810852371626875,0.007924733685237568,0.007655939002648012,0.006251122394645983,0.008673345093109814
0.5,1800,0.4923913390796966,0.9871141078976207,-0.9894776528602752,-0.9901372535120981,-0.9903415525741487,-0.9871141078976207,1.9805956374311384,0.005695610696787507,0.006869935568555884,0.007545303072833877,0.006755587868643067
0.5,2100,0.5627300192185408,0.9885988184106119,-0.9886871607737956,-0.9897106142874539,-0.9897533699848701,-0.9885988184106119,1.9795811923118243,0.007692576503386388,0.008418332652723293,0.01052423291739699,0.00958799162448682
0.5,2400,0.5972188995558586,0.9894031539427025,-0.9900983116708234,-0.9932875161973111,-0.9921336260223322,-0.9894031539427025,1.9855004606837654,0.008537330726357971,0.005045343796658566,0.005400042864725072,0.008639712808445098
0.5,2700,0.520638473811604,0.9872719206703983,-0.9883795971526045,-0.9896486666067018,-0.9872719206703983,-0.9900207439237304,1.977046530632253,0.009193023491025723,0.008921279504765256,0.009908658093492662,0.006827489211827247
0.5,3000,0.6088826387698607,0.9895955335257708,-0.9932840718013298,-0.9911308875488589,-0.9895955335257708,-0.9930482866396427,1.9807965070967541,0.0055508951112200056,0.007013542844000162,0.008156002140047379,0.006278360096165032
0.5,3300,0.5121894353803935,0.9900176873546259,-0.9906116443906262,-0.9904414532352694,-0.9900176873546259,-0.9911586246740511,1.9805484714700718,0.0065419203242969275,0.005736916210245693,0.008420031230767266,0.006320395840460872
0.5,3600,0.31914020446859087,0.9878348961828235,-0.9900611758776497,-0.9878348961828235,-0.9895031448177134,-0.989457492295181,1.9774550656038472,0.0065939027743735805,0.00827869321484369,0.007532207621396814,0.008887573122389896
0.5,3900,0.24873991921369862,0.9884766979980432,-0.9889543309654004,-0.9884766979980432,-0.9902800629220274,-0.9901511161887154,1.9788683286657154,0.008873910835225774,0.008139775728154525,0.006525642810011277,0.005878549418084317
0.5,4200,0.4929489543631361,0.9869122281285728,-0.989823859000476,-0.9917159569222811,-0.9869122281285728,-0.9911325348453218,1.9787337102823996,0.008984334607307565,0.006929237852632406,0.007117877524963733,0.008636312076132578
0.5,4500,0.3043261083743134,0.9869712958046396,-0.9869712958046396,-0.9900445492958565,-0.9915648151798853,-0.9910694402498174,1.9817143058187752,0.010468025226449044,0.008427537800923394,0.007974390127123851,0.007636233783983913
0.5,4800,0.37412568816250474,0.9891781042241264,-0.9907916065919616,-0.9901840394835492,-0.9895334300836107,-0.9891781042241264,1.979819422093164,0.005453018263456694,0.006441238834658495,0.0073394094913364575,0.006415589309537136
