mode,rows,median_seconds_per_example,mean_seconds_per_example,median_examples_per_second,mean_examples_per_second
serial_process_inline,4,0.17135404999999998,0.179553325,5.915032479884948,5.726171693305383
serial_process_run_wait,4,0.152727,0.158679675,6.548824593656846,6.342787418923179
manager_spawn,6,0.015615983984375,0.07373577200520832,64.04177296118567,52.21803061886024
manager_greedy,6,0.015081689453125002,0.071882158984375,66.34766696638714,54.635599857207374
manager_channelworkers,6,0.0147358984375,0.07031815638020834,67.90263682568481,55.32552620148649
