config,epoch,score_10,response_norm,score_11,std_11,mse,grad_norm,score_00,std_01,std_00,min_margin,score_01,accuracy,std_10,param_delta
checker_2x2_global,0,-0.1796875,0.0,-0.5,0.25973124082465987,0.9531440734863281,0.0,-0.265625,0.36492331087155877,0.4451569190068627,0.1796875,-0.27734375,0.5,0.2902815751251582,0.0
checker_2x2_global,1,-0.03125,0.3357173878919415,-0.55859375,0.38250995292580503,0.9458847045898438,3.4308351582103884,0.0859375,0.30656567792391953,0.32188294604154,0.03125,-0.16015625,0.25,0.39465677272025657,0.05024937365746463
checker_2x2_global,100,0.0703125,0.07667933262674717,-0.25,0.0,0.6884994506835938,1.5857643070456593,-0.24609375,0.1259266249883335,0.03125,0.0703125,0.12890625,1.0,0.13706641594844587,0.625904916089512
checker_2x2_global,200,0.0546875,0.06765823467065926,-0.25,0.0,0.685943603515625,0.13531646934131855,-0.25,0.12375370765649875,0.0445435403187374,0.0546875,0.1484375,1.0,0.11329087089687072,0.6262424118981657
checker_2x2_global,300,0.0546875,0.04961603875848346,-0.25,0.0,0.7178192138671875,0.71602745233685,-0.2578125,0.1694338729463129,0.043842023400762604,0.0546875,0.0703125,1.0,0.1296266770260867,0.6173183614279822
checker_2x2_global,400,0.1015625,0.05863713671457137,-0.25,0.0,0.6764259338378906,1.5605456527686077,-0.25390625,0.14752421108802058,0.03125,0.1015625,0.1171875,1.0,0.12375370765649875,0.6575882348655521
checker_2x2_global,500,0.08203125,0.04961603875848346,-0.25,0.0,0.6847915649414062,1.1199430614712071,-0.24609375,0.14085904245475275,0.0944090590807256,0.08203125,0.125,1.0,0.1183105905375057,0.6603520140001665
checker_2x2_global,600,0.08984375,0.06314768569261531,-0.25,0.0,0.6986923217773438,1.1267347735824966,-0.24609375,0.13524485437502098,0.03125,0.0859375,0.0859375,1.0,0.12090258688660477,0.6582089765244262
checker_2x2_global,700,0.09765625,0.08118988160479111,-0.25,0.0,0.6855659484863281,1.9342841254906167,-0.234375,0.12574184627546195,0.08768404680152521,0.09765625,0.1171875,1.0,0.12293684257335048,0.6708739611830291
checker_2x2_global,800,0.0703125,0.04510548978043951,-0.25,0.0,0.7035560607910156,0.9009814527086559,-0.23828125,0.14583333333333331,0.06943204254338217,0.0703125,0.1015625,1.0,0.13706641594844587,0.7395271843337113
checker_2x2_global,900,0.03125,0.07667933262674717,-0.25,0.0,0.7002944946289062,1.8668442414607063,-0.24609375,0.13217268271301583,0.03125,0.03125,0.14453125,1.0,0.137292411841319,0.7994012411371647
checker_2x2_global,1000,0.03125,0.06765823467065926,-0.25,0.0,0.7089881896972656,0.9504316453590969,-0.25,0.147681738320394,0.0,0.03125,0.12109375,1.0,0.17536809360305042,0.8254947983242099
checker_2x2_global,1100,0.015625,0.05863713671457136,-0.25,0.0,0.7215347290039062,0.9600160724566021,-0.24609375,0.1331076028203176,0.03125,0.015625,0.11328125,1.0,0.14689241284825078,0.8243697054567761
checker_2x2_global,1200,0.05078125,0.05863713671457136,-0.25,0.0,0.6959762573242188,0.9757809372497497,-0.24609375,0.13339842161318435,0.03125,0.05078125,0.1328125,1.0,0.15545432328174127,0.8294853118714677
