sample,label,mode,post_max_sweeps,noise_factor,noise_scale,draw,seconds,checks,sweeps,equilibrated,mean_abs_delta,threshold,energy,energy_delta,pred,correct,reward,distance_from_base,distance_from_previous,signature
1,0,base_relax_until,200.0,0.0,0.0,0,5.169441,48,48.0,true,0.04317975,0.04328152,-5.9921427,0.0,3,false,-2.8165786,0.0,0.0,0ae313f35442aa9c
1,0,base,25.0,0.5,0.01581139,1,1.360265,25,25.0,false,0.019629598,0.008326841,-6.5555716,-0.5634289,3,false,-2.776124,0.03125,0.03125,3a76fa3b33633787
1,0,base,25.0,0.5,0.01581139,2,0.001168,25,25.0,false,0.027297914,0.0067653297,-6.6813903,-0.6892476,3,false,-2.8592153,0.0375,0.0375,862ccf159ee7980e
1,0,base,25.0,0.5,0.01581139,3,0.001115,25,25.0,false,0.025587142,0.0072915913,-6.6557326,-0.66358995,3,false,-2.8078456,0.0375,0.0375,6fec6c22c2e93bf6
1,0,base,25.0,0.5,0.01581139,4,0.000975,25,25.0,false,0.0203771,0.0081620095,-6.613252,-0.6211095,3,false,-2.7790592,0.04375,0.04375,6abd42280ab74675
1,0,base,25.0,0.5,0.01581139,5,0.001098,25,25.0,false,0.028755784,0.007008362,-6.661447,-0.6693044,3,false,-2.8851707,0.0375,0.0375,e7b44371950b1318
1,0,base,25.0,0.5,0.01581139,6,0.001117,25,25.0,false,0.030339062,0.007492006,-6.607055,-0.6149125,3,false,-2.8175635,0.03125,0.03125,dfecc6b23ed3e4db
1,0,base,25.0,0.5,0.01581139,7,0.001005,25,25.0,false,0.0251804,0.00685395,-6.5438857,-0.55174303,3,false,-2.8399394,0.03125,0.03125,207074bf4b3d7743
1,0,base,25.0,0.5,0.01581139,8,0.000984,25,25.0,false,0.014154613,0.0067281844,-6.6395645,-0.64742184,3,false,-2.907371,0.0375,0.0375,6fec6c22c2e93bf6
1,0,base,25.0,0.5,0.01581139,9,0.000981,25,25.0,false,0.028166592,0.006434131,-6.660654,-0.6685114,3,false,-2.821168,0.04375,0.04375,4d9f4b7a409117c3
1,0,base,25.0,0.5,0.01581139,10,0.000986,25,25.0,false,0.02818191,0.0059775114,-6.606363,-0.61422014,3,false,-2.7903116,0.0375,0.0375,83fef9258a6f63b0
