config,step,q,residual_rms,residual_max,dH_rms,meanabs,frac_09,step_delta,energy,readout_abs,stepsize,temperature,stepsize_start,stepsize_stop,stepsize_duration,temp_duration
eta=0.02_T=floor,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,500,0.88959323912,0.124603743468,0.343870658584,0.849835581509,0.829269816296,0.6625,0.868191007684,-9.83151841757,0.232292537455,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,1000,0.955706234449,0.0465732621859,0.180569157921,0.898821740207,0.936382230937,0.875,0.272255798465,-10.5836173858,0.473021677328,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,1500,0.98285459494,0.017454223713,0.0490347470063,0.916609625562,0.965773777543,0.9375,0.112555196415,-10.6847621043,0.49896469857,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,2000,0.986757788222,0.0134289853788,0.0351872087453,0.918844751891,0.969804447155,0.9625,0.0423086276911,-10.7082431341,0.498154803416,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,2500,0.987400073083,0.0127657799507,0.0310705484886,0.919831182797,0.96948409373,0.975,0.0305458368167,-10.7172480144,0.501135374423,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,3000,0.987996414273,0.0121552799952,0.0297143278468,0.921408835316,0.969225471938,0.975,0.0183096164812,-10.7129508797,0.498116799758,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,3500,0.988615995637,0.0115173966952,0.0306079562718,0.924435517013,0.971050359721,0.975,0.0193027883828,-10.736647931,0.499000416045,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,4000,0.987140077451,0.0130279866068,0.0357669667507,0.924205900589,0.972293628633,0.975,0.0175183508901,-10.7040767527,0.499888598058,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,4500,0.987504438928,0.012655912259,0.0318397756489,0.926990161701,0.976217152326,0.975,0.0195015982893,-10.715852142,0.496565938664,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,5000,0.988417189242,0.0117205654446,0.0309496810326,0.928841043656,0.978921187042,0.975,0.017491244998,-10.7386834081,0.497868303586,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T@1000,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.02,0.841850380522,0.02,0.02,0,1000
eta=0.02_T@1000,500,0.775986464744,0.289008313614,0.682210227603,0.737563947933,0.643799503979,0.2125,0.707349402012,-6.57618997517,0.390686810441,0.02,0.21053759513,0.02,0.02,0,1000
eta=0.02_T@1000,1000,0.954680000861,0.0482100570186,0.162536771215,0.888918408112,0.916613382019,0.8625,0.516773373454,-10.1412277401,0.497373091083,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,1500,0.96421989971,0.0376277947833,0.138603188557,0.905651098932,0.939059298121,0.9,0.144379061968,-10.3218119785,0.499451477978,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,2000,0.979516063456,0.020976404508,0.0682457559638,0.906107765124,0.946641066604,0.925,0.0811732988432,-10.3684362685,0.496730860498,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,2500,0.979455691906,0.0210484482277,0.0667598209097,0.901585034692,0.947519630798,0.925,0.0654150927305,-10.3936173192,0.495094927545,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,3000,0.981529886394,0.0188696343294,0.0653481127746,0.900936533278,0.962089669309,0.9375,0.0554507751628,-10.4340512906,0.495717089372,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,3500,0.981718393987,0.0186603317626,0.0631273138221,0.901305005763,0.976060166419,0.9375,0.0570822243591,-10.4584329383,0.495068012345,0.02,0.0001,0.02,0.02,0,1000
