epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.6262177334789152,0.5,0.0,0.0,0.0,-0.29571302839667285,0.9361704719879566,0.5239720283291197,-0.942812674808003,-0.959809331462457,0.028104136149820203,0.9308969576784073,0.9607684462093649,0.05072700994998068,0.9298602605750235,-0.9437083097137585,0.040505059941742215
1,1.7848875542527798,0.25,1.447751354050742,0.5100940640174813,0.12083037252413627,-0.6709845429931882,0.9438477074306152,0.427401315907618,-0.9544480421589108,-0.9679819402997848,0.022927274081693864,0.9320034054375005,0.7327837966975361,0.2685892339985965,0.8403241976228573,-0.9383456131869186,0.22727620846624255
250,1.0773423762914085,0.5,0.879505002730403,0.5512593597406763,2.9191365133756335,0.11459955092322176,-0.11338260464881002,0.9469733536007466,0.1761294879267038,-0.17396927244495694,0.935771642105654,0.16906614151303198,-0.16606076036417666,0.944331389719402,0.11753043113042518,-0.11565598081018087,0.9537823249067238
500,1.0184621153630995,0.25,0.864548382905122,0.5387774847154416,2.9329211830935518,0.48122086585954604,-0.4721029349475844,0.8086143066835402,-0.009679583805864533,-0.009758828398726778,0.9620397669348932,0.29963387565149757,-0.2943698603375707,0.9065918930524389,-0.060424725609787705,0.05385020688824682,0.9512427274828473
750,0.8779920277547208,0.75,0.9775221525040723,0.5459757179646574,2.948021004680699,0.5811075214959448,-0.5370488252689274,0.7678221941512674,-0.27625016536943087,0.3473041798956966,0.8888504100310961,-0.1871711204668662,0.169299303189423,0.9489283418289175,-0.4934651710441086,0.4502148855910059,0.8176413470960244
1000,1.446776663846079,0.5,0.9234407780194951,0.513513468278554,3.0359429770198574,0.46658401229921764,-0.24487443291910233,0.8647726909884076,0.8025368969346292,-0.6078039370601473,0.6162274138927089,-0.07614014160839119,0.22311227335017797,0.926143014362005,-0.18535314274672274,0.4223781695286688,0.8839745387646347
1250,1.5017008121205564,0.25,0.954504046476232,0.523556347522416,3.020157627846322,0.3290181003016643,-0.23692875998208116,0.9007620703344178,0.5704300329556572,-0.21946612633337997,0.841798377601602,0.4047473721921264,-0.09146086381771254,0.9040989026723982,-0.2483919707341714,0.5181170701548654,0.8673214128358654
1500,1.057720482564221,0.75,0.8813281918878346,0.5693742376393378,2.9698075529443324,0.599450809684216,-0.5845698418531254,0.7272211102211692,0.7044069071054381,-0.21138230019953344,0.8056928580882847,0.17367345187741198,0.2898261225497535,0.9156566192249035,0.11673855521536979,0.04608074278717825,0.951587848857471
1750,1.1770348009525187,0.75,0.9817253596121764,0.5302133317741803,3.0424133936025584,0.35113361464594706,0.10150159161045992,0.9220442937887653,-0.3087338390019949,0.5280559723787839,0.8523935727333334,0.785852482240918,-0.5481371257645608,0.6479837679006443,0.378205864078232,0.0529669504527578,0.916135528361592
2000,1.09215652252372,0.25,0.9608607102267398,0.5931095422127015,3.0006526569358347,-0.009758046852862148,0.1170240749656914,0.9513355364772861,0.12862525079258647,-0.04149838226872525,0.9282586679290671,0.16227336064167402,-0.058720744545108866,0.939693972747612,0.1904813364051138,-0.007883676446253055,0.9266548213935433
