timestamp,stage,workers,threads,hidden,output_replicas,batchsize,sweeps,order,relaxation_steps,graph_states,graph_edges,total_seconds,min_task_seconds,mean_task_seconds,max_task_seconds
2026-05-21T23:09:51,one_relax,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,3.46148,3.4347486,3.4347486,3.4347486
2026-05-21T23:09:54,one_relax,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.4611809,0.3205687,0.39659641875,0.461116
2026-05-21T23:09:56,one_relax,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.744244,0.2613489,0.616303225,0.7441838
2026-05-21T23:10:00,reset_input_one_relax,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,3.4690498,3.4436078,3.4436078,3.4436078
2026-05-21T23:10:02,reset_input_one_relax,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.4532093,0.3548027,0.39875708125000003,0.4531609
2026-05-21T23:10:04,reset_input_one_relax,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,0.8252066,0.3171911,0.7049923281249999,0.8250483
2026-05-21T23:10:16,three_relax,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,10.4122452,10.3866814,10.3866814,10.3866814
2026-05-21T23:10:19,three_relax,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,1.3661681,1.0778815,1.2318668499999998,1.3661257
2026-05-21T23:10:22,three_relax,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.2112828,0.9310189,1.941408578125,2.210919
2026-05-21T23:10:34,three_relax_capture,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,10.307624,10.2815585,10.2815585,10.2815585
2026-05-21T23:10:37,three_relax_capture,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,1.4351293,1.1449638,1.276722725,1.4350836
2026-05-21T23:10:40,three_relax_capture,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.1920166,0.9236929,1.9222339062499998,2.1918753
2026-05-21T23:10:52,three_relax_clamp,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,10.3816843,10.3548007,10.3548007,10.3548007
2026-05-21T23:10:55,three_relax_clamp,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,1.3674999,1.0879999,1.2402997125,1.3674591
2026-05-21T23:10:58,three_relax_clamp,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.053698,0.8460744,1.7681297000000002,2.0535257
2026-05-21T23:11:10,full,1,32,784,4,64,100.0,cyclic,82400,1608,1292032,10.5280921,10.5001783,10.5001783,10.5001783
2026-05-21T23:11:13,full,16,32,784,4,64,100.0,cyclic,82400,1608,1292032,1.3967058,1.1736751,1.2847315937500001,1.3966702
2026-05-21T23:11:17,full,32,32,784,4,64,100.0,cyclic,82400,1608,1292032,2.4878505,1.0035198,2.246669534375,2.487371
