Running bespoke XOR search with 1 config(s)
  epoch=5200 mse=1.015201 acc=0.75 margin=0.018681 grad=0.440408 delta=6.049366 weight_rms=0.2
  epoch=5300 mse=1.013631 acc=0.75 margin=0.019401 grad=0.400729 delta=6.099827 weight_rms=0.2
  epoch=5400 mse=1.015112 acc=0.75 margin=0.018002 grad=0.36562 delta=6.2124 weight_rms=0.2
  epoch=5500 mse=1.012224 acc=0.75 margin=0.021087 grad=0.343544 delta=6.208365 weight_rms=0.2
  epoch=5600 mse=1.012192 acc=0.75 margin=0.021093 grad=0.373657 delta=6.190789 weight_rms=0.2
  epoch=5700 mse=1.014966 acc=0.75 margin=0.015294 grad=0.349818 delta=6.233619 weight_rms=0.2
  epoch=5800 mse=1.014297 acc=0.75 margin=0.01439 grad=0.300003 delta=6.292056 weight_rms=0.2
  epoch=5900 mse=1.013144 acc=0.75 margin=0.01827 grad=0.31598 delta=6.318628 weight_rms=0.2
  epoch=6000 mse=1.012981 acc=0.75 margin=0.018191 grad=0.349909 delta=6.363878 weight_rms=0.2
  epoch=6100 mse=1.014969 acc=0.75 margin=0.020547 grad=0.28743 delta=6.338682 weight_rms=0.2
  epoch=6200 mse=1.014296 acc=0.75 margin=0.017897 grad=0.323373 delta=6.396762 weight_rms=0.2
  epoch=6300 mse=1.013775 acc=0.75 margin=0.017598 grad=0.316491 delta=6.388468 weight_rms=0.2
  epoch=6400 mse=1.011914 acc=0.75 margin=0.01988 grad=0.31056 delta=6.494217 weight_rms=0.2
  epoch=6500 mse=1.007832 acc=0.75 margin=0.023234 grad=0.29743 delta=6.489649 weight_rms=0.2
  epoch=6600 mse=1.007672 acc=0.75 margin=0.023743 grad=0.286986 delta=6.540219 weight_rms=0.2
  epoch=6700 mse=1.008888 acc=0.75 margin=0.023686 grad=0.265252 delta=6.5711 weight_rms=0.2
  epoch=6800 mse=1.014801 acc=0.75 margin=0.019342 grad=0.254536 delta=6.627796 weight_rms=0.2
  epoch=6900 mse=1.015542 acc=0.75 margin=0.017515 grad=0.264616 delta=6.598617 weight_rms=0.2
  epoch=7000 mse=1.018026 acc=0.75 margin=0.019044 grad=0.232846 delta=6.579316 weight_rms=0.2
  epoch=7100 mse=1.013654 acc=0.75 margin=0.021769 grad=0.236771 delta=6.645795 weight_rms=0.2
  epoch=7200 mse=1.011985 acc=0.75 margin=0.021399 grad=0.252955 delta=6.719174 weight_rms=0.2
