timestamp,workers,threads,len,rounds,inner_ops,scalar_updates,nominal_ops,total_seconds,updates_per_second,nominal_gops_per_second,checksum
2026-05-21T23:29:31,1,32,4096,5000,1,20480000,81920000,0.0134199,1.5260918486724937e9,6.104367394689975,1.0168224207257116e7
2026-05-21T23:29:32,16,32,4096,5000,1,327680000,1310720000,0.1613471,2.0309010822010436e9,8.123604328804175,1.626915873161139e8
2026-05-21T23:29:32,32,32,4096,5000,1,655360000,2621440000,0.1810703,3.619367726236716e9,14.477470904946863,3.253831746322276e8
2026-05-21T23:29:34,1,32,4096,5000,16,20480000,1310720000,0.4649284,4.404979347357571e7,2.8191867823088455,1.0397536581171162e7
2026-05-21T23:29:35,16,32,4096,5000,16,327680000,20971520000,0.7080923,4.627645294264604e8,29.616929883293466,1.6636058529873854e8
2026-05-21T23:29:37,32,32,4096,5000,16,655360000,41943040000,0.9358628,7.002735871112732e8,44.817509575121484,3.327211705974771e8
2026-05-21T23:29:45,1,32,4096,5000,64,20480000,5242880000,3.5002869,5.850948960783757e6,1.4978429339606418,1.1140602451592777e7
2026-05-21T23:29:52,16,32,4096,5000,64,327680000,83886080000,4.0883367,8.014995438120349e7,20.51838832158809,1.782496392254844e8
2026-05-21T23:30:00,32,32,4096,5000,64,655360000,167772160000,4.5516171,1.439839919750719e8,36.85990194561841,3.5649927845096904e8
