accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.4348346172755166,-0.7855011624928223,-0.7019787441381172,0.4348346172755166,0.5541526160351576,1.4193859151372323,0.0,0.40394256458260613,0.45780608066526074,0.7834202443731743,0.6969812977890273
0.5,1,0.24510217087503014,0.5166488039337258,-0.8358062915639362,-0.8069490386223137,0.6641698459062637,0.5166488039337258,1.4262574722350787,0.5147915974038039,0.235923040744507,0.24308632153495568,0.5810838650305442,0.7396669432919936
0.5,250,0.11694689415772969,0.07335132629171541,-0.10767977742196752,-0.07335132629171541,0.2078152742874575,0.8102244633700162,1.4631969241773533,0.570131525893281,0.8673020786179454,0.9128110813868238,0.8461970910780999,0.10008110598790386
0.75,500,0.08291990889453507,0.047571760560577867,-0.20241925091519003,0.047571760560577867,0.38239546224110066,0.7813056435633974,1.2744349408608893,0.6363524930499386,0.8029169254851951,0.8840526814239009,0.7128282312846789,0.01482821822083425
0.75,750,0.089490354573816,0.152876393083337,-0.28167087057908424,0.152876393083337,0.3647339511793784,0.7451013493155999,1.1706392039343498,0.6443778025065874,0.738404069097284,0.8387892415876276,0.6661438641231288,0.009739693517111254
0.75,1000,0.04567560009212352,0.05678555658685336,-0.15604603202756862,0.05678555658685336,0.250549456098931,0.7314679931478604,1.2903923288421677,0.46896260392966416,0.7810132324388068,0.8303070463496354,0.7098324167898384,0.01572025594977704
0.75,1250,0.03126158955309517,0.15963956189230868,-0.4313204785936749,0.15963956189230868,0.32492412556511135,0.730794375271716,1.1202446674299291,0.44540171897504327,0.6408709210455974,0.8122144323747819,0.6863860768808371,0.01668840772923661
0.75,1500,0.03703186096701834,0.24785286377784843,-0.6783121538447033,0.24785286377784843,0.3964310703374221,0.7272697192840774,1.0042411302252359,0.38553333688818264,0.14267233048739006,0.7937501518781035,0.6383232420112002,0.020158172594797255
0.75,1750,0.032113558659521826,0.45195210820103854,-0.7468674029578498,0.45195210820103854,0.7108094201413564,0.7522714442432956,0.8796297522950133,0.38256253466186235,0.016234681996420388,0.7184456738825561,0.032459959760900076,0.017000480419424285
0.75,2000,0.039796251390537336,0.048590311183275996,-0.7437442515697376,0.048590311183275996,0.7337883874823213,0.7755818687305321,1.0486017499454403,0.4156677465729478,0.012069593068759063,0.8371229044907722,0.009657186911644718,0.015597870586866826
0.75,2250,0.02641917582504578,0.14818281363585567,-0.7234176393321579,0.14818281363585567,0.7468303511433282,0.7897945880313643,1.0173874649166237,0.34713596898173493,0.016579519606147383,0.8311296357278479,0.012167331905300735,0.020440784296587248
0.75,2500,0.0268914777332638,0.26072093100287796,-0.7205807718420902,0.26072093100287796,0.7365826611350796,0.7943731979533535,0.9784431287174087,0.4534699396208643,0.023190796965720954,0.801258934911742,0.017365361806420437,0.01260910051695927
0.75,2750,0.021367969975148362,0.3637899044088685,-0.7098231492614487,0.3637899044088685,0.7326350362728397,0.7888096882811322,0.9400725037884717,0.42606127374919545,0.016468147214200732,0.7615768227575921,0.015555682434028146,0.019055145349594696
