accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,phase,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.7056920240432336,-0.8438948499795438,-0.7976174642260814,0.7056920240432336,0.8474404398721113,1.6888626822850363,init,0.0,0.0288827665957296,0.12732236813691372,0.21036670408317845,0.015361756417732578
0.5,1,0.15293621834173116,0.6683285130401613,-0.848893105859411,-0.8123822418068247,0.6683285130401613,0.7899156483643175,1.655341671848788,warm,0.5592372124849304,0.017616866476194287,0.0443769493350842,0.269137298295506,0.2522610101105112
0.5,200,0.19945684593035823,0.5964896529641303,-0.8562824223484548,-0.5964896529641303,0.8249459666057688,0.8367570070551329,1.493438542930319,warm,0.4960133698033632,0.013068662819306482,0.5421943632542338,0.15473919520594281,0.08773327097330527
0.75,400,0.2055407212151675,0.6118636470014285,-0.658601079286186,0.7065176827821614,0.6118636470014285,0.8585404309946902,0.9518768639362675,warm,0.3809713803730056,0.4769632523079843,0.4006179694431232,0.5376101879639303,0.008694725074088572
0.75,600,0.1272838084404654,0.43161979795717814,-0.7852032725323946,0.8585757050184012,0.43161979795717814,0.8582461153180782,0.9605682861277004,warm,0.2779556956841801,0.34756048002876544,0.014388797345313441,0.7558208835938824,0.008556739198814242
0.75,800,0.052773650729909624,0.3583453643890812,-0.4962820480137949,0.8569018820503476,0.3583453643890812,0.8555476389953037,1.0322466396239842,warm,0.24298224969120652,0.7135628598243074,0.010613212204369976,0.7987995208650157,0.012070395767454537
0.75,801,0.09866138779921013,0.3730995848383594,-0.5274927217253459,0.8998624101168216,0.3730995848383594,0.896454954827342,1.0557090477872864,mid,0.24491340327610958,0.7476368422846671,0.009124785135321124,0.8318038254251297,0.0073870977082455035
0.75,1000,0.0535498466946478,0.3730918571317114,-0.6723679107357365,0.8989814884049506,0.3730918571317114,0.8977647230854595,1.0280180723456858,mid,0.22144532243362866,0.6083179965014799,0.009855779980860891,0.8378459051390559,0.010024618689459275
0.75,1200,0.04533976953756883,0.37087500136304546,-0.5989671527738331,0.8967804659148245,0.37087500136304546,0.9012254641982155,1.0454845365991887,mid,0.2398691170494084,0.6842523799206182,0.009597515892620858,0.8335176610294102,0.008487696869169012
0.75,1400,0.06363965585818923,0.30067013897260564,-0.6750663974567499,0.9008146845984523,0.30067013897260564,0.8982967555489041,1.0520030998762824,mid,0.2289790106983917,0.6051223663146291,0.009034610355538047,0.8652977641345285,0.00800635344733298
0.75,1600,0.042373350907186025,0.29956397670806306,-0.6751921960309472,0.9020261407200453,0.29956397670806306,0.8980785049734631,1.0521029050971815,mid,0.24017856466554732,0.607736056016492,0.006096792722520039,0.8667802607432117,0.009204438743407949
0.75,1601,0.015453169720531163,0.4720562993278674,-0.6316101762091718,0.9463735192509509,0.4720562993278674,0.9446313081029448,1.0497255843109303,cool,0.2307448074631818,0.7200536678597895,0.0032816360870862884,0.8370484719083088,0.004485482757622037
0.75,1800,0.017792857436354777,0.3940612467807993,-0.5498082971278614,0.9434459908268473,0.3940612467807993,0.9462547833153655,1.0902350948798132,cool,0.24503055094526335,0.7814755155314765,0.005160195670802687,0.8791754424851007,0.005181589331631876
0.75,2000,0.02781158940148422,0.4709187678869478,-0.7868363840899186,0.9451005761122486,0.4709187678869478,0.943347939579481,1.026245209583287,cool,0.22097377894945175,0.5342304957276215,0.004737637195352762,0.835253617678756,0.005314386440347658
0.75,2200,0.03554261188104481,0.394138044900111,-0.630320112115183,0.9449255046531851,0.394138044900111,0.9452213145943414,1.0726627727334586,cool,0.20794465581145777,0.7198836427090277,0.004724331762532023,0.8776985154195661,0.004998955944850142
0.75,2400,0.03992711374845762,0.3934109550726706,-0.7078693561245791,0.9450367519199513,0.3934109550726706,0.9454655810278619,1.0602869670301258,cool,0.20287241820103066,0.6382771957496155,0.004409373796948827,0.877308906810112,0.0034803229557387513
0.75,2600,0.035511681802689425,0.3156928172095461,-0.7085589426969986,0.9463165887497854,0.3156928172095461,0.9436352417115151,1.0834535179417348,cool,0.21740637935006663,0.6364586099037738,0.004178690823083712,0.9108055798598086,0.006438030156311648
