accuracy,epoch,grad_norm,margin,mean_1_1,mean_1_2,mean_2_1,mean_2_2,mean_3_1,mean_3_2,mean_4_1,mean_4_2,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.10302445202979804,0.22033004881493634,0.3233545008447344,0.12845806522250786,-0.4405337737960474,0.02710560160653347,0.2894409923166764,-0.4680082996990518,-0.6682500047530403,1.1915817467103538,0.0,normal,0.8603416854132994,0.8405847263971645,0.8208587485639383,0.704556707151766
0.25,1,0.5540117244386346,0.06110846780375434,0.04412887309912128,0.10523734090287562,-0.0991958613892076,-0.5055513172643228,0.0005523901489892305,0.17811268658357193,-0.6781014525944207,-0.5611088628916627,1.237328226605371,0.46545999952408856,normal,0.8950889658794637,0.8216259950518122,0.8801528179621083,0.6830030266236333
1.0,100,0.8503014042716496,0.006668745433801748,-0.017342285448372907,-0.10179602978859038,-0.3236916945580124,-0.31702294912421064,-0.22140409410067338,0.09568575321263635,-0.24913378070640185,-0.3208757514500878,0.9349048573863308,0.45352619401506805,normal,0.885161941718427,0.8448329401949527,0.8746567082405058,0.869460627232991
0.75,200,0.5019384732693798,0.10139469836838337,0.3919906195294295,-0.1274509541173446,0.12002628169757934,0.01863158332919597,-0.291824811911186,0.2535799387849514,0.1926226518690638,-0.44083629683631664,0.6714671648953471,0.41482151977742887,normal,0.8714166020715913,0.8882395259913363,0.8222597558232515,0.8515944730239051
1.0,300,0.4553883440442961,0.28435486971784807,0.24173408104740765,-0.23602299276091668,-0.15969781830164687,0.1246570514162012,-0.2207449334635436,0.20374350570443897,0.44584963062460814,-0.4787602856506757,0.55637468009523,0.3391731917678842,normal,0.8602702550378855,0.868920123326691,0.8663432114546809,0.7903367204417976
1.0,400,0.37456919910543884,0.35098039803440517,0.19230265649779255,-0.22196800725811527,-0.4389968858628735,0.4473373316823345,-0.24200611179327772,0.10897428624112745,0.5714493099745064,-0.5604984242537293,0.45289602319962774,0.2682817239795966,normal,0.8710099461244165,0.8219192431165888,0.8521851961084626,0.7215116029203881
1.0,500,0.4519160068237179,0.16773186866029663,0.3451014235351544,-0.2896078417885689,-0.21951076626911975,0.21852885427672128,-0.0997297383850114,0.06800213027528523,0.5071058974079361,-0.5456759591112048,0.5352339078863916,0.3176969876386627,normal,0.8292422245682225,0.861103344023134,0.8688363162698213,0.7122041558484501
1.0,600,0.6569801558582118,0.41458613129259647,0.32051554697715223,-0.2241707835441341,-0.2223507840659736,0.19223534722662283,-0.35500611922712205,0.41290467724382,0.5360873557287992,-0.5804641311855372,0.43409443041155327,0.3219868811172229,normal,0.84075279545988,0.8755256447077647,0.8025096718881892,0.6778795317609747
1.0,700,0.5581641131465672,0.6215252456500058,0.3182596731259594,-0.30326557252404635,-0.4311426234020899,0.4338578508543615,-0.4540770786092705,0.3561605757738048,0.6737335238907792,-0.6499576846701767,0.3169831074884459,0.3875202479275842,normal,0.8181230777608152,0.770816905393674,0.793861475902064,0.5758792512059725
1.0,800,0.3412851643271778,0.23807327080580432,0.1269602685108162,-0.11111300229498812,-0.4542703386877687,0.34553109096577805,-0.37933703642353284,0.27698156408489183,0.5352034665475394,-0.5304763533424548,0.45286691611060237,0.3008556566063032,normal,0.8376693754547896,0.7607346943805591,0.8251815839351649,0.6751055636324438
1.0,900,0.4148146946121223,0.053833558790552044,0.14188237568574324,0.0880488168951912,-0.7191475035944046,0.658414959967864,-0.6826824991902558,0.4721895616473226,0.5539943473072164,-0.4147781938968702,0.3795568011429366,0.40438494221665716,normal,0.8353682623147974,0.4537876760612908,0.517192748729412,0.7119414171195044
0.75,1000,0.48741146264081553,0.04291160018169615,0.10363405258090702,0.14654565276260317,-0.6469859980985305,0.5413763112319256,-0.6325260626980389,0.4691763374173139,0.47192607879428217,-0.32393887435759977,0.45071562327692927,0.4510768327763348,normal,0.8207505905860187,0.6160534448040488,0.6189504247125569,0.7592360003935025
0.75,1100,0.4781564372621058,0.1671540896570576,0.05618768903763319,0.2233417786946908,-0.7743682502514326,0.466384483845871,-0.5589488938843561,0.45386868551639326,0.5446331145438431,-0.3517858564454738,0.4804160073173306,0.4034560505756329,normal,0.8172057919393614,0.5939042481391609,0.5376717926348217,0.6995404717669788
0.75,1200,0.525113255534662,0.13340531593012028,0.3235723304028731,0.1901670144727528,-0.6986420176597546,0.4891821396428535,0.7126836041939894,0.38593748145409035,0.562156000872372,-0.14325309290291474,0.8077354962082471,0.48660783801334684,normal,0.798670822884237,0.5747036235053684,0.3521312182994874,0.759053200701747
0.75,1300,0.35785484628355557,0.25115244855704655,0.43271136215111977,0.1815589135940732,-0.8921888293663855,0.44227098475431403,0.8941389278890808,0.4740579319664644,0.5110959057273381,-0.09071728256346173,0.8713477973229866,0.44040394735088906,normal,0.7480972200089596,0.4005253682807293,0.3294480002789327,0.7341473156751755
0.75,1400,0.26366252652768135,0.2764488296399717,0.5310223121472196,0.25457348250724793,-0.7458339752847529,0.3453922826780565,0.8890162313432483,0.44720549378426233,0.6671914379011873,0.025144717042734605,0.9153317055848198,0.3760197175093545,normal,0.714063743181157,0.5187254903388326,0.22753859065784385,0.6876257076090754
0.75,1500,0.30015791267420444,0.41517882263424283,0.6627138097376921,0.2475349871034493,-0.8655649401710237,0.49469819283050126,0.9221614776763496,0.3643655505465969,0.630725890380009,-0.23887296223807694,0.8447402318839479,0.4582307548052731,normal,0.5949999002817578,0.3219328994700835,0.2505950673705348,0.6242067987364887
