epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_margin,ff_std,ft_margin,ft_std,tf_margin,tf_std,tt_margin,tt_std
0,1.0187125097291365,0.75,0.0,0.0,0.0,0.007969723896994463,0.5623369100812965,0.017053586318313885,0.5750508546753225,0.07492945207972002,0.5755923200081288,-0.03842134265609021,0.5629030454508814
1,1.019683181267168,0.75,3.9033038522885217,0.0380939757760184,0.3287899738810758,0.011796422069790369,0.5643587923877179,0.007774309397100332,0.5717602657261439,0.07597347633538432,0.57445830480829,-0.03499646707350634,0.5619735841338331
500,0.8295457058706441,1.0,3.4357506932021167,0.058296898970018246,7.461260777121863,-0.029599771109575346,0.5689987565981827,0.03245636959529097,0.5749043999390554,0.109109123228047,0.5738879159686323,-0.05670319613158914,0.5636915973669406
1000,0.5593869219055394,1.0,5.099562743781318,0.13108723924104193,11.85100964155227,-0.27645305615813265,0.5832796037782921,0.3101795690225412,0.5794364810302175,0.4158958490455766,0.5529457535066811,-0.25576703874780027,0.5689947644029045
1500,0.38129597594855846,1.0,5.549226574011524,0.1769857739396233,15.935126037015394,-0.5526803583559462,0.5757065471018192,0.537321849000918,0.5410850402185194,0.7763170165594477,0.5291910551082933,-0.6194868788324881,0.5492580715942768
2000,0.24719186623303924,1.0,6.631077360063945,0.19796887442898645,19.45412724152604,-0.8897366565895022,0.537877082846902,0.9582121069240108,0.5016851701834575,1.0355115531628478,0.46898303100626454,-0.8935762706911634,0.535128864473878
2500,0.21108588611812568,1.0,7.204684310809686,0.21009173816265408,22.734692116332326,-1.0488656093087279,0.5165190762046095,1.0383097406779487,0.4836793123090777,1.0443608346098738,0.48944769763079804,-1.0003126993677358,0.4958107823847868
3000,0.17471140871408436,1.0,6.546520622371252,0.2087630372952125,26.071095438393144,-1.1039307840608847,0.5134539133780266,1.1059629371373032,0.4399268630377829,1.2008900713883897,0.41542746113838147,-1.0093730838675852,0.5000560137350736
