epoch,mse,accuracy,margin
1,1.006819,0.75,0.034766
100,1.003065,0.75,0.03873
200,1.005286,0.75,0.037241
300,1.00215,0.75,0.041671
400,1.007591,0.75,0.03431
500,1.011824,0.75,0.027656
600,1.018458,0.75,0.022404
700,1.018722,0.75,0.021857
800,1.023855,0.75,0.015517
900,1.023985,0.75,0.010087
1000,1.016451,0.75,0.016641
1100,1.017319,0.75,0.016247
1200,1.021296,0.75,0.010901
1300,1.023657,0.75,0.009354
1400,1.024037,0.75,0.010662
1500,1.024111,0.75,0.013132
1600,1.02702,0.75,0.010792
1700,1.02025,0.75,0.018153
1800,1.021053,0.75,0.017581
1900,1.017144,0.75,0.019545
2000,1.013049,0.75,0.020149
2100,1.014699,0.75,0.019501
2200,1.014662,0.75,0.024226
2300,1.01727,0.75,0.025896
2400,1.01171,0.75,0.03171
2500,1.012257,0.75,0.03142
2600,1.014356,0.75,0.031153
2700,1.010573,0.75,0.034031
2800,1.0088,0.75,0.036018
2900,1.007964,0.75,0.036875
3000,1.008888,0.75,0.031872
3100,1.008182,0.75,0.034312
3200,1.003445,0.75,0.032599
3300,1.00724,0.75,0.029098
3400,1.010831,0.75,0.021593
3500,1.011514,0.75,0.019743
3600,1.005819,0.75,0.02631
3700,1.009478,0.75,0.031356
3800,1.009224,0.75,0.029796
3900,1.009406,0.75,0.030128
4000,1.009483,0.75,0.029008
4100,1.015892,0.75,0.020753
4200,1.015545,0.75,0.019097
4300,1.017758,0.75,0.011475
4400,1.019305,0.75,0.013243
4500,1.021213,0.75,0.012659
4600,1.021275,0.75,0.012597
4700,1.019975,0.75,0.016794
4800,1.017134,0.75,0.018294
4900,1.017371,0.75,0.016961
5000,1.017512,0.75,0.01691
5100,1.017332,0.75,0.015636
5200,1.015201,0.75,0.018681
5300,1.013631,0.75,0.019401
5400,1.015112,0.75,0.018002
5500,1.012224,0.75,0.021087
5600,1.012192,0.75,0.021093
5700,1.014966,0.75,0.015294
5800,1.014297,0.75,0.01439
5900,1.013144,0.75,0.01827
6000,1.012981,0.75,0.018191
6100,1.014969,0.75,0.020547
6200,1.014296,0.75,0.017897
6300,1.013775,0.75,0.017598
6400,1.011914,0.75,0.01988
6500,1.007832,0.75,0.023234
6600,1.007672,0.75,0.023743
6700,1.008888,0.75,0.023686
6800,1.014801,0.75,0.019342
6900,1.015542,0.75,0.017515
7000,1.018026,0.75,0.019044
7100,1.013654,0.75,0.021769
7200,1.011985,0.75,0.021399
7300,1.010463,0.75,0.020989
7400,1.008805,0.75,0.021779
7500,1.009966,0.75,0.020152
7600,1.009608,0.75,0.021012
7700,1.009123,0.75,0.018748
7800,1.009643,0.75,0.017986
7900,1.007691,0.75,0.020711
8000,1.012955,0.75,0.017918
8100,1.013931,0.75,0.015765
8200,1.017137,0.75,0.015092
8300,1.020123,0.75,0.01037
8400,1.019338,0.75,0.010202
8500,1.019201,0.75,0.012427
8600,1.021882,0.75,0.011212
8700,1.025644,0.75,0.009057
8800,1.025356,0.75,0.005613
8900,1.023179,0.75,0.008616
9000,1.025027,0.75,0.004324
9100,1.02466,0.75,0.006761
9200,1.025488,0.75,0.004575
9300,1.027323,0.75,0.003291
9400,1.027731,0.75,0.006046
9500,1.029669,0.75,0.003686
9600,1.032423,0.5,0.000501
9700,1.034685,0.5,0.003102
9800,1.036666,0.5,0.003974
9900,1.043601,0.5,0.006822
10000,1.045016,0.5,0.007215
