Running bespoke XOR search with 1 config(s)
config 1/1: (hidden = (16,), out = 1, target_mode = :readout_hterm, readout_target = 0.2, lp = 0.0, dw = 0.0, bias = 0.1, skip = 0.0, weight_norm = 0.2, lr = 0.01, beta = 0.1, relaxation = 100, dynamics = :block, block_size = 8, adjusted = true, stepsize = 0.001, state = :continuous, weight_seed = 2, bias_seed = 11, minit = 5)
  epoch=1 mse=0.050261 acc=1.0 margin=0.100423 grad=0.765308 delta=4.147538 weight_rms=0.2
  epoch=100 mse=0.04817 acc=1.0 margin=0.092748 grad=0.814787 delta=4.224167 weight_rms=0.2
  epoch=200 mse=0.047458 acc=1.0 margin=0.081451 grad=0.792461 delta=4.320332 weight_rms=0.2
  epoch=300 mse=0.047378 acc=1.0 margin=0.083512 grad=0.785215 delta=4.406552 weight_rms=0.2
  epoch=400 mse=0.048432 acc=1.0 margin=0.074927 grad=0.76056 delta=4.462157 weight_rms=0.2
  epoch=500 mse=0.050974 acc=1.0 margin=0.073385 grad=0.728749 delta=4.471132 weight_rms=0.2
  epoch=600 mse=0.04865 acc=1.0 margin=0.076195 grad=0.693747 delta=4.488479 weight_rms=0.2
  epoch=700 mse=0.051989 acc=1.0 margin=0.072303 grad=0.727779 delta=4.59546 weight_rms=0.2
  epoch=800 mse=0.048926 acc=1.0 margin=0.063624 grad=0.681163 delta=4.646864 weight_rms=0.2
  epoch=900 mse=0.055523 acc=1.0 margin=0.063533 grad=0.689469 delta=4.739276 weight_rms=0.2
  epoch=1000 mse=0.053453 acc=1.0 margin=0.050477 grad=0.862032 delta=4.787047 weight_rms=0.2
  epoch=1100 mse=0.052923 acc=1.0 margin=0.047515 grad=0.695789 delta=4.824464 weight_rms=0.2
  epoch=1200 mse=0.051828 acc=1.0 margin=0.045682 grad=0.757049 delta=4.857944 weight_rms=0.2
  epoch=1300 mse=0.049251 acc=1.0 margin=0.031574 grad=0.790265 delta=4.845435 weight_rms=0.2
  epoch=1400 mse=0.047446 acc=1.0 margin=0.022996 grad=0.728476 delta=4.867027 weight_rms=0.2
  epoch=1500 mse=0.045683 acc=1.0 margin=0.04707 grad=0.661354 delta=4.896691 weight_rms=0.2
  epoch=1600 mse=0.046792 acc=1.0 margin=0.064139 grad=0.602635 delta=4.930743 weight_rms=0.2
  epoch=1700 mse=0.044319 acc=1.0 margin=0.065618 grad=0.561996 delta=4.936099 weight_rms=0.2
  epoch=1800 mse=0.044898 acc=1.0 margin=0.060607 grad=0.647823 delta=4.921376 weight_rms=0.2
  epoch=1900 mse=0.048947 acc=1.0 margin=0.058087 grad=0.673217 delta=4.908314 weight_rms=0.2
  epoch=2000 mse=0.049156 acc=1.0 margin=0.074633 grad=0.651977 delta=4.922261 weight_rms=0.2
  epoch=2100 mse=0.050448 acc=1.0 margin=0.07731 grad=0.62239 delta=4.949039 weight_rms=0.2
  epoch=2200 mse=0.045438 acc=1.0 margin=0.05921 grad=0.641665 delta=5.001922 weight_rms=0.2
  epoch=2300 mse=0.04403 acc=1.0 margin=0.052797 grad=0.511526 delta=5.046721 weight_rms=0.2
  epoch=2400 mse=0.045075 acc=1.0 margin=0.043504 grad=0.532158 delta=5.038809 weight_rms=0.2
  epoch=2500 mse=0.046015 acc=1.0 margin=0.05877 grad=0.655433 delta=5.103419 weight_rms=0.2
  epoch=2600 mse=0.047694 acc=1.0 margin=0.058053 grad=0.662697 delta=5.113048 weight_rms=0.2
  epoch=2700 mse=0.046791 acc=1.0 margin=0.05861 grad=0.585029 delta=5.098309 weight_rms=0.2
  epoch=2800 mse=0.046971 acc=1.0 margin=0.044886 grad=0.611976 delta=5.11951 weight_rms=0.2
  epoch=2900 mse=0.045757 acc=1.0 margin=0.059869 grad=0.59654 delta=5.154162 weight_rms=0.2
  epoch=3000 mse=0.043432 acc=1.0 margin=0.035638 grad=0.510558 delta=5.183555 weight_rms=0.2
  epoch=3100 mse=0.043573 acc=1.0 margin=0.040111 grad=0.520387 delta=5.209046 weight_rms=0.2
  epoch=3200 mse=0.046258 acc=1.0 margin=0.060643 grad=0.579286 delta=5.20482 weight_rms=0.2
  epoch=3300 mse=0.045888 acc=1.0 margin=0.055187 grad=0.459628 delta=5.224709 weight_rms=0.2
  epoch=3400 mse=0.044777 acc=1.0 margin=0.058823 grad=0.475638 delta=5.250098 weight_rms=0.2
  epoch=3500 mse=0.04405 acc=1.0 margin=0.062831 grad=0.534446 delta=5.237721 weight_rms=0.2
  epoch=3600 mse=0.042843 acc=1.0 margin=0.072792 grad=0.518144 delta=5.245535 weight_rms=0.2
  epoch=3700 mse=0.042455 acc=1.0 margin=0.056791 grad=0.469977 delta=5.245363 weight_rms=0.2
  epoch=3800 mse=0.043791 acc=1.0 margin=0.065479 grad=0.5091 delta=5.216696 weight_rms=0.2
  epoch=3900 mse=0.044941 acc=1.0 margin=0.048037 grad=0.443713 delta=5.281181 weight_rms=0.2
