epoch,mse,accuracy,margin
1,0.050261,1,0.100423
100,0.04817,1,0.092748
200,0.047458,1,0.081451
300,0.047378,1,0.083512
400,0.048432,1,0.074927
500,0.050974,1,0.073385
600,0.04865,1,0.076195
700,0.051989,1,0.072303
800,0.048926,1,0.063624
900,0.055523,1,0.063533
1000,0.053453,1,0.050477
1100,0.052923,1,0.047515
1200,0.051828,1,0.045682
1300,0.049251,1,0.031574
1400,0.047446,1,0.022996
1500,0.045683,1,0.04707
1600,0.046792,1,0.064139
1700,0.044319,1,0.065618
1800,0.044898,1,0.060607
1900,0.048947,1,0.058087
2000,0.049156,1,0.074633
2100,0.050448,1,0.07731
2200,0.045438,1,0.05921
2300,0.04403,1,0.052797
2400,0.045075,1,0.043504
2500,0.046015,1,0.05877
2600,0.047694,1,0.058053
2700,0.046791,1,0.05861
2800,0.046971,1,0.044886
2900,0.045757,1,0.059869
3000,0.043432,1,0.035638
3100,0.043573,1,0.040111
3200,0.046258,1,0.060643
3300,0.045888,1,0.055187
3400,0.044777,1,0.058823
3500,0.04405,1,0.062831
3600,0.042843,1,0.072792
3700,0.042455,1,0.056791
3800,0.043791,1,0.065479
3900,0.044941,1,0.048037
4000,0.046956,1,0.056593
4100,0.047356,1,0.050757
4200,0.04684,1,0.066297
4300,0.048932,1,0.068179
4400,0.048935,1,0.053646
4500,0.047428,1,0.060971
4600,0.043706,1,0.036459
4700,0.041765,1,0.039237
4800,0.039714,1,0.038239
4900,0.037285,1,0.030718
5000,0.034032,1,0.023481
5100,0.033841,1,0.028598
5200,0.036879,1,0.040992
5300,0.03675,1,0.050243
5400,0.038061,1,0.036833
5500,0.03702,1,0.038563
5600,0.03817,1,0.03657
5700,0.037643,1,0.032756
5800,0.036535,1,0.031784
5900,0.036701,1,0.032342
6000,0.03912,1,0.017167
6100,0.037855,1,0.007372
6200,0.040683,0.75,0.010102
6300,0.040167,1,0.000733
6400,0.043586,1,0.003766
6500,0.042205,1,0.023588
6600,0.043155,1,0.03457
6700,0.041131,1,0.014373
6800,0.040208,1,0.0262
6900,0.04229,1,0.03047
7000,0.039913,1,0.022091
7100,0.036193,1,0.010714
7200,0.037443,1,0.00243
7300,0.041086,0.75,0.002785
7400,0.039886,0.75,0.005852
7500,0.040505,0.75,0.012052
7600,0.040637,0.75,0.011126
7700,0.040453,0.75,0.016953
7800,0.037485,0.75,0.021782
7900,0.036824,0.75,0.023849
8000,0.03605,0.75,0.023656
8100,0.036934,0.75,0.035274
8200,0.038881,0.75,0.038006
8300,0.038656,0.75,0.040052
8400,0.037535,0.75,0.04546
8500,0.038555,0.75,0.044928
8600,0.035325,0.75,0.046262
8700,0.036561,0.75,0.066311
8800,0.037301,0.75,0.074198
8900,0.034714,0.75,0.063517
9000,0.033852,0.75,0.062854
9100,0.031251,0.75,0.06054
9200,0.033906,0.75,0.07346
9300,0.033385,0.75,0.072701
9400,0.040743,0.75,0.104675
9500,0.034151,0.75,0.06522
9600,0.036677,0.75,0.05112
9700,0.033628,0.75,0.023334
9800,0.034154,0.75,0.016161
9900,0.043446,0.75,0.01531
10000,0.037398,1,0.033993
