fullsweeps,meanabs,frac_09,frac_099,frac_mid,dH_rms,residual_rms,energy,readout_abs
0,0.522514146609,0.1375,0.0125,0.48125,0.617719839097,0.499663678512,-0.236128261679,0.26312668292
100,0.541848185647,0.20625,0.13125,0.45,0.62773313558,0.404932575572,-3.08614425038,0.315092242352
200,0.563847333156,0.225,0.14375,0.41875,0.64315429836,0.382344745713,-3.71376635395,0.324327144616
300,0.574331986329,0.2375,0.1625,0.41875,0.651742016439,0.375111526375,-3.94126200881,0.332426909535
400,0.579560566644,0.24375,0.175,0.40625,0.654858435883,0.370459670893,-4.02897490399,0.336369008638
500,0.58033592551,0.24375,0.18125,0.40625,0.655329123073,0.369460878658,-4.0540196065,0.336428586244
600,0.582133380805,0.24375,0.18125,0.4,0.655949606254,0.367631778905,-4.09473847323,0.33661821183
700,0.582615922089,0.25625,0.18125,0.4,0.656158661785,0.367262140945,-4.10552078611,0.336201723797
800,0.583246403131,0.25625,0.18125,0.4,0.65641314309,0.366739063381,-4.11871161226,0.33602275527
900,0.584574046754,0.2625,0.1875,0.39375,0.656922135778,0.365800989842,-4.14910991035,0.335832258033
1000,0.584892636097,0.2625,0.1875,0.39375,0.657069675112,0.365503758512,-4.15448760208,0.335832258033
1100,0.585064244487,0.2625,0.1875,0.39375,0.657177259617,0.365242244229,-4.15780739968,0.335832258033
1200,0.585064244487,0.2625,0.1875,0.39375,0.657177259617,0.365242244229,-4.15780739968,0.335832258033
1300,0.585064244487,0.2625,0.1875,0.39375,0.657177259617,0.365242244229,-4.15780739968,0.335832258033
1400,0.585064244487,0.2625,0.1875,0.39375,0.657177259617,0.365242244229,-4.15780739968,0.335832258033
1500,0.585064244487,0.2625,0.1875,0.39375,0.657177259617,0.365242244229,-4.15780739968,0.335832258033
1600,0.585228673266,0.2625,0.1875,0.39375,0.657232694613,0.36493917981,-4.16114601413,0.335657123791
1700,0.585228673266,0.2625,0.1875,0.39375,0.657232694613,0.36493917981,-4.16114601413,0.335657123791
1800,0.585541409579,0.2625,0.1875,0.39375,0.65739868763,0.364499687955,-4.16829379325,0.335657123791
1900,0.585541409579,0.2625,0.1875,0.39375,0.65739868763,0.364499687955,-4.16829379325,0.335657123791
2000,0.585541409579,0.2625,0.1875,0.39375,0.65739868763,0.364499687955,-4.16829379325,0.335657123791
2100,0.585467576399,0.2625,0.1875,0.39375,0.657445595126,0.364365253446,-4.17273427717,0.336191781882
2200,0.585823620415,0.2625,0.1875,0.39375,0.657601659559,0.364083675836,-4.18173383574,0.336775397038
2300,0.585949222635,0.2625,0.1875,0.39375,0.657675691951,0.363948888684,-4.18611510792,0.336775397038
2400,0.585962838126,0.2625,0.1875,0.39375,0.657740049954,0.36359365524,-4.19251161255,0.33657674572
2500,0.585911047157,0.2625,0.1875,0.39375,0.657889549323,0.363530740003,-4.19760032983,0.336400806119
2600,0.585724112465,0.2625,0.1875,0.39375,0.657906312454,0.363468712903,-4.20058674352,0.336400806119
2700,0.585724112465,0.2625,0.1875,0.39375,0.657906312454,0.363468712903,-4.20058674352,0.336400806119
2800,0.585553681523,0.2625,0.1875,0.39375,0.657912484738,0.363415935845,-4.2037182361,0.336400806119
2900,0.585867654672,0.2625,0.19375,0.39375,0.658109006851,0.363062793661,-4.20974687586,0.336400806119
3000,0.585823533316,0.2625,0.19375,0.39375,0.658173537821,0.362967737777,-4.21367367114,0.337102787799
3100,0.585823533316,0.2625,0.19375,0.39375,0.658173537821,0.362967737777,-4.21367367114,0.337102787799
3200,0.58579493532,0.2625,0.19375,0.39375,0.658242666775,0.362877397014,-4.21780930059,0.337862030161
3300,0.58579493532,0.2625,0.19375,0.39375,0.658242666775,0.362877397014,-4.21780930059,0.337862030161
3400,0.58579493532,0.2625,0.19375,0.39375,0.658242666775,0.362877397014,-4.21780930059,0.337862030161
3500,0.58579493532,0.2625,0.19375,0.39375,0.658242666775,0.362877397014,-4.21780930059,0.337862030161
3600,0.585813133954,0.2625,0.19375,0.3875,0.658409179783,0.362673615268,-4.22433488253,0.338471189958
3700,0.585813133954,0.2625,0.19375,0.3875,0.658409179783,0.362673615268,-4.22433488253,0.338471189958
3800,0.585813133954,0.2625,0.19375,0.3875,0.658409179783,0.362673615268,-4.22433488253,0.338471189958
3900,0.585945835527,0.2625,0.19375,0.3875,0.658506104563,0.362567157109,-4.22692066298,0.338471189958
4000,0.585945835527,0.2625,0.19375,0.3875,0.658506104563,0.362567157109,-4.22692066298,0.338471189958
4100,0.585945835527,0.2625,0.19375,0.3875,0.658506104563,0.362567157109,-4.22692066298,0.338471189958
4200,0.586102501064,0.2625,0.19375,0.3875,0.658585485232,0.362313035208,-4.22996188789,0.338471189958
4300,0.586102501064,0.2625,0.19375,0.3875,0.658585485232,0.362313035208,-4.22996188789,0.338471189958
4400,0.586337102011,0.2625,0.19375,0.3875,0.658794435358,0.361787526044,-4.23833581652,0.338471189958
4500,0.586337102011,0.2625,0.19375,0.3875,0.658794435358,0.361787526044,-4.23833581652,0.338471189958
4600,0.586224779867,0.2625,0.19375,0.3875,0.658897285435,0.361578740347,-4.24643464729,0.33932829808
4700,0.586224779867,0.2625,0.19375,0.3875,0.658897285435,0.361578740347,-4.24643464729,0.33932829808
4800,0.586224779867,0.2625,0.19375,0.3875,0.658897285435,0.361578740347,-4.24643464729,0.33932829808
4900,0.586345959633,0.2625,0.19375,0.3875,0.658979313634,0.361457326509,-4.24874663576,0.33932829808
5000,0.58653926263,0.2625,0.19375,0.3875,0.659115562511,0.361182558952,-4.25250803461,0.33932829808
