repeats,direct_median_spe,process_median_spe,process_over_bespoke_median,process_over_bespoke_mean
3,0.0179224203125,0.82849055625,46.22648848783939,46.37292506463075
1,0.01784759296875,0.8405224375,47.09444231340895,47.09444231340895
1,0.01945485703125,0.73557119765625,37.80912892213573,37.80912892213573
1,0.0186624671875,0.7501695078125,40.196695339132795,40.196695339132795
1,0.018346440625,0.0329143546875,1.794045796689787,1.794045796689787
1,0.0179738265625,0.03156885390625,1.7563791325389897,1.7563791325389897
1,0.02083617890625,0.03356399140625,1.6108515653118232,1.6108515653118232
1,0.01929174921875,0.0338596390625,1.7551357670351222,1.7551357670351222
1,0.0181223984375,0.02861198203125,1.578818726998315,1.578818726998315
1,0.01789015390625,0.01843163203125,1.0302668231831607,1.0302668231831607
3,0.0180552046875,0.018487903125,1.0218194528568676,1.0185246603342588
