timestamp,config_id,hidden,output_replicas,epoch,seconds,train_per_class,validation_per_class,batchsize,free_relaxation,nudged_relaxation,free_sweeps,nudged_sweeps,minit,target_scale,beta,lr,stepsize,weight_scale,bias_scale,temp,weight_decay,train_accuracy,train_mse,validation_accuracy,validation_mse,best_epoch,best_validation_accuracy,best_validation_mse,initial_graph_path,best_graph_path,final_graph_path
2026-05-20T02:43:32,1,120,4,0,0.0,1,1,4,160,160,1.0,1.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.1,13.677322,0.0,14.943924,0,0.0,14.943923950195312,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_smoke\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_smoke\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:43:35,1,120,4,1,2.0132177,1,1,4,160,160,1.0,1.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.0,14.607605,0.1,15.712848,1,0.1,15.712847709655762,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_smoke\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_smoke\checkpoints\config_1\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_smoke\checkpoints\config_1\final_graph.jld2
