accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.25,0,0.0,0.0009338152108290346,0.003925790591427142,-0.16433829168448344,0.0009338152108290346,0.15977753513395296,1.1766919557719853,1.0345322134169035,1.0241252102110183,1.0321257787374032,1.0160576983850222,0.06092722188681365
0.0,1,0.5476967916621358,0.0006633035285935155,0.0019690337419447737,-0.16514608843418974,-0.0009655824059516538,0.0006633035285935155,1.0911916240403257,1.0352937534847235,1.0184188637249862,1.0351554239705125,1.0371987882220368,0.06092722188681365
0.5,400,1.4708474161648344,0.3310512868210374,-0.33242142633289834,-0.3310547357753833,-0.5864877490037607,-0.3310512868210374,1.2954509050630718,0.9767239686177539,0.9756645331056187,0.7780606615369314,0.9774782492925047,0.06092722188681365
0.5,800,0.5093481030779868,0.9889211228165871,-0.9919091634564149,-0.9889211228165871,-0.9936054273171141,-0.9905232587144069,1.982606275718904,0.005273821142546922,0.008446141066505288,0.007339609243731277,0.010051389868363911,0.06092722188681365
0.5,1200,1.1266254872746826,0.9870261561003973,-0.9870261561003973,-0.9935596419796018,-0.9903068434602247,-0.9923724264892404,1.9839569694394088,0.006534423513181779,0.00624428800753227,0.006179828460882504,0.004609428654296308,0.06092722188681365
0.5,1600,0.4040955936655046,0.9896271374551352,-0.9911272043400463,-0.9901867858319221,-0.9907897267050271,-0.9896271374551352,1.9810683753086182,0.006349206236718239,0.00892680422601281,0.007769254389735967,0.008474758371753146,0.06092722188681365
0.5,2000,0.3643499390524133,0.9887861291277105,-0.9908333231747521,-0.9916494426585919,-0.9901851571772875,-0.9887861291277105,1.9819285602887557,0.006901714621239834,0.0065556931901651835,0.007639176564346413,0.008412878695387526,0.06092722188681365
0.5,2400,0.36143945848106995,0.9890460755002528,-0.9890460755002528,-0.9893204858256089,-0.9921121621068356,-0.9912943721207143,1.9815256595395316,0.006880396029783745,0.007809064078505443,0.0051130006748245525,0.006707885978377523,0.06092722188681365
0.5,2800,0.29973523060256324,0.9848638870647193,-0.9848638870647193,-0.987709684285735,-0.9915720534120006,-0.9888777806679975,1.9794254596531617,0.009916727758591547,0.011100036964533018,0.006189110342309024,0.0059049330971766584,0.06092722188681365
0.5,3200,0.29370676836352083,0.98734408203616,-0.9897612097845613,-0.98734408203616,-0.9875884727763738,-0.9926316352720974,1.975050890785376,0.008557545187244841,0.010578242806145478,0.007258733229032913,0.007047080941074155,0.06092722188681365
0.5,3600,0.34552775294331894,0.9861741957150278,-0.9861741957150278,-0.9876273035136108,-0.9867685117300032,-0.9914608061722597,1.9745438718924986,0.008003485802882192,0.010820190229401888,0.00914378541602413,0.005769445676041641,0.06092722188681365
0.5,4000,0.3901521299002575,0.9893233638202529,-0.991315177671343,-0.9931969421958393,-0.9895452159755993,-0.9893233638202529,1.9828284083723082,0.004442641274598756,0.007904469915546133,0.008160335617576887,0.008500942153635935,0.06092722188681365
