accuracy,epoch,free,grad_norm,label,margin,mean_1,mean_2,mean_3,mean_4,mse,nudged
0.5,0,300,0.0,300/300,0.0526203760287062,-0.49234564381294366,-0.616450354451895,0.3636357946831134,0.0526203760287062,1.0958984379006897,300
0.5,1,300,0.09383945889281778,300/300,0.00810617663512735,-0.5154624034965318,-0.6273268134738894,0.34272543663812793,0.00810617663512735,1.0828142888222188,300
0.75,300,300,0.046469946544519004,300/300,0.08287138939392308,-0.46728224590544826,0.08287138939392308,0.6728114809007972,0.13528979977317515,0.6302120876047805,300
0.75,600,300,0.06168360576182446,300/300,0.00046829498044076434,-0.3983056854219943,0.08269521538808594,0.6767574597233534,0.00046829498044076434,0.5772266662932439,300
0.75,900,300,0.07098760502436872,300/300,0.10781770612032535,-0.32168914015168376,0.2952987054818994,0.5699353785736309,0.10781770612032535,0.5922312964199887,300
1.0,1200,300,0.036489864733003696,300/300,0.12231549990611665,-0.3023284704537431,0.3172261239375764,0.6108596801925505,-0.12231549990611665,0.46867149979440337,300
0.5,0,600,0.0,600/600,0.32979823168767275,-0.8598078206912734,-0.7641594909841185,0.5674785309215553,0.32979823168767275,1.2718376787455279,600
0.5,1,600,0.1617112516893245,600/600,0.2944135283985789,-0.8460256468041216,-0.767790585484261,0.5706745282734349,0.2944135283985789,1.2521545996858428,600
0.5,300,600,0.06477980888720691,600/600,0.3556579975654645,-0.40703133734877495,-0.3556579975654645,0.733067232574178,0.8745550702790876,1.4436575637710576,600
0.5,600,600,0.02675951504564597,600/600,0.10639069461866119,-0.7702064095201692,-0.3298432225208895,0.7314245205625787,0.10639069461866119,0.7793803120010403,600
0.75,900,600,0.02925654797171181,600/600,0.2871444189757919,-0.7833752470943032,-0.2974956825938856,0.7248236917336243,-0.2871444189757919,0.5785766024874249,600
0.75,1200,600,0.0389722135372754,600/600,0.13453468445550545,-0.7737961544759194,-0.13453468445550545,0.708440567035356,-0.7770667414918474,0.36826081766554086,600
0.5,0,1000,0.0,1000/1000,0.3492653444018345,-0.8685059089244853,-0.8317533210594972,0.6948047032553908,0.3492653444018345,1.3215680159897762,1000
0.5,1,1000,0.22973337341724553,1000/1000,0.32130695245113394,-0.8639559964872348,-0.8152693718463262,0.6449171548383691,0.32130695245113394,1.2964116881947296,1000
0.75,300,1000,0.05510490892903306,1000/1000,0.0924491523023423,-0.46664411978271747,-0.3222262853477673,0.5220526186411178,-0.0924491523023423,0.7712082712828644,1000
0.75,600,1000,0.07959069658802422,1000/1000,0.11349165145238271,-0.4079157303274031,-0.11349165145238271,0.44661476910913084,-0.3191316388780577,0.5900610947982269,1000
0.75,900,1000,0.060589334658028314,1000/1000,0.08518994011201603,-0.5396349338864442,-0.08518994011201603,0.32292350417734716,-0.6067816823484201,0.5006566066875703,1000
0.75,1200,1000,0.0715735952035617,1000/1000,0.11549951518300083,-0.6696415913007412,-0.11549951518300083,0.3842145959721644,-0.6978218777610813,0.45599478198634513,1000
0.5,0,1500,0.0,1500/1000,0.36818671338354314,-0.959699232506829,-0.9197562275952951,0.6920845163607308,0.36818671338354314,1.4134587382488808,1000
0.5,1,1500,0.21083356619650762,1500/1000,0.3707691390755814,-0.8795868399500528,-0.8508137056930863,0.7434590856732471,0.3707691390755814,1.3462079939150513,1000
0.75,300,1500,0.06262048115682604,1500/1000,0.11872833801996427,-0.3525056709188909,-0.11872833801996427,0.4969281416906696,-0.1956372616801323,0.6427206774753365,1000
1.0,600,1500,0.09361865000707811,1500/1000,0.026081306682420924,-0.4591256485654152,0.026081306682420924,0.3709516469606118,-0.24562237331753115,0.5514625298334612,1000
0.75,900,1500,0.0722212137270296,1500/1000,0.21885664111266634,-0.6010277758834677,-0.21885664111266634,0.497730383129669,-0.6549094308468959,0.5040381540376064,1000
0.75,1200,1500,0.03074842148252849,1500/1000,0.019311561052469617,-0.7947137516628113,-0.019311561052469617,0.6704730672140141,-0.6908788295967406,0.32132059991860035,1000
0.5,0,1000,0.0,1000/1500,0.39879785309350785,-0.872420484152551,-0.8314083244636903,0.6698680026408961,0.39879785309350785,1.3589888883195222,1500
0.5,1,1000,0.24884732640264043,1000/1500,0.35702048886517357,-0.8614419168737557,-0.8008837675906977,0.7200544329459774,0.35702048886517357,1.2955637036210894,1500
0.75,300,1000,0.07007702115362692,1000/1500,0.117087616897531,-0.2100026883312216,-0.117087616897531,0.4394664154125677,-0.18546774447388772,0.7124102977531485,1500
0.75,600,1000,0.06333017138654189,1000/1500,0.11160335132676488,-0.4099747975343937,-0.11160335132676488,0.4712346056320562,-0.35724694832580983,0.5691290194857616,1500
0.75,900,1000,0.04771942199937731,1000/1500,0.11176879391218464,-0.614883660509172,-0.11176879391218464,0.43935619845779544,-0.5715241532873059,0.4705643673709058,1500
0.75,1200,1000,0.040603723201951276,1000/1500,0.03763403365296239,-0.7191930167877534,-0.03763403365296239,0.48389742022684223,-0.6920381548065212,0.3791848301397902,1500
