timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,pixel_copy_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:19:02,1,7840,0,0.0,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.49609375,3.7175283,0.486328125,3.7309222
2026-05-19T05:20:30,1,7840,1,79.7981903,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.517578125,3.4843307,0.501953125,3.4561296
2026-05-19T05:21:52,1,7840,2,73.2820226,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.482421875,3.4448326,0.455078125,3.5781686
2026-05-19T05:23:13,1,7840,3,73.2124351,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.45703125,3.505447,0.48046875,3.487866
2026-05-19T05:24:35,1,7840,4,73.2859097,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.46875,3.4790514,0.43359375,3.5527005
2026-05-19T05:25:56,1,7840,5,73.2536364,7850,1.0,2,0-1,0.2,-0.2,0.2,-1.0,1.0,0.0,0.8,0.1,0.003,0.46875,3.5226395,0.4375,3.4402657
