timestamp,config_id,epoch,hidden,output_replicas,workers,train_limit,validation_limit,batchsize,free_sweeps,nudged_burnin_sweeps,nudged_interval_sweeps,nudged_samples,free_steps,burnin_steps,interval_steps,stepsize,beta,lr,target_scale,minit,temp,weight_scale,weight_decay,seconds,train_accuracy,train_mse,validation_accuracy,validation_mse,best_epoch,best_validation_mse,best_validation_accuracy,initial_graph_path,best_graph_path,final_graph_path
2026-05-20T02:32:18,1,0,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.2,1,0.001,0.005,0.0001,0.0,0.1171875,18.286356,0.0546875,18.679306,0,18.679306030273438,0.0546875,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:32:26,1,1,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.2,1,0.001,0.005,0.0001,3.1960641,0.109375,17.628206,0.09375,17.298584,1,17.298583984375,0.09375,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:32:32,1,2,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.2,1,0.001,0.005,0.0001,1.252418,0.0859375,16.525925,0.1171875,16.925419,2,16.925418853759766,0.1171875,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:32:38,1,3,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.2,1,0.001,0.005,0.0001,1.2273632,0.125,17.092388,0.0859375,17.256021,2,16.925418853759766,0.1171875,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_1\final_graph.jld2
2026-05-20T02:32:43,2,0,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.5,1,0.001,0.005,0.0001,0.0,0.1015625,26.092031,0.125,26.066845,0,26.066844940185547,0.125,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:32:49,2,1,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.5,1,0.001,0.005,0.0001,1.2457055,0.078125,14.934184,0.078125,15.022934,1,15.022933959960938,0.078125,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:32:54,2,2,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.5,1,0.001,0.005,0.0001,1.2295953,0.109375,15.609119,0.078125,15.753231,1,15.022933959960938,0.078125,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:33:00,2,3,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.05,0.0005,0.5,1,0.001,0.005,0.0001,1.2346349,0.0703125,15.765684,0.0703125,15.752215,1,15.022933959960938,0.078125,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_2\final_graph.jld2
2026-05-20T02:33:07,3,0,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.1,0.0005,0.2,1,0.001,0.005,0.0001,0.0,0.140625,18.801205,0.1015625,18.878681,0,18.878681182861328,0.1015625,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_3\best_graph.jld2,
2026-05-20T02:33:13,3,1,120,4,15,512,128,64,200.0,50.0,25.0,1,32000,8000,4000,0.05,0.1,0.0005,0.2,1,0.001,0.005,0.0001,1.7989494,0.09375,15.463191,0.1171875,15.395759,1,15.395758628845215,0.1171875,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_timeavg_grid_compact\checkpoints\config_3\best_graph.jld2,
