config,radius,periodic,hidden_side,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
h8_r8,8,false,8,0.044284396,1.0,80,0.63584864,80,25,ext/IsingLearning/experiments/XOR/checkerboard-local-cnn-two-hidden-layers/experiments/current/local_checkerboard_two_class_zero_init_h8_r8_r9_repeats64_sweeps20_epochs80/h8_r8
h8_r9,9,false,8,0.33636203,0.75,80,-0.03564602,80,-1,ext/IsingLearning/experiments/XOR/checkerboard-local-cnn-two-hidden-layers/experiments/current/local_checkerboard_two_class_zero_init_h8_r8_r9_repeats64_sweeps20_epochs80/h8_r9
