phase,seconds,compile_time,recompile_time,gctime,bytes
include simple experiment,9.425126125,1.489495117,0.443000663,0.321637795,685582984
simple graph construction,1.811194833,1.805454802,0.029287292,0.138486417,365838352
simple layer construction,0.046462167,0.045270876,0.0,0.0,1889840
simple init_simple_trainer,34.13362575,34.068751065,0.555814166,0.228583166,4072819200
simple simple_dataset,1.0125e-5,0.0,0.0,0.0,256
simple gradient_buffer,9.0e-6,0.0,0.0,0.0,800
simple eval: evaluate_simple!,10.223174625,10.221908624,0.0,0.150951875,633575760
simple train1: zero buffers,5.209e-6,0.0,0.0,0.0,0
simple train1: worker loop,68.645874208,86.268855627,0.0,0.509395083,2422361344
simple train1: optimizer/broadcast,0.301126417,0.300692667,0.0,0.0,122713280
simple warm graph construction,0.027480834,0.026507958,0.0,0.0,748288
simple warm layer construction,0.024122916,0.02335475,0.0,0.0,749952
simple warm init_simple_trainer,29.107602083,29.041318178,0.0,0.218657208,2936269600
simple warm gradient_buffer,8.875e-6,0.0,0.0,0.0,800
simple eval: evaluate_simple!,7.807186333,7.806204332,0.0,0.142786625,384593760
simple train101: zero buffers,1.75e-6,0.0,0.0,0.0,0
simple train101: worker loop,66.718764833,75.411271706,0.0,0.419200417,2108853984
simple train101: optimizer/broadcast,0.007618208,0.007490001,0.0,0.0,179664
