config,phase,step,q,residual_rms,residual_max,meanabs,frac_09,step_delta,energy,free_score,score,target,score_error,stepsize
eta=0.02,minus,0,0.994285487306,0.00574789457663,0.0150218178952,0.99559981551,1,0,-10.9669724862,-0.000429959409082,-0.000429959409082,0,0.998509171536,0.02
eta=0.02,minus,250,0.989641384648,0.0104721020401,0.0229941594575,0.991665600856,1,0.00837479478151,-10.8843203238,-0.000429959409082,0.000994979917993,0,1.00403913128,0.02
eta=0.02,minus,500,0.986813911093,0.0133626550774,0.0370061921655,0.989972419328,1,0.00799806106917,-10.8248000339,-0.000429959409082,-0.00381146551713,0,0.999698996522,0.02
eta=0.02,minus,750,0.98995088288,0.0101587444583,0.0240891900549,0.992571719815,1,0.00911489442697,-10.8941612065,-0.000429959409082,0.00873091018414,0,1.00206513198,0.02
eta=0.02,minus,1000,0.98839325055,0.0117458370463,0.0305296046043,0.991372337941,1,0.00808035338058,-10.8589866603,-0.000429959409082,0.00470572159336,0,0.999521767683,0.02
eta=0.02,minus,1250,0.988612518019,0.0115207707114,0.0288088866486,0.991647217107,1,0.00753529721834,-10.8771395143,-0.000429959409082,0.00554793305909,0,0.998665103957,0.02
eta=0.02,minus,1500,0.988660619604,0.0114712273659,0.029121362028,0.991712938331,1,0.00859080930736,-10.8647176758,-0.000429959409082,0.00169983345781,0,1.00256037445,0.02
eta=0.02,minus,1750,0.989768660598,0.0103395263377,0.0239250638696,0.991802562088,1,0.00749241645427,-10.8948493333,-0.000429959409082,-0.00526452288474,0,0.998620910379,0.02
eta=0.02,minus,2000,0.988854738785,0.0112727427891,0.0304939536388,0.991408202631,1,0.00802530421446,-10.8792607521,-0.000429959409082,-0.00294257561231,0,0.999421398427,0.02
eta=0.02,minus,2250,0.988942541733,0.0111827606127,0.0278066345745,0.99147256348,1,0.00713268184633,-10.873116768,-0.000429959409082,-0.00150693159644,0,0.99933715729,0.02
eta=0.02,minus,2500,0.989387705322,0.0107302794487,0.0274474232024,0.991579967729,1,0.00759033550024,-10.8855707056,-0.000429959409082,0.00283063276226,0,0.997590231284,0.02
eta=0.02,minus,2750,0.989370525796,0.0107477413768,0.0259962821605,0.99159207919,1,0.00756335937681,-10.8786209707,-0.000429959409082,-0.00196981805233,0,0.99543556007,0.02
eta=0.02,minus,3000,0.98926718493,0.0108508398697,0.023284063594,0.991625033595,1,0.00790934076788,-10.8840555785,-0.000429959409082,-0.00119845427738,0,0.99768023618,0.02
eta=0.02,plus,0,0.994285487306,0.00574789457663,0.0150218178952,0.99559981551,1,0,-10.9669724862,-0.000429959409082,-0.000429959409082,0,0.998509171536,0.02
eta=0.02,plus,250,0.98959025079,0.0105246852463,0.0232906947218,0.991656379913,1,0.00846247398324,-10.8834341738,-0.000429959409082,0.00120499783145,0,1.0047767913,0.02
eta=0.02,plus,500,0.986843243763,0.0133325972091,0.0370313172759,0.990008498867,1,0.00799075711329,-10.8251501305,-0.000429959409082,-0.00399058488447,0,1.00058417745,0.02
eta=0.02,plus,750,0.989941055123,0.0101686427721,0.0241584910259,0.992574787742,1,0.0091505439172,-10.8941689563,-0.000429959409082,0.0088689641376,0,1.00249597217,0.02
eta=0.02,plus,1000,0.98840509116,0.0117341030629,0.0305264956511,0.991398296839,1,0.00811758690295,-10.8592149801,-0.000429959409082,0.00473927867662,0,1.00032229194,0.02
eta=0.02,plus,1250,0.988643406688,0.0114892705707,0.0284847552577,0.991659114325,1,0.00765283006348,-10.8779770062,-0.000429959409082,0.00528028037798,0,0.998514608252,0.02
eta=0.02,plus,1500,0.988622220986,0.0115106097428,0.0290330808055,0.99170449196,1,0.00867666699782,-10.8640841863,-0.000429959409082,0.00182309084772,0,1.00294802885,0.02
eta=0.02,plus,1750,0.989813653545,0.010293786435,0.023420327627,0.991826121599,1,0.00752708752054,-10.8952884287,-0.000429959409082,-0.00510416786587,0,0.998903936562,0.02
eta=0.02,plus,2000,0.988896618553,0.0112299584346,0.0304966470405,0.991454830921,1,0.00804049323944,-10.8800711557,-0.000429959409082,-0.00305277995214,0,0.999782870824,0.02
eta=0.02,plus,2250,0.988933314697,0.0111921838701,0.0279472787533,0.991478119647,1,0.00718982103064,-10.8726597235,-0.000429959409082,-0.00112962521346,0,1.00000771684,0.02
