accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.8383861793175715
0.5,1,0.9521412157047452,1.805597846728166
0.5546875,300,0.03724521516659677,0.9750181631348439
0.625,600,0.05660386870149686,0.9555696195734178
0.46875,900,0.012795307507673636,1.0140499154733895
0.4609375,1200,0.012853288818283506,1.012017996195666
0.40625,1500,0.024087002299558315,1.0268578176415737
0.5234375,1800,0.011044280718683222,0.9922131096013022
0.5703125,2100,0.016162514538307752,0.9815443295853138
0.46875,2400,0.01502387402096705,1.0107887465441843
0.53125,2700,0.031838562518666264,1.0060910663158382
0.4921875,3000,0.011165529231332426,1.0154710689862418
