timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,effective_w_decay,effective_w_input_decay,symmetry_error,grad_symmetry_error,best_accuracy,best_path,final_path
2026-06-10T01:03:54,14,79.8724674,0.658,12.710386,0.668,12.662383,113-119-136-149-192-62-92-125-8-4,0.7542461,0.05784787,1.8863577,5.9757805,0.9354053,8.120873,0.001,0.001,0.0,0.0,0.689,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_resume_from_0p689_20260610\cont_lr0p00012_reset_s500\best_checkpoint.bin,
2026-06-10T01:05:16,15,78.5258944,0.667,11.664136,0.694,11.504372,116-125-109-148-134-107-103-136-12-10,0.76563954,0.05942893,1.9088845,6.7092595,0.9339006,5.9819036,0.001,0.001,0.0,0.0,0.694,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_resume_from_0p689_20260610\cont_lr0p00012_reset_s500\best_checkpoint.bin,
2026-06-10T01:06:36,16,77.3792122,0.67,12.408688,0.679,12.088132,146-106-123-124-142-121-90-132-9-7,0.77462703,0.059085764,1.9264545,5.243153,0.74929965,4.6798487,0.001,0.001,0.0,0.0,0.694,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_resume_from_0p689_20260610\cont_lr0p00012_reset_s500\best_checkpoint.bin,
2026-06-10T01:07:58,17,78.9301779,0.668,11.765308,0.714,11.59143,126-114-125-110-145-128-97-120-18-17,0.784618,0.05946231,1.9422026,3.3888526,0.4799959,3.3326468,0.001,0.001,0.0,0.0,0.714,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_resume_from_0p689_20260610\cont_lr0p00012_reset_s500\best_checkpoint.bin,
2026-06-10T09:28:51,18,86.5436067,0.637,12.682569,0.663,12.485619,119-108-145-153-131-127-82-116-10-9,0.80045635,0.06208677,1.9598048,7.5221677,1.0744846,6.8360415,0.001,0.001,0.0,0.0,0.714,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_beta_relax_from_0p714_20260610\b0p025_lr0p00015_s500_reverseT\best_checkpoint.bin,
2026-06-10T09:30:14,19,78.6818545,0.677,11.491454,0.704,11.0208235,119-119-128-151-120-88-121-120-20-14,0.82360566,0.06770085,2.0133185,1.5540152,0.32696927,2.996669,0.001,0.001,0.0,0.0,0.714,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_beta_relax_from_0p714_20260610\b0p025_lr0p00015_s500_reverseT\best_checkpoint.bin,
2026-06-10T09:31:36,20,78.9699779,0.664,12.233179,0.652,12.257428,148-114-127-176-120-93-96-111-9-6,0.82755834,0.06825623,2.0322871,3.8858263,0.5003312,2.875775,0.001,0.001,0.0,0.0,0.714,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_beta_relax_from_0p714_20260610\b0p025_lr0p00015_s500_reverseT\best_checkpoint.bin,
2026-06-10T09:32:57,21,77.9921524,0.705,11.449222,0.724,11.124498,121-117-121-94-155-123-119-124-12-14,0.8521486,0.069335595,2.0557702,3.9791257,0.60139334,4.603311,0.001,0.001,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_beta_relax_from_0p714_20260610\b0p025_lr0p00015_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:42:13,22,86.4393082,0.666,12.586757,0.669,12.538622,116-100-127-192-178-87-91-100-2-7,0.8538949,0.07012661,2.0458412,7.381082,1.0864657,6.073635,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:43:31,23,73.9020989,0.688,11.862405,0.693,11.878702,155-110-115-160-133-90-94-124-10-9,0.8624445,0.07165013,2.0509205,9.337649,1.2831273,7.8844743,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:44:56,24,81.4715579,0.678,11.90909,0.696,11.700193,146-111-153-120-137-110-90-111-9-13,0.8703247,0.07388693,2.06026,2.0057647,0.27942485,1.9390163,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:46:18,25,79.1744016,0.684,11.5514765,0.692,11.439574,113-134-114-185-130-72-110-124-11-7,0.88023514,0.074318126,2.0657403,7.7692356,1.1506318,8.253751,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:47:38,26,77.041357,0.668,11.815428,0.672,11.662313,126-122-139-162-148-64-86-128-13-12,0.88604,0.0738545,2.0711083,3.7899108,0.47793168,2.065571,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:48:58,27,76.2594906,0.694,11.601789,0.694,11.577497,120-130-145-134-123-83-110-126-14-15,0.8867902,0.07383129,2.0726185,5.761049,0.7098438,5.705366,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:50:19,28,78.40834,0.665,12.168639,0.682,12.0043125,132-134-146-159-122-66-107-111-11-12,0.8925557,0.07436786,2.0803692,5.484228,0.82299244,6.067131,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:51:39,29,76.819513,0.659,12.616559,0.667,12.601551,134-121-125-188-142-58-90-125-10-7,0.9006591,0.07327064,2.0809739,2.2084606,0.27285665,2.6147861,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:53:01,30,78.7240235,0.691,11.748625,0.689,11.58715,124-120-115-153-121-80-118-142-15-12,0.90474427,0.07290774,2.081085,5.352573,0.8122659,5.563971,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:54:20,31,75.9395987,0.669,12.078644,0.688,11.660129,134-118-125-157-119-77-108-132-15-15,0.9067501,0.074209064,2.087395,4.915776,0.7331917,4.8055406,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,
2026-06-10T10:55:45,32,82.2819751,0.68,12.110077,0.702,11.884472,125-116-126-171-128-86-104-118-10-16,0.90714765,0.075367615,2.0942152,5.409596,0.7473686,3.855428,0.002,0.002,0.0,0.0,0.724,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\best_checkpoint.bin,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_stepsize_from_0p724_20260610\step0p70_lr0p00010_wd0p002_s500_reverseT\final_checkpoint.bin
