accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.75,0,0.0,0.02262209897361034,0.22450097827907717,0.20312822067384045,0.2729461752467551,-0.02262209897361034,0.9045705259989826,0.5552607088197229,0.6990476396118618,0.7039336541608476,0.6641044999093081,0.05402611559111392
0.75,1,0.17389289364392926,0.03208127222806623,0.22239408404048006,0.19419676501233257,0.2622081368841739,-0.03208127222806623,0.9061924117663287,0.5248209008841725,0.6795614597724053,0.7066838682567107,0.6594347113170412,0.05402611559111392
0.75,100,0.18378875618922244,0.09763679138528701,0.11473292820684287,0.12497092831944243,0.2027036404198958,-0.09763679138528701,0.8645615556939668,0.5639015216165004,0.7337810499463848,0.7895665168541302,0.72368109566403,0.05402611559111392
0.75,200,0.23908361123082228,0.07760825644177627,0.07760825644177627,0.09413855618998357,0.21696277388730123,-0.07909524674389612,0.860759342945252,0.5518402444672267,0.7935907460412989,0.6739433976982804,0.7099901105063201,0.05402611559111392
0.75,300,0.2657056537504597,0.07086861754447615,0.15094241962962476,0.07086861754447615,0.1197747700469774,-0.08424358466071316,0.9503399617118801,0.44344285196582345,0.8103433607626609,0.7066736745392935,0.764442880914971,0.05402611559111392
0.75,400,0.33563746694873314,0.008392541794070119,0.260866045757776,0.008392541794070119,0.07168953117371729,-0.14238947559885154,1.0425811686526403,0.5014337247798846,0.8481698897031126,0.7493083808334052,0.7674827167186409,0.05402611559111392
0.5,500,0.4071453467003474,0.14396710428963946,0.31620302138258377,0.14396710428963946,0.16829009700939068,0.15728168085815314,1.124056240904357,0.6080099222150978,0.7705920520638654,0.6614207909242696,0.6303563626256382,0.05402611559111392
0.5,600,0.35454413687454917,0.09658129131998645,0.09757151048426449,0.12105848049208907,0.09922856677588618,0.09658129131998645,0.9977702796818044,0.6381493194207248,0.8352211277398548,0.7517639099150648,0.6870370259167913,0.05402611559111392
0.5,700,0.30081055873625134,0.06907004125020855,0.1817205649413821,0.11031494236932043,0.06907004125020855,0.24882382810479803,1.1535486342792238,0.686367099751337,0.8001749494476286,0.7098311834542035,0.629484268241546,0.05402611559111392
0.5,800,0.3199889670195766,0.0633918678724048,0.08937657348600495,0.0633918678724048,0.13424096647897032,0.1283084144793074,1.021648673583932,0.575128075314012,0.8663455896434227,0.644846277446998,0.6768768926717381,0.05402611559111392
0.5,900,0.2947285399741795,0.10225771494865452,0.12453488171463388,0.10225771494865452,0.11811347559358334,0.17567823535753008,1.0576157663962955,0.6183537690268857,0.848308358863496,0.6451602279060902,0.6689169982207407,0.05402611559111392
0.5,1000,0.3141509035050019,0.1574728382735771,0.1574728382735771,0.2099215078813453,0.1681754795089836,0.1983312038015705,1.022974275486052,0.6298913442383152,0.843202272092538,0.663439461285067,0.6789030749126426,0.05402611559111392
