accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.8668282189550975
0.5,1,0.19031571688335916,1.8870132542391025
0.5,300,0.044751784125926196,1.9540980743066643
0.5,600,0.03635632232937719,1.924898103878683
0.46875,900,0.04117279510031811,1.7532633959397323
0.46875,1200,0.08410694410312725,1.9731109333706853
0.53125,1500,0.17372719120894164,1.9391367834767819
0.5390625,1800,0.03653032308075206,1.9881618385234279
0.5,2100,0.04340580758596449,1.4658972527060796
0.5,2400,0.040742072631176955,1.5001277099210117
0.5,2700,0.045331695814771866,1.9093068315656656
0.5,3000,0.03147958120895738,1.8413158980900874
