batch,examples,run_seconds,flush_seconds,update_seconds,sync_seconds,total_seconds
1,128,3.3534087,0.0771709,0.6804262,0.4380151,4.5490209
2,128,1.0152758,0.0012298,0.0014009,0.0001896,1.0180960999999997
2026-05-30T00:41:55,784-120-40,256,32,32,500.0,80000,160000,40960000,2.7425985,1.7684796,22.3083711,9.5938882,4.3686845000000005,0.0784007,0.6818271,0.4382047,5.567117000000001,0.021746550781250006,45.98430390451645
