accuracy,epoch,grad_norm,margin,mean_1_1,mean_1_2,mean_2_1,mean_2_2,mean_3_1,mean_3_2,mean_4_1,mean_4_2,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.20418845393445728,-0.2265213883644041,0.12361756144539618,-0.4814715208474949,-0.8005556013797662,-0.4716084490905308,0.7130283470970082,-0.34928229590497817,-0.5534707498394354,1.0824056054737574,0.0,normal,0.7030314847056981,0.41573022576929203,0.3736704685142411,0.6001950475823914
0.5,1,0.9105121669212711,0.2732384189078474,0.12196054781250151,0.39519896672034893,-0.39156254673474433,-0.7787391708373209,-0.30800700969918715,0.734313219948723,-0.37819139107392985,-0.7591822884024908,1.0948113816388791,0.6133708686914006,normal,0.6163987488097207,0.46831061551978903,0.38993608154071174,0.5278532272757128
0.75,120,0.9410985530969578,0.20006285250876765,0.5743762473392207,-0.31643640446451915,-0.2978759886034753,-0.49793884111224296,-0.6501154169027754,0.7534801245700014,0.3789397785917222,-0.6483852770287835,0.509719206194955,0.7343397926679605,normal,0.6159406150454227,0.6035785937708907,0.3020458112302142,0.5509184694473706
0.75,240,1.0175775167096235,0.015580771551625294,0.5732369737471303,-0.4331002965604702,-0.5709107880478491,-0.5864915595994744,-0.2634853480721519,0.4195487151964576,0.4149008393591799,-0.462469060350438,0.589404130028505,0.6663112912491618,normal,0.61945204928954,0.531916418614674,0.6105276516897227,0.5512341533025279
1.0,360,0.9431535634055428,0.635744085302439,0.6439048807987255,-0.5716487136268142,-0.6133662348364619,0.2758904327064623,-0.35217035241043126,0.28357373289200766,0.6469685550691073,-0.6138452110612378,0.273850682861969,0.7096176297378358,normal,0.45626440403144414,0.6471826212117612,0.7283919888550732,0.4367841243654861
1.0,480,1.0041890621946505,0.8344238905671669,0.49781606851444987,-0.33660782205271705,-0.4887610138084093,0.43946620997519176,-0.5366054987110367,0.6333646556787311,0.6032966886780872,-0.57251818594528,0.24463893395717642,0.5215661871201542,normal,0.6487302562119368,0.6598974395440612,0.5750578155659424,0.4819733155996638
1.0,600,1.0553069430328905,0.39497601461549636,0.18441967392844036,-0.21055634068705603,-0.5283484692603969,0.5251033089776034,-0.3366864017197896,0.3297408648077944,0.3113530839697176,-0.297877790723997,0.4491021253482642,0.4576437107717639,normal,0.7223888846756602,0.6035780568526744,0.558526123689879,0.6866808218436742
1.0,720,0.9910290352697659,0.5923442164143347,0.31094221383924425,-0.2814020025750904,-0.4553175778400825,0.4227007491786914,-0.5060226666146528,0.583873162528577,0.6241909986649152,-0.6245506004322259,0.2900633610579292,0.5125303002088402,normal,0.6941579169822703,0.6179512893211018,0.541313454523549,0.43867421194083905
1.0,840,0.9405926232030452,0.5127947941893228,0.23874769041672592,-0.27404710377259694,-0.3379755884757214,0.40279703736176764,-0.4356206754469094,0.4669934788589987,0.6032720052557199,-0.5519483054663097,0.35777547284686717,0.4532612085722214,normal,0.7559692530351128,0.6768604062974042,0.6606186986703629,0.4264238890339082
1.0,960,0.9772081465133085,0.6055473978947543,0.4878214642010416,-0.5115599895921928,-0.6738969987117661,0.5580283891004018,-0.31067255602934685,0.29487484186540747,0.5211363380010787,-0.4874221285497647,0.28337535791495533,0.39643328818982404,normal,0.6208303512835393,0.47581413936421385,0.7090458541814713,0.5687849550237083
1.0,1080,1.2889343313969797,0.6431992576308314,0.45326531606007914,-0.36668265268179595,-0.3725956357045361,0.3747840754761579,-0.29073676181268615,0.3524624958181452,0.4653759511364344,-0.4430187078940279,0.37536888242469746,0.5592500133381484,normal,0.7241489418981323,0.6412616101464279,0.7097154165825544,0.6095581740687593
1.0,1200,0.5341136728440435,0.6870685767955493,0.3424167981801166,-0.3446517786154327,-0.445545967844328,0.554542906391656,-0.5042152475862334,0.5397487962160661,0.5237737055469425,-0.46732830884706067,0.2919890700002555,0.3138500689217069,normal,0.6728519840098603,0.5587447252146194,0.5629816999552014,0.5963476374019843
