accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.5773392186379934,-0.8522135673668821,-0.8469794800530241,0.5773392186379934,0.618960111733871,1.5582120022235633,0.0,0.1780838645905584,0.23898514872224774,0.6851723098472314,0.526671276433714
0.5,1,0.2619583326785595,0.48625765341893373,-0.8856152109759767,-0.8275804742800554,0.48625765341893373,0.6023882415953781,1.5461783863508827,0.5078294559687441,0.12446362262198059,0.38354477382444385,0.7593381333286706,0.6929127141824661
0.5,100,0.10103002904868107,0.06493538854117044,-0.2115341785139545,-0.06493538854117044,0.30111003283709575,0.8067373911607245,1.3771282300595562,0.6606002080326616,0.8161905542306646,0.88733692461373,0.7743903595558677,0.01239013381637148
0.75,200,0.08050976993812878,0.08984050065089925,-0.08984050065089925,0.14985416872606178,0.4405918891391714,0.7372250441670137,1.2205066343164561,0.5393810762084971,0.7753790248137057,0.8276453322526545,0.5970394853314468,0.016720058921399068
0.75,300,0.0323139561750703,0.24516132031836715,-0.24516132031836715,0.2571037601615866,0.4257756980188677,0.7275377243786469,1.1089490984116592,0.4731941927471749,0.7462761369645161,0.7956981889853327,0.5988549496111547,0.018770546383457824
0.75,400,0.05667659270943037,0.25519292650178366,-0.6330767047362262,0.25519292650178366,0.34083201649687944,0.7307702272050314,1.0298595727987827,0.5373489292714217,0.3146225957360546,0.7824752108113627,0.655685536911855,0.01842435733088649
0.75,500,0.02304588088961487,0.1484656100304985,-0.7387680446495427,0.1484656100304985,0.7254542379636729,0.7633769627506546,0.9945566600021962,0.4234062553911671,0.017554028835497514,0.824991591040722,0.015532648329689714,0.017172573914789296
0.75,600,0.020225742916477163,0.3610071994404597,-0.7467419361511385,0.3610071994404597,0.7442237369290705,0.7884814003171285,0.9341346655255612,0.3753043817667135,0.01736869746207184,0.7717871880120896,0.012780266124254295,0.011776233004656718
0.75,700,0.022299960682896837,0.16333187842216618,-0.7272248975809072,0.16333187842216618,0.7468033487407948,0.7965112963739484,1.0164952960931017,0.3557493793083869,0.02288977536542523,0.8090040398847091,0.014748544377221198,0.016173914607063678
0.75,800,0.04463587882706561,0.2721540634299537,-0.7002502862381278,0.2721540634299537,0.735814990806646,0.8060037354562453,0.987763202461564,0.370756614983502,0.01565179223684279,0.7705870080191317,0.012016704456353599,0.020529210660999598
0.75,900,0.03076803201523653,0.06612648393295223,-0.6608423377588257,0.28053272267478674,0.7217834363658479,0.06612648393295223,0.4616728047555724,0.4217176577626742,0.021578155881883866,0.7710911300786467,0.020948053547206767,0.6858157004755239
1.0,1000,0.058838738874394794,0.08578190122913507,-0.6242125372288906,0.08578190122913507,0.6948617268802012,-0.3241977736103534,0.3817072410529747,0.3623691554200412,0.01933575110545223,0.7731735905884424,0.010828543363315164,0.6074185993174418
0.75,1100,0.029430252749141253,0.3550689734057729,-0.5968848657628866,-0.3550689734057729,0.6750482324117296,-0.3690320534769893,0.625606983734047,0.3206744506157791,0.02108861516219191,0.5852467331810128,0.020304701900528518,0.49733263543546985
1.0,1200,0.038651544721562854,0.1371907103790071,-0.5763264326138092,0.1371907103790071,0.6593456276847428,-0.6445536152424399,0.29158167394318624,0.3436619474210116,0.0254356175014646,0.7063714941733482,0.023064520962644625,0.1621523038466341
