config_id,sample_idx,stepsize,beta,phase,steps,sweeps,state_rms_to_final,hidden_rms_to_final,output_rms_to_final,output_mse_to_target,target_digit,prediction,score_margin
1,1,0.05,0.1,free,3200,20.0,0.2801788,0.75502056,0.37740624,17.456919,5,3,1.2448968
1,1,0.05,0.1,free,8000,50.0,0.23090461,0.61592823,0.34666568,19.159508,5,3,1.1816016
1,1,0.05,0.1,free,16000,100.0,0.16409254,0.43244803,0.27281564,19.88369,5,3,0.65427935
1,1,0.05,0.1,free,32000,200.0,0.07222948,0.18081662,0.15823899,21.021074,5,4,0.13156557
1,1,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,22.861465,5,4,0.5482056
1,2,0.05,0.1,free,3200,20.0,0.29990068,0.807557,0.40761417,15.033321,0,0,0.36638618
1,2,0.05,0.1,free,8000,50.0,0.24422722,0.6478436,0.3854394,15.171892,0,0,0.21566594
1,2,0.05,0.1,free,16000,100.0,0.17050396,0.44502303,0.30323803,16.468683,0,0,0.024790049
1,2,0.05,0.1,free,32000,200.0,0.06914088,0.1733042,0.15071775,20.75767,0,7,0.116856694
1,2,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,23.0995,0,7,0.3335892
1,3,0.05,0.1,free,3200,20.0,0.31085604,0.83312935,0.4451852,15.908709,4,6,0.0039503574
1,3,0.05,0.1,free,8000,50.0,0.2582132,0.6873579,0.39512628,16.580013,4,2,0.0408206
1,3,0.05,0.1,free,16000,100.0,0.17991593,0.47638533,0.28826576,19.149353,4,2,0.52657425
1,3,0.05,0.1,free,32000,200.0,0.072590776,0.18955739,0.12869476,24.15937,4,2,0.9446995
1,3,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,24.687675,4,2,1.1989479
1,4,0.05,0.1,free,3200,20.0,0.26775587,0.6984077,0.47816274,13.983689,1,4,0.6134235
1,4,0.05,0.1,free,8000,50.0,0.2170374,0.5565975,0.4269444,14.593838,1,4,0.607807
1,4,0.05,0.1,free,16000,100.0,0.15303515,0.38150963,0.34067217,16.055723,1,4,0.3741511
1,4,0.05,0.1,free,32000,200.0,0.0629855,0.15301706,0.15291388,20.90561,1,6,0.32634592
1,4,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,23.983986,1,6,0.9042121
1,5,0.05,0.1,free,3200,20.0,0.30354318,0.79354316,0.5341679,17.351923,9,6,0.962024
1,5,0.05,0.1,free,8000,50.0,0.25927952,0.66769034,0.49909908,16.499899,9,6,1.0527153
1,5,0.05,0.1,free,16000,100.0,0.1918505,0.47894982,0.42480257,15.965376,9,6,1.0255933
1,5,0.05,0.1,free,32000,200.0,0.086680576,0.20126465,0.23621331,15.890731,9,6,0.3998276
1,5,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,19.069437,9,6,0.1134913
1,6,0.05,0.1,free,3200,20.0,0.3050191,0.80801135,0.48684496,12.701389,2,4,1.2307281
1,6,0.05,0.1,free,8000,50.0,0.2571863,0.6730621,0.4494216,13.060013,2,4,0.99761486
1,6,0.05,0.1,free,16000,100.0,0.18781742,0.4756152,0.39226222,14.000476,2,4,0.97456217
1,6,0.05,0.1,free,32000,200.0,0.08151566,0.19950053,0.19343211,18.269499,2,4,0.88584113
1,6,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,22.327845,2,4,0.5412233
1,7,0.05,0.1,free,3200,20.0,0.31254292,0.845456,0.40116414,19.626757,1,5,0.025891304
1,7,0.05,0.1,free,8000,50.0,0.26140234,0.70102495,0.3718981,20.170082,1,5,0.22520185
1,7,0.05,0.1,free,16000,100.0,0.18968959,0.49685708,0.3295115,21.04007,1,5,0.19203663
1,7,0.05,0.1,free,32000,200.0,0.08203833,0.20328428,0.18671173,21.28285,1,5,0.3569827
1,7,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,20.326832,1,5,0.28727496
1,8,0.05,0.1,free,3200,20.0,0.28541684,0.7509988,0.48012933,16.216524,3,3,0.7934717
1,8,0.05,0.1,free,8000,50.0,0.24077182,0.6278867,0.43057185,17.236923,3,3,0.72492343
1,8,0.05,0.1,free,16000,100.0,0.17649135,0.44664386,0.3696603,18.173815,3,3,0.75241697
1,8,0.05,0.1,free,32000,200.0,0.07691038,0.18940519,0.17881803,18.48251,3,3,0.040660262
1,8,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,22.029955,3,4,0.6650847
1,9,0.05,0.1,free,3200,20.0,0.2796934,0.7364736,0.46798524,14.885338,1,3,0.32402745
1,9,0.05,0.1,free,8000,50.0,0.22711755,0.5906077,0.4133907,14.613558,1,3,0.19441414
1,9,0.05,0.1,free,16000,100.0,0.16079612,0.40637857,0.33875746,16.01793,1,4,0.2523858
1,9,0.05,0.1,free,32000,200.0,0.076218426,0.18523483,0.18483087,17.819689,1,4,0.19904768
1,9,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,20.772102,1,4,0.19053102
1,10,0.05,0.1,free,3200,20.0,0.30160445,0.8180262,0.37320194,17.483946,4,5,0.6446786
1,10,0.05,0.1,free,8000,50.0,0.25181085,0.67703813,0.34828627,18.880264,4,5,0.52301204
1,10,0.05,0.1,free,16000,100.0,0.1770474,0.46521094,0.30082694,21.715717,4,5,0.33413458
1,10,0.05,0.1,free,32000,200.0,0.076768436,0.1917609,0.16960925,23.985945,4,5,0.033938885
1,10,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,25.0713,4,1,0.57435024
1,11,0.05,0.1,free,3200,20.0,0.29376432,0.7802472,0.45854464,14.478832,3,1,0.56882477
1,11,0.05,0.1,free,8000,50.0,0.24435003,0.64008105,0.4242315,14.79608,3,1,0.8358463
1,11,0.05,0.1,free,16000,100.0,0.17203018,0.4373489,0.35299474,15.96152,3,1,0.9999294
1,11,0.05,0.1,free,32000,200.0,0.07143608,0.17032617,0.18275788,17.206602,3,1,1.6159217
1,11,0.05,0.1,free,48000,300.0,0.0,0.0,0.0,20.764915,3,1,1.931951
1,12,0.05,0.1,free,3200,20.0,0.28979763,0.7717617,0.44174874,16.613794,5,9,0.53590536
1,12,0.05,0.1,free,8000,50.0,0.24372791,0.63895637,0.42085832,16.115267,5,9,0.515044
