mode,post_max_sweeps,noise_factor,noise_scale,draws,accuracy,equilibrated_fraction,mean_reward,mean_seconds,mean_sweeps,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,2.0,1.0,0.03162278,20,0.1,0.0,-2.2575631499290467,9.039999999999999e-5,2.0,-0.34998524487018584,0.025,0.025,20,1.0
chain,2.0,1.0,0.03162278,20,0.05,0.0,-2.258347725868225,9.835000000000002e-5,2.0,-0.7859512776136398,0.052812500000000005,0.03343750000000001,20,1.0
